,LGA,repDS,year,LGA_old,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,kill_rate,block_initial,round,peak,simday,MapA_mix,llin_type
1,Aba North,Ngor-Okpala,2020,Aba North,0.8,0.8,0.8,0.8,0.393201897,0.53,1,june,162,CM+IPTp+Urban-LLINs+IPTi,itn
2,Aba North,Ngor-Okpala,2023,Aba North,0.8,0.8,0.8,0.8,0.393201897,0.53,2,june,1257,CM+IPTp+Urban-LLINs+IPTi,itn
3,Aba South,Ngor-Okpala,2020,Aba South,0.8,0.8,0.8,0.8,0.38693958,0.53,1,june,162,CM+IPTp+Urban-LLINs+IPTi,itn
4,Aba South,Ngor-Okpala,2023,Aba South,0.8,0.8,0.8,0.8,0.38693958,0.53,2,june,1257,CM+IPTp+Urban-LLINs+IPTi,itn
5,Arochukwu,Ngor-Okpala,2020,Arochukwu,0.8,0.8,0.8,0.8,0.485441926,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
6,Arochukwu,Ngor-Okpala,2023,Arochukwu,0.8,0.8,0.8,0.8,0.485441926,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
7,Bende,Ngor-Okpala,2020,Bende,0.8,0.8,0.8,0.8,0.501154968,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
8,Bende,Ngor-Okpala,2023,Bende,0.8,0.8,0.8,0.8,0.501154968,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
9,Ikwuano,Ngor-Okpala,2020,Ikwuano,0.8,0.8,0.8,0.8,0.51532143,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
10,Ikwuano,Ngor-Okpala,2023,Ikwuano,0.8,0.8,0.8,0.8,0.51532143,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
11,Isiala-Ngwa North,Ngor-Okpala,2020,Isiala-Ngwa North,0.8,0.8,0.8,0.8,0.416760484,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
12,Isiala-Ngwa North,Ngor-Okpala,2023,Isiala-Ngwa North,0.8,0.8,0.8,0.8,0.416760484,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
13,Isiala-Ngwa South,Ngor-Okpala,2020,Isiala-Ngwa South,0.8,0.8,0.8,0.8,0.444481729,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
14,Isiala-Ngwa South,Ngor-Okpala,2023,Isiala-Ngwa South,0.8,0.8,0.8,0.8,0.444481729,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
15,Isuikwato,Ngor-Okpala,2020,Isuikwato,0.8,0.8,0.8,0.8,0.471442169,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
16,Isuikwato,Ngor-Okpala,2023,Isuikwato,0.8,0.8,0.8,0.8,0.471442169,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
17,Obi Nwa,Ngor-Okpala,2020,Obi Nwa,0.8,0.8,0.8,0.8,0.409752288,0.53,1,june,162,CM+IPTp+Urban-LLINs+IPTi,itn
18,Obi Nwa,Ngor-Okpala,2023,Obi Nwa,0.8,0.8,0.8,0.8,0.409752288,0.53,2,june,1257,CM+IPTp+Urban-LLINs+IPTi,itn
19,Ohafia,Ngor-Okpala,2020,Ohafia,0.8,0.8,0.8,0.8,0.486514324,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
20,Ohafia,Ngor-Okpala,2023,Ohafia,0.8,0.8,0.8,0.8,0.486514324,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
21,Osisioma Ngwa,Ngor-Okpala,2020,Osisioma Ngwa,0.8,0.8,0.8,0.8,0.395923243,0.53,1,june,162,CM+IPTp+Urban-LLINs+IPTi,itn
22,Osisioma Ngwa,Ngor-Okpala,2023,Osisioma Ngwa,0.8,0.8,0.8,0.8,0.395923243,0.53,2,june,1257,CM+IPTp+Urban-LLINs+IPTi,itn
23,Ugwunagbo,Ngor-Okpala,2020,Ugwunagbo,0.8,0.8,0.8,0.8,0.386810187,0.53,1,june,162,CM+IPTp+Urban-LLINs+IPTi,itn
24,Ugwunagbo,Ngor-Okpala,2023,Ugwunagbo,0.8,0.8,0.8,0.8,0.386810187,0.53,2,june,1257,CM+IPTp+Urban-LLINs+IPTi,itn
25,Ukwa East,Nsit Ubium,2020,Ukwa East,0.8,0.8,0.8,0.8,0.380519132,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
26,Ukwa East,Nsit Ubium,2023,Ukwa East,0.8,0.8,0.8,0.8,0.380519132,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
27,Ukwa West,Nsit Ubium,2020,Ukwa West,0.8,0.8,0.8,0.8,0.373187786,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
28,Ukwa West,Nsit Ubium,2023,Ukwa West,0.8,0.8,0.8,0.8,0.373187786,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
29,Umu-Neochi,Oru West,2020,Umu-Neochi,0.8,0.8,0.8,0.8,0.489251418,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
30,Umu-Neochi,Oru West,2023,Umu-Neochi,0.8,0.8,0.8,0.8,0.489251418,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
31,Umuahia North,Ngor-Okpala,2020,Umuahia North,0.8,0.8,0.8,0.8,0.501112024,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
32,Umuahia North,Ngor-Okpala,2023,Umuahia North,0.8,0.8,0.8,0.8,0.501112024,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
33,Umuahia South,Ngor-Okpala,2020,Umuahia South,0.8,0.8,0.8,0.8,0.528927156,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
34,Umuahia South,Ngor-Okpala,2023,Umuahia South,0.8,0.8,0.8,0.8,0.528927156,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
35,Demsa,Alkaleri,2020,Demsa,0.8,0.8,0.8,0.8,0.7188,0.863,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
36,Demsa,Alkaleri,2023,Demsa,0.8,0.8,0.8,0.8,0.7188,0.863,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
37,Gireri,Darazo,2020,Gireri,0.8,0.8,0.8,0.8,0.7188,0.863,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
38,Gireri,Darazo,2023,Gireri,0.8,0.8,0.8,0.8,0.7188,0.863,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
39,Gombi,Alkaleri,2020,Gombi,0.8,0.8,0.8,0.8,0.7188,0.863,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
40,Gombi,Alkaleri,2023,Gombi,0.8,0.8,0.8,0.8,0.7188,0.863,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
41,Guyuk,Alkaleri,2020,Guyuk,0.8,0.8,0.8,0.8,0.7188,0.863,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
42,Guyuk,Alkaleri,2023,Guyuk,0.8,0.8,0.8,0.8,0.7188,0.863,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
43,Hong,Darazo,2020,Hong,0.8,0.8,0.8,0.8,0.7188,0.863,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
44,Hong,Darazo,2023,Hong,0.8,0.8,0.8,0.8,0.7188,0.863,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
45,Lamurde,Alkaleri,2020,Lamurde,0.8,0.8,0.8,0.8,0.7188,0.863,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
46,Lamurde,Alkaleri,2023,Lamurde,0.8,0.8,0.8,0.8,0.7188,0.863,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
47,Mayo-Belwa,Alkaleri,2020,Mayo-Belwa,0.8,0.8,0.8,0.8,0.7188,0.863,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
48,Mayo-Belwa,Alkaleri,2023,Mayo-Belwa,0.8,0.8,0.8,0.8,0.7188,0.863,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
49,Numan,Alkaleri,2020,Numan,0.8,0.8,0.8,0.8,0.7188,0.863,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
50,Numan,Alkaleri,2023,Numan,0.8,0.8,0.8,0.8,0.7188,0.863,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
51,Shelleng,Darazo,2020,Shelleng,0.8,0.8,0.8,0.8,0.7188,0.863,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
52,Shelleng,Darazo,2023,Shelleng,0.8,0.8,0.8,0.8,0.7188,0.863,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
53,Itu,Ngor-Okpala,2021,Itu,0.8,0.8,0.8,0.8,0.471929182,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
54,Itu,Ngor-Okpala,2024,Itu,0.8,0.8,0.8,0.8,0.471929182,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
55,Song,Darazo,2020,Song,0.8,0.8,0.8,0.8,0.7188,0.863,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
56,Song,Darazo,2023,Song,0.8,0.8,0.8,0.8,0.7188,0.863,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
57,Yola North,Alkaleri,2020,Yola North,0.8,0.8,0.8,0.8,0.7188,0.863,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
58,Yola North,Alkaleri,2023,Yola North,0.8,0.8,0.8,0.8,0.7188,0.863,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
59,Yola South,Alkaleri,2020,Yola South,0.8,0.8,0.8,0.8,0.7188,0.863,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
60,Yola South,Alkaleri,2023,Yola South,0.8,0.8,0.8,0.8,0.7188,0.863,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
61,Abak,Nsit Ubium,2021,Abak,0.8,0.8,0.8,0.8,0.425644469,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
62,Abak,Nsit Ubium,2024,Abak,0.8,0.8,0.8,0.8,0.425644469,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
63,Awka North,Uzo-Uwani,2020,Awka North,0.8,0.8,0.8,0.8,0.450124783,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
64,Awka North,Uzo-Uwani,2023,Awka North,0.8,0.8,0.8,0.8,0.450124783,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
65,Eket,Nsit Ubium,2021,Eket,0.8,0.8,0.8,0.8,0.328021397,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
66,Eket,Nsit Ubium,2024,Eket,0.8,0.8,0.8,0.8,0.328021397,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
67,Esit Eket,Nsit Ubium,2021,Esit Eket,0.8,0.8,0.8,0.8,0.346897657,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
