,LGA,repDS,year,LGA_old,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,kill_rate,block_initial,round,peak,simday,MapA_mix,llin_type
1,Aba North,Ngor-Okpala,2020,Aba North,0.442191686,0.550997398,0.41082044,0.381014728,0.393201897,0.53,1,june,162,CM+IPTp+Urban-LLINs+IPTi,itn
2,Aba North,Ngor-Okpala,2023,Aba North,0.442191686,0.550997398,0.41082044,0.381014728,0.393201897,0.53,2,june,1257,CM+IPTp+Urban-LLINs+IPTi,itn
3,Aba South,Ngor-Okpala,2020,Aba South,0.519103045,0.512295324,0.290569447,0.347812688,0.38693958,0.53,1,june,162,CM+IPTp+Urban-LLINs+IPTi,itn
4,Aba South,Ngor-Okpala,2023,Aba South,0.519103045,0.512295324,0.290569447,0.347812688,0.38693958,0.53,2,june,1257,CM+IPTp+Urban-LLINs+IPTi,itn
5,Arochukwu,Ngor-Okpala,2020,Arochukwu,0.491769323,0.392560782,0.287682113,0.390755546,0.485441926,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
6,Arochukwu,Ngor-Okpala,2023,Arochukwu,0.491769323,0.392560782,0.287682113,0.390755546,0.485441926,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
7,Bende,Ngor-Okpala,2020,Bende,0.30540733,0.304789524,0.119318166,0.217697534,0.501154968,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
8,Bende,Ngor-Okpala,2023,Bende,0.30540733,0.304789524,0.119318166,0.217697534,0.501154968,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
9,Ikwuano,Ngor-Okpala,2020,Ikwuano,0.471604937,0.388953499,0.510086454,0.504367812,0.51532143,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
10,Ikwuano,Ngor-Okpala,2023,Ikwuano,0.471604937,0.388953499,0.510086454,0.504367812,0.51532143,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
11,Isiala-Ngwa North,Ngor-Okpala,2020,Isiala-Ngwa North,0.05147855,0.15522763,0.086356414,0.071808278,0.416760484,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
12,Isiala-Ngwa North,Ngor-Okpala,2023,Isiala-Ngwa North,0.05147855,0.15522763,0.086356414,0.071808278,0.416760484,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
13,Isiala-Ngwa South,Ngor-Okpala,2020,Isiala-Ngwa South,0.12523953,0.092253568,0.263166845,0.141460211,0.444481729,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
14,Isiala-Ngwa South,Ngor-Okpala,2023,Isiala-Ngwa South,0.12523953,0.092253568,0.263166845,0.141460211,0.444481729,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
15,Isuikwato,Ngor-Okpala,2020,Isuikwato,0.54291498,0.183908046,0.12605459,0.276299231,0.471442169,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
16,Isuikwato,Ngor-Okpala,2023,Isuikwato,0.54291498,0.183908046,0.12605459,0.276299231,0.471442169,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
17,Obi Nwa,Ngor-Okpala,2020,Obi Nwa,0.36,0.56,0.381818182,0.4125,0.409752288,0.53,1,june,162,CM+IPTp+Urban-LLINs+IPTi,itn
18,Obi Nwa,Ngor-Okpala,2023,Obi Nwa,0.36,0.56,0.381818182,0.4125,0.409752288,0.53,2,june,1257,CM+IPTp+Urban-LLINs+IPTi,itn
19,Ohafia,Ngor-Okpala,2020,Ohafia,0.219596953,0.131708827,0.172664394,0.221167021,0.486514324,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
20,Ohafia,Ngor-Okpala,2023,Ohafia,0.219596953,0.131708827,0.172664394,0.221167021,0.486514324,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
21,Osisioma Ngwa,Ngor-Okpala,2020,Osisioma Ngwa,0.317647058,0.24,0.15652174,0.4,0.395923243,0.53,1,june,162,CM+IPTp+Urban-LLINs+IPTi,itn
22,Osisioma Ngwa,Ngor-Okpala,2023,Osisioma Ngwa,0.317647058,0.24,0.15652174,0.4,0.395923243,0.53,2,june,1257,CM+IPTp+Urban-LLINs+IPTi,itn
23,Ugwunagbo,Ngor-Okpala,2020,Ugwunagbo,0.171428572,0.171428572,0.333333334,0.092307692,0.386810187,0.53,1,june,162,CM+IPTp+Urban-LLINs+IPTi,itn
24,Ugwunagbo,Ngor-Okpala,2023,Ugwunagbo,0.171428572,0.171428572,0.333333334,0.092307692,0.386810187,0.53,2,june,1257,CM+IPTp+Urban-LLINs+IPTi,itn
25,Ukwa East,Nsit Ubium,2020,Ukwa East,0.260869565,0.066666667,0.048,0.085714285,0.380519132,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
26,Ukwa East,Nsit Ubium,2023,Ukwa East,0.260869565,0.066666667,0.048,0.085714285,0.380519132,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
27,Ukwa West,Nsit Ubium,2020,Ukwa West,0.401357616,0.353031661,0.243082888,0.273386149,0.373187786,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
28,Ukwa West,Nsit Ubium,2023,Ukwa West,0.401357616,0.353031661,0.243082888,0.273386149,0.373187786,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
29,Umu-Neochi,Oru West,2020,Umu-Neochi,0.497801629,0.606901561,0.403219414,0.443178282,0.489251418,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
30,Umu-Neochi,Oru West,2023,Umu-Neochi,0.497801629,0.606901561,0.403219414,0.443178282,0.489251418,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
31,Umuahia North,Ngor-Okpala,2020,Umuahia North,0.16,0.31976846,0.24,0.210526315,0.501112024,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
32,Umuahia North,Ngor-Okpala,2023,Umuahia North,0.16,0.31976846,0.24,0.210526315,0.501112024,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
33,Umuahia South,Ngor-Okpala,2020,Umuahia South,0.228295674,0.263655314,0.198353248,0.333891334,0.528927156,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
34,Umuahia South,Ngor-Okpala,2023,Umuahia South,0.228295674,0.263655314,0.198353248,0.333891334,0.528927156,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
35,Demsa,Alkaleri,2020,Demsa,0.544406772,0.341721852,0.32043094,0.461976287,0.7188,0.863,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
36,Demsa,Alkaleri,2023,Demsa,0.544406772,0.341721852,0.32043094,0.461976287,0.7188,0.863,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
