,LGA,repDS,year,LGA_old,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,kill_rate,round,peak,simday,MapA_mix,llin_type
1,Aba North,Ngor-Okpala,2020,Aba North,0.368493072,0.459164498,0.342350367,0.317512273,0.393201897,1,june,162,CM+IPTp+Urban-LLINs+IPTi,itn
2,Aba North,Ngor-Okpala,2023,Aba North,0.368493072,0.459164498,0.342350367,0.317512273,0.393201897,2,june,1257,CM+IPTp+Urban-LLINs+IPTi,itn
3,Aba South,Ngor-Okpala,2020,Aba South,0.432585871,0.42691277,0.242141206,0.289843907,0.38693958,1,june,162,CM+IPTp+Urban-LLINs+IPTi,itn
4,Aba South,Ngor-Okpala,2023,Aba South,0.432585871,0.42691277,0.242141206,0.289843907,0.38693958,2,june,1257,CM+IPTp+Urban-LLINs+IPTi,itn
5,Arochukwu,Ngor-Okpala,2020,Arochukwu,0.409807769,0.327133985,0.239735094,0.325629622,0.485441926,1,june,162,CM+IPTp+LLINs+IPTi,itn
6,Arochukwu,Ngor-Okpala,2023,Arochukwu,0.409807769,0.327133985,0.239735094,0.325629622,0.485441926,2,june,1257,CM+IPTp+LLINs+IPTi,itn
7,Bende,Ngor-Okpala,2020,Bende,0.254506108,0.25399127,0.099431805,0.181414612,0.501154968,1,june,162,CM+IPTp+LLINs+IPTi,itn
8,Bende,Ngor-Okpala,2023,Bende,0.254506108,0.25399127,0.099431805,0.181414612,0.501154968,2,june,1257,CM+IPTp+LLINs+IPTi,itn
9,Ikwuano,Ngor-Okpala,2020,Ikwuano,0.393004114,0.324127916,0.425072045,0.42030651,0.51532143,1,june,162,CM+IPTp+LLINs+IPTi,itn
10,Ikwuano,Ngor-Okpala,2023,Ikwuano,0.393004114,0.324127916,0.425072045,0.42030651,0.51532143,2,june,1257,CM+IPTp+LLINs+IPTi,itn
11,Isiala-Ngwa North,Ngor-Okpala,2020,Isiala-Ngwa North,0.042898792,0.129356358,0.071963678,0.059840232,0.416760484,1,june,162,CM+IPTp+LLINs+IPTi,itn
12,Isiala-Ngwa North,Ngor-Okpala,2023,Isiala-Ngwa North,0.042898792,0.129356358,0.071963678,0.059840232,0.416760484,2,june,1257,CM+IPTp+LLINs+IPTi,itn
13,Isiala-Ngwa South,Ngor-Okpala,2020,Isiala-Ngwa South,0.104366275,0.076877973,0.219305704,0.117883509,0.444481729,1,june,162,CM+IPTp+LLINs+IPTi,itn
14,Isiala-Ngwa South,Ngor-Okpala,2023,Isiala-Ngwa South,0.104366275,0.076877973,0.219305704,0.117883509,0.444481729,2,june,1257,CM+IPTp+LLINs+IPTi,itn
15,Isuikwato,Ngor-Okpala,2020,Isuikwato,0.45242915,0.153256705,0.105045492,0.230249359,0.471442169,1,june,162,CM+IPTp+LLINs+IPTi,itn
16,Isuikwato,Ngor-Okpala,2023,Isuikwato,0.45242915,0.153256705,0.105045492,0.230249359,0.471442169,2,june,1257,CM+IPTp+LLINs+IPTi,itn
17,Obi Nwa,Ngor-Okpala,2020,Obi Nwa,0.3,0.466666667,0.318181818,0.34375,0.409752288,1,june,162,CM+IPTp+Urban-LLINs+IPTi,itn
18,Obi Nwa,Ngor-Okpala,2023,Obi Nwa,0.3,0.466666667,0.318181818,0.34375,0.409752288,2,june,1257,CM+IPTp+Urban-LLINs+IPTi,itn
19,Ohafia,Ngor-Okpala,2020,Ohafia,0.182997461,0.109757356,0.143886995,0.184305851,0.486514324,1,june,162,CM+IPTp+LLINs+IPTi,itn
20,Ohafia,Ngor-Okpala,2023,Ohafia,0.182997461,0.109757356,0.143886995,0.184305851,0.486514324,2,june,1257,CM+IPTp+LLINs+IPTi,itn
21,Osisioma Ngwa,Ngor-Okpala,2020,Osisioma Ngwa,0.264705882,0.2,0.130434783,0.333333333,0.395923243,1,june,162,CM+IPTp+Urban-LLINs+IPTi,itn
22,Osisioma Ngwa,Ngor-Okpala,2023,Osisioma Ngwa,0.264705882,0.2,0.130434783,0.333333333,0.395923243,2,june,1257,CM+IPTp+Urban-LLINs+IPTi,itn
23,Ugwunagbo,Ngor-Okpala,2020,Ugwunagbo,0.142857143,0.142857143,0.277777778,0.076923077,0.386810187,1,june,162,CM+IPTp+Urban-LLINs+IPTi,itn
24,Ugwunagbo,Ngor-Okpala,2023,Ugwunagbo,0.142857143,0.142857143,0.277777778,0.076923077,0.386810187,2,june,1257,CM+IPTp+Urban-LLINs+IPTi,itn
25,Ukwa East,Nsit Ubium,2020,Ukwa East,0.217391304,0.055555556,0.04,0.071428571,0.380519132,1,june,162,CM+IPTp+LLINs+IPTi,itn
26,Ukwa East,Nsit Ubium,2023,Ukwa East,0.217391304,0.055555556,0.04,0.071428571,0.380519132,2,june,1257,CM+IPTp+LLINs+IPTi,itn
27,Ukwa West,Nsit Ubium,2020,Ukwa West,0.33446468,0.294193051,0.202569073,0.227821791,0.373187786,1,june,162,CM+IPTp+LLINs+IPTi,itn
28,Ukwa West,Nsit Ubium,2023,Ukwa West,0.33446468,0.294193051,0.202569073,0.227821791,0.373187786,2,june,1257,CM+IPTp+LLINs+IPTi,itn
29,Umu-Neochi,Oru West,2020,Umu-Neochi,0.414834691,0.505751301,0.336016178,0.369315235,0.489251418,1,june,162,CM+IPTp+LLINs+IPTi,itn
30,Umu-Neochi,Oru West,2023,Umu-Neochi,0.414834691,0.505751301,0.336016178,0.369315235,0.489251418,2,june,1257,CM+IPTp+LLINs+IPTi,itn
31,Umuahia North,Ngor-Okpala,2020,Umuahia North,0.133333333,0.266473717,0.2,0.175438596,0.501112024,1,june,162,CM+IPTp+LLINs+IPTi,itn
