,adm1,LGA,MapB_mix,llin,repDS,year,LGA_old,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,mortality_rate,kill_rate,block_initial,round,peak,simday
1,Abia,Arochukwu,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2020,Arochukwu,0.8,0.8,0.8,0.8,0.431823298,0.485441926,0.53,1,june,162
2,Abia,Arochukwu,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2023,Arochukwu,0.8,0.8,0.8,0.8,0.431823298,0.485441926,0.53,2,june,1257
3,Abia,Bende,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2020,Bende,0.8,0.8,0.8,0.8,0.451630723,0.501154968,0.53,1,june,162
4,Abia,Bende,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2023,Bende,0.8,0.8,0.8,0.8,0.451630723,0.501154968,0.53,2,june,1257
5,Abia,Ikwuano,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2020,Ikwuano,0.8,0.8,0.8,0.8,0.469780688,0.51532143,0.53,1,june,162
6,Abia,Ikwuano,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2023,Ikwuano,0.8,0.8,0.8,0.8,0.469780688,0.51532143,0.53,2,june,1257
7,Abia,Isiala-Ngwa North,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2020,Isiala-Ngwa North,0.8,0.8,0.8,0.8,0.347639146,0.416760484,0.53,1,june,162
8,Abia,Isiala-Ngwa North,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2023,Isiala-Ngwa North,0.8,0.8,0.8,0.8,0.347639146,0.416760484,0.53,2,june,1257
9,Abia,Isiala-Ngwa South,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2020,Isiala-Ngwa South,0.8,0.8,0.8,0.8,0.381316588,0.444481729,0.53,1,june,162
10,Abia,Isiala-Ngwa South,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2023,Isiala-Ngwa South,0.8,0.8,0.8,0.8,0.381316588,0.444481729,0.53,2,june,1257
11,Abia,Isuikwato,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2020,Isuikwato,0.8,0.8,0.8,0.8,0.414408176,0.471442169,0.53,1,june,162
12,Abia,Isuikwato,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2023,Isuikwato,0.8,0.8,0.8,0.8,0.414408176,0.471442169,0.53,2,june,1257
13,Abia,Ohafia,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2020,Ohafia,0.8,0.8,0.8,0.8,0.433165676,0.486514324,0.53,1,june,162
14,Abia,Ohafia,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2023,Ohafia,0.8,0.8,0.8,0.8,0.433165676,0.486514324,0.53,2,june,1257
15,Abia,Ukwa East,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2020,Ukwa East,0.8,0.8,0.8,0.8,0.30363416,0.380519132,0.53,1,june,162
16,Abia,Ukwa East,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2023,Ukwa East,0.8,0.8,0.8,0.8,0.30363416,0.380519132,0.53,2,june,1257
17,Abia,Ukwa West,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2020,Ukwa West,0.8,0.8,0.8,0.8,0.294680951,0.373187786,0.53,1,june,162
18,Abia,Ukwa West,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2023,Ukwa West,0.8,0.8,0.8,0.8,0.294680951,0.373187786,0.53,2,june,1257
19,Abia,Umu-Neochi,CM+IPTp+LLINs+IPTi,itn ,Oru West,2020,Umu-Neochi,0.8,0.8,0.8,0.8,0.436597759,0.489251418,0.53,1,june,162
20,Abia,Umu-Neochi,CM+IPTp+LLINs+IPTi,itn ,Oru West,2023,Umu-Neochi,0.8,0.8,0.8,0.8,0.436597759,0.489251418,0.53,2,june,1257
21,Abia,Umuahia North,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2020,Umuahia North,0.8,0.8,0.8,0.8,0.451576154,0.501112024,0.53,1,june,162
22,Abia,Umuahia North,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2023,Umuahia North,0.8,0.8,0.8,0.8,0.451576154,0.501112024,0.53,2,june,1257
23,Abia,Umuahia South,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2020,Umuahia South,0.8,0.8,0.8,0.8,0.48752647,0.528927156,0.53,1,june,162
24,Abia,Umuahia South,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2023,Umuahia South,0.8,0.8,0.8,0.8,0.48752647,0.528927156,0.53,2,june,1257
43,Adamawa,Madagali,CM+IPTp+LLINs+SMC,itn ,Darazo,2020,Madagali,0.8,0.8,0.8,0.8,0.722065325,0.67676674,0.53,1,july,186
44,Adamawa,Madagali,CM+IPTp+LLINs+SMC,itn ,Darazo,2023,Madagali,0.8,0.8,0.8,0.8,0.722065325,0.67676674,0.53,2,july,1281
49,Adamawa,Michika,CM+IPTp+LLINs+SMC,itn ,Darazo,2020,Michika,0.8,0.8,0.8,0.8,0.688720491,0.659846477,0.53,1,july,186
50,Adamawa,Michika,CM+IPTp+LLINs+SMC,itn ,Darazo,2023,Michika,0.8,0.8,0.8,0.8,0.688720491,0.659846477,0.53,2,july,1281
51,Adamawa,Mubi North,CM+IPTp+LLINs+SMC,itn ,Darazo,2020,Mubi North,0.8,0.8,0.8,0.8,0.698641529,0.665027176,0.53,1,july,186
52,Adamawa,Mubi North,CM+IPTp+LLINs+SMC,itn ,Darazo,2023,Mubi North,0.8,0.8,0.8,0.8,0.698641529,0.665027176,0.53,2,july,1281
67,Akwa Ibom,Abak,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2021,Abak,0.8,0.8,0.8,0.8,0.358412263,0.425644469,0.53,1,june,527
68,Akwa Ibom,Abak,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2024,Abak,0.8,0.8,0.8,0.8,0.358412263,0.425644469,0.53,2,june,1622
71,Akwa Ibom,Eket,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2021,Eket,0.8,0.8,0.8,0.8,0.238612216,0.328021397,0.53,1,june,527
72,Akwa Ibom,Eket,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2024,Eket,0.8,0.8,0.8,0.8,0.238612216,0.328021397,0.53,2,june,1622
73,Akwa Ibom,Esit Eket,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2021,Esit Eket,0.8,0.8,0.8,0.8,0.262279676,0.346897657,0.53,1,june,527
74,Akwa Ibom,Esit Eket,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2024,Esit Eket,0.8,0.8,0.8,0.8,0.262279676,0.346897657,0.53,2,june,1622
75,Akwa Ibom,Essien Udim,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2021,Essien Udim,0.8,0.8,0.8,0.8,0.369824263,0.435041855,0.53,1,june,527
76,Akwa Ibom,Essien Udim,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2024,Essien Udim,0.8,0.8,0.8,0.8,0.369824263,0.435041855,0.53,2,june,1622
77,Akwa Ibom,Etim Ekpo,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2021,Etim Ekpo,0.8,0.8,0.8,0.8,0.326319464,0.399175674,0.53,1,june,527
78,Akwa Ibom,Etim Ekpo,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2024,Etim Ekpo,0.8,0.8,0.8,0.8,0.326319464,0.399175674,0.53,2,june,1622
79,Akwa Ibom,Etinan,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2021,Etinan,0.8,0.8,0.8,0.8,0.271254927,0.35413511,0.53,1,june,527
80,Akwa Ibom,Etinan,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2024,Etinan,0.8,0.8,0.8,0.8,0.271254927,0.35413511,0.53,2,june,1622
81,Akwa Ibom,Ibeno,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2021,Ibeno,0.8,0.8,0.8,0.8,0.270147342,0.353239894,0.53,1,june,527
82,Akwa Ibom,Ibeno,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2024,Ibeno,0.8,0.8,0.8,0.8,0.270147342,0.353239894,0.53,2,june,1622
83,Akwa Ibom,Ibesikpo Asutan,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2021,Ibesikpo Asutan,0.8,0.8,0.8,0.8,0.364757188,0.430871605,0.53,1,june,527
84,Akwa Ibom,Ibesikpo Asutan,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2024,Ibesikpo Asutan,0.8,0.8,0.8,0.8,0.364757188,0.430871605,0.53,2,june,1622
85,Akwa Ibom,Ibiono Ibom,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2021,Ibiono Ibom,0.8,0.8,0.8,0.8,0.383194312,0.446021174,0.53,1,june,527
86,Akwa Ibom,Ibiono Ibom,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2024,Ibiono Ibom,0.8,0.8,0.8,0.8,0.383194312,0.446021174,0.53,2,june,1622
87,Akwa Ibom,Ika,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2021,Ika,0.8,0.8,0.8,0.8,0.281330517,0.36230356,0.53,1,june,527
88,Akwa Ibom,Ika,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2024,Ika,0.8,0.8,0.8,0.8,0.281330517,0.36230356,0.53,2,june,1622
89,Akwa Ibom,Ikono,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2021,Ikono,0.8,0.8,0.8,0.8,0.3504186,0.419053252,0.53,1,june,527
90,Akwa Ibom,Ikono,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2024,Ikono,0.8,0.8,0.8,0.8,0.3504186,0.419053252,0.53,2,june,1622
91,Akwa Ibom,Ikot Abasi,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2021,Ikot Abasi,0.8,0.8,0.8,0.8,0.194063012,0.293529351,0.53,1,june,527
92,Akwa Ibom,Ikot Abasi,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2024,Ikot Abasi,0.8,0.8,0.8,0.8,0.194063012,0.293529351,0.53,2,june,1622
93,Akwa Ibom,Ikot Ekpene,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2021,Ikot Ekpene,0.8,0.8,0.8,0.8,0.356519334,0.424084125,0.53,1,june,527
94,Akwa Ibom,Ikot Ekpene,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2024,Ikot Ekpene,0.8,0.8,0.8,0.8,0.356519334,0.424084125,0.53,2,june,1622
95,Akwa Ibom,Ini,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2021,Ini,0.8,0.8,0.8,0.8,0.395911217,0.45642023,0.53,1,june,527
96,Akwa Ibom,Ini,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2024,Ini,0.8,0.8,0.8,0.8,0.395911217,0.45642023,0.53,2,june,1622
97,Akwa Ibom,Itu,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2021,Itu,0.8,0.8,0.8,0.8,0.415010863,0.471929182,0.53,1,june,527
98,Akwa Ibom,Itu,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2024,Itu,0.8,0.8,0.8,0.8,0.415010863,0.471929182,0.53,2,june,1622
99,Akwa Ibom,Mbo,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2021,Mbo,0.8,0.8,0.8,0.8,0.299002486,0.376723643,0.53,1,june,527
100,Akwa Ibom,Mbo,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2024,Mbo,0.8,0.8,0.8,0.8,0.299002486,0.376723643,0.53,2,june,1622
103,Akwa Ibom,Nsit Atai,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2021,Nsit Atai,0.8,0.8,0.8,0.8,0.243345201,0.331769618,0.53,1,june,527
104,Akwa Ibom,Nsit Atai,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2024,Nsit Atai,0.8,0.8,0.8,0.8,0.243345201,0.331769618,0.53,2,june,1622
105,Akwa Ibom,Nsit Ibom,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2021,Nsit Ibom,0.8,0.8,0.8,0.8,0.357951303,0.425264532,0.53,1,june,527
106,Akwa Ibom,Nsit Ibom,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2024,Nsit Ibom,0.8,0.8,0.8,0.8,0.357951303,0.425264532,0.53,2,june,1622
107,Akwa Ibom,Nsit Ubium,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2021,Nsit Ubium,0.8,0.8,0.8,0.8,0.247213687,0.334843575,0.53,1,june,527
108,Akwa Ibom,Nsit Ubium,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2024,Nsit Ubium,0.8,0.8,0.8,0.8,0.247213687,0.334843575,0.53,2,june,1622
109,Akwa Ibom,Obot Akara,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2021,Obot Akara,0.8,0.8,0.8,0.8,0.376065149,0.440171735,0.53,1,june,527
110,Akwa Ibom,Obot Akara,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2024,Obot Akara,0.8,0.8,0.8,0.8,0.376065149,0.440171735,0.53,2,june,1622
111,Akwa Ibom,Okobo,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2021,Okobo,0.8,0.8,0.8,0.8,0.269257198,0.352520839,0.53,1,june,527
112,Akwa Ibom,Okobo,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2024,Okobo,0.8,0.8,0.8,0.8,0.269257198,0.352520839,0.53,2,june,1622
115,Akwa Ibom,Oron,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2021,Oron,0.8,0.8,0.8,0.8,0.308094501,0.384179387,0.53,1,june,527
