,adm1,LGA,MapB_mix,llin,repDS,year,LGA_old,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,mortality_rate,kill_rate,round,peak,simday
1,Abia,Arochukwu,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2020,Arochukwu,0.409807769,0.327133985,0.239735094,0.325629622,0.431823298,0.485441926,1,june,162
2,Abia,Arochukwu,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2023,Arochukwu,0.409807769,0.327133985,0.239735094,0.325629622,0.431823298,0.485441926,2,june,1257
3,Abia,Bende,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2020,Bende,0.254506108,0.25399127,0.099431805,0.181414612,0.451630723,0.501154968,1,june,162
4,Abia,Bende,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2023,Bende,0.254506108,0.25399127,0.099431805,0.181414612,0.451630723,0.501154968,2,june,1257
5,Abia,Ikwuano,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2020,Ikwuano,0.393004114,0.324127916,0.425072045,0.42030651,0.469780688,0.51532143,1,june,162
6,Abia,Ikwuano,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2023,Ikwuano,0.393004114,0.324127916,0.425072045,0.42030651,0.469780688,0.51532143,2,june,1257
7,Abia,Isiala-Ngwa North,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2020,Isiala-Ngwa North,0.042898792,0.129356358,0.071963678,0.059840232,0.347639146,0.416760484,1,june,162
8,Abia,Isiala-Ngwa North,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2023,Isiala-Ngwa North,0.042898792,0.129356358,0.071963678,0.059840232,0.347639146,0.416760484,2,june,1257
9,Abia,Isiala-Ngwa South,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2020,Isiala-Ngwa South,0.104366275,0.076877973,0.219305704,0.117883509,0.381316588,0.444481729,1,june,162
10,Abia,Isiala-Ngwa South,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2023,Isiala-Ngwa South,0.104366275,0.076877973,0.219305704,0.117883509,0.381316588,0.444481729,2,june,1257
11,Abia,Isuikwato,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2020,Isuikwato,0.45242915,0.153256705,0.105045492,0.230249359,0.414408176,0.471442169,1,june,162
12,Abia,Isuikwato,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2023,Isuikwato,0.45242915,0.153256705,0.105045492,0.230249359,0.414408176,0.471442169,2,june,1257
13,Abia,Ohafia,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2020,Ohafia,0.182997461,0.109757356,0.143886995,0.184305851,0.433165676,0.486514324,1,june,162
14,Abia,Ohafia,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2023,Ohafia,0.182997461,0.109757356,0.143886995,0.184305851,0.433165676,0.486514324,2,june,1257
15,Abia,Ukwa East,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2020,Ukwa East,0.217391304,0.055555556,0.04,0.071428571,0.30363416,0.380519132,1,june,162
16,Abia,Ukwa East,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2023,Ukwa East,0.217391304,0.055555556,0.04,0.071428571,0.30363416,0.380519132,2,june,1257
17,Abia,Ukwa West,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2020,Ukwa West,0.33446468,0.294193051,0.202569073,0.227821791,0.294680951,0.373187786,1,june,162
18,Abia,Ukwa West,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2023,Ukwa West,0.33446468,0.294193051,0.202569073,0.227821791,0.294680951,0.373187786,2,june,1257
19,Abia,Umu-Neochi,CM+IPTp+LLINs+IPTi,itn ,Oru West,2020,Umu-Neochi,0.414834691,0.505751301,0.336016178,0.369315235,0.436597759,0.489251418,1,june,162
20,Abia,Umu-Neochi,CM+IPTp+LLINs+IPTi,itn ,Oru West,2023,Umu-Neochi,0.414834691,0.505751301,0.336016178,0.369315235,0.436597759,0.489251418,2,june,1257
21,Abia,Umuahia North,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2020,Umuahia North,0.133333333,0.266473717,0.2,0.175438596,0.451576154,0.501112024,1,june,162
22,Abia,Umuahia North,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2023,Umuahia North,0.133333333,0.266473717,0.2,0.175438596,0.451576154,0.501112024,2,june,1257
23,Abia,Umuahia South,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2020,Umuahia South,0.190246395,0.219712762,0.165294373,0.278242778,0.48752647,0.528927156,1,june,162
24,Abia,Umuahia South,CM+IPTp+LLINs+IPTi,itn ,Ngor-Okpala,2023,Umuahia South,0.190246395,0.219712762,0.165294373,0.278242778,0.48752647,0.528927156,2,june,1257
25,Adamawa,Demsa,CM+IPTp+IRS+SMC,itn_pbo,Alkaleri,2020,Demsa,0.45367231,0.28476821,0.267025783,0.384980239,0.495212973,0.534738199,1,july,186
26,Adamawa,Demsa,CM+IPTp+IRS+SMC,itn_pbo,Alkaleri,2023,Demsa,0.45367231,0.28476821,0.267025783,0.384980239,0.495212973,0.534738199,2,july,1281
27,Adamawa,Fufore,CM+IPTp+IRS+SMC,itn_pbo,Alkaleri,2020,Fufore,0.372915678,0.40166749,0.396978755,0.381692756,0.635571581,0.629966874,1,july,186
28,Adamawa,Fufore,CM+IPTp+IRS+SMC,itn_pbo,Alkaleri,2023,Fufore,0.372915678,0.40166749,0.396978755,0.381692756,0.635571581,0.629966874,2,july,1281
29,Adamawa,Ganaye,CM+IPTp+IRS+SMC,itn_pbo,Alkaleri,2020,Ganaye,0.434782609,0.19047619,0.333333333,0.416666667,0.427407559,0.481907173,1,july,186
30,Adamawa,Ganaye,CM+IPTp+IRS+SMC,itn_pbo,Alkaleri,2023,Ganaye,0.434782609,0.19047619,0.333333333,0.416666667,0.427407559,0.481907173,2,july,1281
31,Adamawa,Gireri,CM+IPTp+IRS+SMC,itn_pbo,Darazo,2020,Gireri,0.43370955,0.251051565,0.419360098,0.414123463,0.658506137,0.643299625,1,july,186
32,Adamawa,Gireri,CM+IPTp+IRS+SMC,itn_pbo,Darazo,2023,Gireri,0.43370955,0.251051565,0.419360098,0.414123463,0.658506137,0.643299625,2,july,1281
33,Adamawa,Gombi,CM+IPTp+IRS+SMC,itn_pbo,Alkaleri,2020,Gombi,0.46428318,0.413940794,0.395597499,0.338836572,0.515567645,0.54986676,1,july,186
34,Adamawa,Gombi,CM+IPTp+IRS+SMC,itn_pbo,Alkaleri,2023,Gombi,0.46428318,0.413940794,0.395597499,0.338836572,0.515567645,0.54986676,2,july,1281
35,Adamawa,Guyuk,CM+IPTp+IRS+SMC,itn_pbo,Alkaleri,2020,Guyuk,0.649078623,0.538183465,0.609110853,0.520162675,0.571995521,0.58959986,1,july,186
36,Adamawa,Guyuk,CM+IPTp+IRS+SMC,itn_pbo,Alkaleri,2023,Guyuk,0.649078623,0.538183465,0.609110853,0.520162675,0.571995521,0.58959986,2,july,1281
37,Adamawa,Hong,CM+IPTp+IRS+SMC,itn_pbo,Darazo,2020,Hong,0.608695652,0.444444444,0.24137931,0.384615385,0.634881453,0.629555395,1,july,186
38,Adamawa,Hong,CM+IPTp+IRS+SMC,itn_pbo,Darazo,2023,Hong,0.608695652,0.444444444,0.24137931,0.384615385,0.634881453,0.629555395,2,july,1281
39,Adamawa,Jada,CM+IPTp+IRS+SMC,itn_pbo,Alkaleri,2020,Jada,0.459651437,0.481068068,0.366520339,0.388792505,0.556558753,0.579074542,1,july,186
40,Adamawa,Jada,CM+IPTp+IRS+SMC,itn_pbo,Alkaleri,2023,Jada,0.459651437,0.481068068,0.366520339,0.388792505,0.556558753,0.579074542,2,july,1281
41,Adamawa,Lamurde,CM+IPTp+IRS+SMC,itn_pbo,Alkaleri,2020,Lamurde,0.318181818,0.142857143,0.363636364,0.403225806,0.429924862,0.483923569,1,july,186
42,Adamawa,Lamurde,CM+IPTp+IRS+SMC,itn_pbo,Alkaleri,2023,Lamurde,0.318181818,0.142857143,0.363636364,0.403225806,0.429924862,0.483923569,2,july,1281
43,Adamawa,Madagali,CM+IPTp+LLINs+SMC,itn ,Darazo,2020,Madagali,0.452267101,0.327499677,0.260204646,0.492014848,0.722065325,0.67676674,1,july,186
44,Adamawa,Madagali,CM+IPTp+LLINs+SMC,itn ,Darazo,2023,Madagali,0.452267101,0.327499677,0.260204646,0.492014848,0.722065325,0.67676674,2,july,1281
45,Adamawa,Maiha,CM+IPTp+IRS+SMC,itn_pbo,Alkaleri,2020,Maiha,0.382978723,0.275862069,0.378378378,0.455882353,0.647421068,0.636938432,1,july,186
46,Adamawa,Maiha,CM+IPTp+IRS+SMC,itn_pbo,Alkaleri,2023,Maiha,0.382978723,0.275862069,0.378378378,0.455882353,0.647421068,0.636938432,2,july,1281
47,Adamawa,Mayo-Belwa,CM+IPTp+IRS+SMC,itn_pbo,Alkaleri,2020,Mayo-Belwa,0.64,0.1875,0.44,0.438596491,0.615915722,0.618014343,1,july,186
48,Adamawa,Mayo-Belwa,CM+IPTp+IRS+SMC,itn_pbo,Alkaleri,2023,Mayo-Belwa,0.64,0.1875,0.44,0.438596491,0.615915722,0.618014343,2,july,1281
49,Adamawa,Michika,CM+IPTp+LLINs+SMC,itn ,Darazo,2020,Michika,0.5,0.428571429,0.166666667,0.396551724,0.688720491,0.659846477,1,july,186
50,Adamawa,Michika,CM+IPTp+LLINs+SMC,itn ,Darazo,2023,Michika,0.5,0.428571429,0.166666667,0.396551724,0.688720491,0.659846477,2,july,1281
51,Adamawa,Mubi North,CM+IPTp+LLINs+SMC,itn ,Darazo,2020,Mubi North,0.337183006,0.375322672,0.325618543,0.360855615,0.698641529,0.665027176,1,july,186
52,Adamawa,Mubi North,CM+IPTp+LLINs+SMC,itn ,Darazo,2023,Mubi North,0.337183006,0.375322672,0.325618543,0.360855615,0.698641529,0.665027176,2,july,1281
53,Adamawa,Mubi South,CM+IPTp+IRS+SMC,itn_pbo,Darazo,2020,Mubi South,0.395320489,0.421511053,0.491295171,0.42711917,0.692375167,0.661769417,1,july,186
54,Adamawa,Mubi South,CM+IPTp+IRS+SMC,itn_pbo,Darazo,2023,Mubi South,0.395320489,0.421511053,0.491295171,0.42711917,0.692375167,0.661769417,2,july,1281
55,Adamawa,Numan,CM+IPTp+IRS+SMC,itn_pbo,Alkaleri,2020,Numan,0.833333333,0.4375,0.368421053,0.611111111,0.518273564,0.55184819,1,july,186
56,Adamawa,Numan,CM+IPTp+IRS+SMC,itn_pbo,Alkaleri,2023,Numan,0.833333333,0.4375,0.368421053,0.611111111,0.518273564,0.55184819,2,july,1281
57,Adamawa,Shelleng,CM+IPTp+IRS+SMC,itn_pbo,Darazo,2020,Shelleng,0.364360702,0.294522122,0.31610634,0.366244989,0.58914423,0.600969346,1,july,186
58,Adamawa,Shelleng,CM+IPTp+IRS+SMC,itn_pbo,Darazo,2023,Shelleng,0.364360702,0.294522122,0.31610634,0.366244989,0.58914423,0.600969346,2,july,1281
59,Adamawa,Song,CM+IPTp+IRS+SMC,itn_pbo,Darazo,2020,Song,0.481299215,0.567045456,0.489233428,0.494332723,0.551949619,0.575879905,1,july,186
60,Adamawa,Song,CM+IPTp+IRS+SMC,itn_pbo,Darazo,2023,Song,0.481299215,0.567045456,0.489233428,0.494332723,0.551949619,0.575879905,2,july,1281
61,Adamawa,Toungo,CM+IPTp+IRS+SMC,itn_pbo,Keana,2020,Toungo,0.433333333,0.357142857,0.454545455,0.295081967,0.383744468,0.446472042,1,august,223
62,Adamawa,Toungo,CM+IPTp+IRS+SMC,itn_pbo,Keana,2023,Toungo,0.433333333,0.357142857,0.454545455,0.295081967,0.383744468,0.446472042,2,august,1318
63,Adamawa,Yola North,CM+IPTp+IRS+SMC,itn_pbo,Alkaleri,2020,Yola North,0.489106732,0.454789001,0.414279228,0.409390884,0.581884889,0.596198663,1,july,186
64,Adamawa,Yola North,CM+IPTp+IRS+SMC,itn_pbo,Alkaleri,2023,Yola North,0.489106732,0.454789001,0.414279228,0.409390884,0.581884889,0.596198663,2,july,1281
65,Adamawa,Yola South,CM+IPTp+IRS+SMC,itn_pbo,Alkaleri,2020,Yola South,0.523809524,0.375,0.444444444,0.259259259,0.57254926,0.589972357,1,july,186
66,Adamawa,Yola South,CM+IPTp+IRS+SMC,itn_pbo,Alkaleri,2023,Yola South,0.523809524,0.375,0.444444444,0.259259259,0.57254926,0.589972357,2,july,1281
67,Akwa Ibom,Abak,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2021,Abak,0.117647059,0.066666667,0.173913043,0.163934426,0.358412263,0.425644469,1,june,527
68,Akwa Ibom,Abak,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2024,Abak,0.117647059,0.066666667,0.173913043,0.163934426,0.358412263,0.425644469,2,june,1622
69,Akwa Ibom,Eastern Obolo,CM+IPTp+IRS+IPTi,itn_pbo,Nsit Ubium,2021,Eastern Obolo,0.611111111,0.388888889,0.323529412,0.360655738,0.178491572,0.281859788,1,june,527
70,Akwa Ibom,Eastern Obolo,CM+IPTp+IRS+IPTi,itn_pbo,Nsit Ubium,2024,Eastern Obolo,0.611111111,0.388888889,0.323529412,0.360655738,0.178491572,0.281859788,2,june,1622
71,Akwa Ibom,Eket,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2021,Eket,0.363636364,0.333333333,0.35,0.318181818,0.238612216,0.328021397,1,june,527
72,Akwa Ibom,Eket,CM+IPTp+LLINs+IPTi,itn ,Nsit Ubium,2024,Eket,0.363636364,0.333333333,0.35,0.318181818,0.238612216,0.328021397,2,june,1622
