LGA,MapA_mix,llin_type,smc_LGA,repDS,peak,simday,year,round,duration,coverage_high_access,coverage_low_access,max_age
Demsa,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,186,2020,1,-1,0.8,0.2,5
Demsa,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,216,2020,2,-1,0.8,0.2,5
Demsa,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,246,2020,3,-1,0.8,0.2,5
Demsa,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,276,2020,4,-1,0.8,0.2,5
Fufore,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,186,2020,1,-1,0.8,0.2,5
Fufore,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,216,2020,2,-1,0.8,0.2,5
Fufore,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,246,2020,3,-1,0.8,0.2,5
Fufore,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,276,2020,4,-1,0.8,0.2,5
Ganaye,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,186,2020,1,-1,0.8,0.2,5
Ganaye,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,216,2020,2,-1,0.8,0.2,5
Ganaye,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,246,2020,3,-1,0.8,0.2,5
Ganaye,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,276,2020,4,-1,0.8,0.2,5
Gireri,CM+IPTp+IRS+SMC,itn_pbo,smc,Darazo,july,186,2020,1,-1,0.8,0.2,5
Gireri,CM+IPTp+IRS+SMC,itn_pbo,smc,Darazo,july,216,2020,2,-1,0.8,0.2,5
Gireri,CM+IPTp+IRS+SMC,itn_pbo,smc,Darazo,july,246,2020,3,-1,0.8,0.2,5
Gireri,CM+IPTp+IRS+SMC,itn_pbo,smc,Darazo,july,276,2020,4,-1,0.8,0.2,5
Gombi,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,186,2020,1,-1,0.8,0.2,5
Gombi,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,216,2020,2,-1,0.8,0.2,5
Gombi,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,246,2020,3,-1,0.8,0.2,5
Gombi,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,276,2020,4,-1,0.8,0.2,5
Guyuk,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,186,2020,1,-1,0.8,0.2,5
Guyuk,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,216,2020,2,-1,0.8,0.2,5
