adm1,LGA,smc_map_B,repDS,peak,simday,year,round,duration,coverage_high_access,coverage_low_access,max_age
Adamawa,Demsa,SMC,Alkaleri,july,186,2020,1,-1,0.96,0.24,5
Adamawa,Demsa,SMC,Alkaleri,july,216,2020,2,-1,0.96,0.24,5
Adamawa,Demsa,SMC,Alkaleri,july,246,2020,3,-1,0.96,0.24,5
Adamawa,Demsa,SMC,Alkaleri,july,276,2020,4,-1,0.96,0.24,5
Adamawa,Fufore,SMC,Alkaleri,july,186,2020,1,-1,0.96,0.24,5
Adamawa,Fufore,SMC,Alkaleri,july,216,2020,2,-1,0.96,0.24,5
Adamawa,Fufore,SMC,Alkaleri,july,246,2020,3,-1,0.96,0.24,5
Adamawa,Fufore,SMC,Alkaleri,july,276,2020,4,-1,0.96,0.24,5
Adamawa,Ganaye,SMC,Alkaleri,july,186,2020,1,-1,0.96,0.24,5
Adamawa,Ganaye,SMC,Alkaleri,july,216,2020,2,-1,0.96,0.24,5
Adamawa,Ganaye,SMC,Alkaleri,july,246,2020,3,-1,0.96,0.24,5
Adamawa,Ganaye,SMC,Alkaleri,july,276,2020,4,-1,0.96,0.24,5
Adamawa,Gireri,SMC,Darazo,july,186,2020,1,-1,0.96,0.24,5
Adamawa,Gireri,SMC,Darazo,july,216,2020,2,-1,0.96,0.24,5
Adamawa,Gireri,SMC,Darazo,july,246,2020,3,-1,0.96,0.24,5
Adamawa,Gireri,SMC,Darazo,july,276,2020,4,-1,0.96,0.24,5
Adamawa,Gombi,SMC,Alkaleri,july,186,2020,1,-1,0.96,0.24,5
Adamawa,Gombi,SMC,Alkaleri,july,216,2020,2,-1,0.96,0.24,5
Adamawa,Gombi,SMC,Alkaleri,july,246,2020,3,-1,0.96,0.24,5
Adamawa,Gombi,SMC,Alkaleri,july,276,2020,4,-1,0.96,0.24,5
Adamawa,Guyuk,SMC,Alkaleri,july,186,2020,1,-1,0.96,0.24,5
Adamawa,Guyuk,SMC,Alkaleri,july,216,2020,2,-1,0.96,0.24,5
Adamawa,Guyuk,SMC,Alkaleri,july,246,2020,3,-1,0.96,0.24,5
Adamawa,Guyuk,SMC,Alkaleri,july,276,2020,4,-1,0.96,0.24,5
Adamawa,Hong,SMC,Darazo,july,186,2020,1,-1,0.96,0.24,5
Adamawa,Hong,SMC,Darazo,july,216,2020,2,-1,0.96,0.24,5
Adamawa,Hong,SMC,Darazo,july,246,2020,3,-1,0.96,0.24,5
Adamawa,Hong,SMC,Darazo,july,276,2020,4,-1,0.96,0.24,5
Adamawa,Jada,SMC,Alkaleri,july,186,2020,1,-1,0.96,0.24,5
Adamawa,Jada,SMC,Alkaleri,july,216,2020,2,-1,0.96,0.24,5
Adamawa,Jada,SMC,Alkaleri,july,246,2020,3,-1,0.96,0.24,5
Adamawa,Jada,SMC,Alkaleri,july,276,2020,4,-1,0.96,0.24,5
Adamawa,Lamurde,SMC,Alkaleri,july,186,2020,1,-1,0.96,0.24,5
Adamawa,Lamurde,SMC,Alkaleri,july,216,2020,2,-1,0.96,0.24,5
Adamawa,Lamurde,SMC,Alkaleri,july,246,2020,3,-1,0.96,0.24,5
Adamawa,Lamurde,SMC,Alkaleri,july,276,2020,4,-1,0.96,0.24,5
Adamawa,Madagali,SMC,Darazo,july,186,2020,1,-1,0.96,0.24,5
Adamawa,Madagali,SMC,Darazo,july,216,2020,2,-1,0.96,0.24,5
Adamawa,Madagali,SMC,Darazo,july,246,2020,3,-1,0.96,0.24,5
Adamawa,Madagali,SMC,Darazo,july,276,2020,4,-1,0.96,0.24,5
Adamawa,Maiha,SMC,Alkaleri,july,186,2020,1,-1,0.96,0.24,5
Adamawa,Maiha,SMC,Alkaleri,july,216,2020,2,-1,0.96,0.24,5
Adamawa,Maiha,SMC,Alkaleri,july,246,2020,3,-1,0.96,0.24,5
Adamawa,Maiha,SMC,Alkaleri,july,276,2020,4,-1,0.96,0.24,5
Adamawa,Mayo-Belwa,SMC,Alkaleri,july,186,2020,1,-1,0.96,0.24,5
Adamawa,Mayo-Belwa,SMC,Alkaleri,july,216,2020,2,-1,0.96,0.24,5
Adamawa,Mayo-Belwa,SMC,Alkaleri,july,246,2020,3,-1,0.96,0.24,5
Adamawa,Mayo-Belwa,SMC,Alkaleri,july,276,2020,4,-1,0.96,0.24,5
Adamawa,Michika,SMC,Darazo,july,186,2020,1,-1,0.96,0.24,5
Adamawa,Michika,SMC,Darazo,july,216,2020,2,-1,0.96,0.24,5
Adamawa,Michika,SMC,Darazo,july,246,2020,3,-1,0.96,0.24,5
Adamawa,Michika,SMC,Darazo,july,276,2020,4,-1,0.96,0.24,5
Adamawa,Mubi North,SMC,Darazo,july,186,2020,1,-1,0.96,0.24,5
Adamawa,Mubi North,SMC,Darazo,july,216,2020,2,-1,0.96,0.24,5
Adamawa,Mubi North,SMC,Darazo,july,246,2020,3,-1,0.96,0.24,5
Adamawa,Mubi North,SMC,Darazo,july,276,2020,4,-1,0.96,0.24,5
Adamawa,Mubi South,SMC,Darazo,july,186,2020,1,-1,0.96,0.24,5
Adamawa,Mubi South,SMC,Darazo,july,216,2020,2,-1,0.96,0.24,5
Adamawa,Mubi South,SMC,Darazo,july,246,2020,3,-1,0.96,0.24,5
Adamawa,Mubi South,SMC,Darazo,july,276,2020,4,-1,0.96,0.24,5
Adamawa,Numan,SMC,Alkaleri,july,186,2020,1,-1,0.96,0.24,5
Adamawa,Numan,SMC,Alkaleri,july,216,2020,2,-1,0.96,0.24,5
Adamawa,Numan,SMC,Alkaleri,july,246,2020,3,-1,0.96,0.24,5
Adamawa,Numan,SMC,Alkaleri,july,276,2020,4,-1,0.96,0.24,5
Adamawa,Shelleng,SMC,Darazo,july,186,2020,1,-1,0.96,0.24,5
Adamawa,Shelleng,SMC,Darazo,july,216,2020,2,-1,0.96,0.24,5
Adamawa,Shelleng,SMC,Darazo,july,246,2020,3,-1,0.96,0.24,5
Adamawa,Shelleng,SMC,Darazo,july,276,2020,4,-1,0.96,0.24,5
Adamawa,Song,SMC,Darazo,july,186,2020,1,-1,0.96,0.24,5
Adamawa,Song,SMC,Darazo,july,216,2020,2,-1,0.96,0.24,5
Adamawa,Song,SMC,Darazo,july,246,2020,3,-1,0.96,0.24,5
Adamawa,Song,SMC,Darazo,july,276,2020,4,-1,0.96,0.24,5
Adamawa,Toungo,SMC,Keana,august,223,2020,1,-1,0.96,0.24,5
Adamawa,Toungo,SMC,Keana,august,253,2020,2,-1,0.96,0.24,5
Adamawa,Toungo,SMC,Keana,august,283,2020,3,-1,0.96,0.24,5
Adamawa,Toungo,SMC,Keana,august,313,2020,4,-1,0.96,0.24,5
Adamawa,Yola North,SMC,Alkaleri,july,186,2020,1,-1,0.96,0.24,5
Adamawa,Yola North,SMC,Alkaleri,july,216,2020,2,-1,0.96,0.24,5
Adamawa,Yola North,SMC,Alkaleri,july,246,2020,3,-1,0.96,0.24,5
Adamawa,Yola North,SMC,Alkaleri,july,276,2020,4,-1,0.96,0.24,5
Adamawa,Yola South,SMC,Alkaleri,july,186,2020,1,-1,0.96,0.24,5
Adamawa,Yola South,SMC,Alkaleri,july,216,2020,2,-1,0.96,0.24,5
Adamawa,Yola South,SMC,Alkaleri,july,246,2020,3,-1,0.96,0.24,5
Adamawa,Yola South,SMC,Alkaleri,july,276,2020,4,-1,0.96,0.24,5
Bauchi,Alkaleri,SMC,Alkaleri,july,186,2020,1,-1,0.96,0.24,5
Bauchi,Alkaleri,SMC,Alkaleri,july,216,2020,2,-1,0.96,0.24,5
Bauchi,Alkaleri,SMC,Alkaleri,july,246,2020,3,-1,0.96,0.24,5
Bauchi,Alkaleri,SMC,Alkaleri,july,276,2020,4,-1,0.96,0.24,5
Bauchi,Bauchi,SMC,Alkaleri,july,186,2020,1,-1,0.96,0.24,5
Bauchi,Bauchi,SMC,Alkaleri,july,216,2020,2,-1,0.96,0.24,5
