"","LGA","Rep_DS","State","U5_coverage","adult_coverage","simday","duration","year","round","severe_cases","scale_m","scale_values"
"1","Aba North","Ngor-Okpala",NA,0.389615804786297,0.389615804786297,71,365,2020,1,0.596242401786297,2,0.106242401786297
"2","Aba North","Ngor-Okpala",NA,0.442737005679445,0.442737005679445,436,365,2021,2,0.649363602679445,3,0.159363602679445
"3","Aba North","Ngor-Okpala",NA,0.495858206572593,0.495858206572593,801,365,2022,3,0.702484803572593,4,0.212484803572593
"4","Aba North","Ngor-Okpala",NA,0.548979407465742,0.548979407465742,1166,365,2023,4,0.755606004465742,5,0.265606004465742
"5","Aba North","Ngor-Okpala",NA,0.60210060835889,0.60210060835889,1531,365,2024,5,0.8,6,0.31872720535889
"6","Aba North","Ngor-Okpala",NA,0.655221809252038,0.655221809252038,1896,365,2025,6,0.8,7,0.371848406252038
"7","Aba North","Ngor-Okpala",NA,0.708343010145187,0.708343010145187,2261,365,2026,7,0.8,8,0.424969607145187
"8","Aba North","Ngor-Okpala",NA,0.761464211038335,0.761464211038335,2626,365,2027,8,0.8,9,0.478090808038335
"9","Aba North","Ngor-Okpala",NA,0.8,0.8,2991,365,2028,9,0.8,10,0.531212008931483
"10","Aba North","Ngor-Okpala",NA,0.8,0.8,3356,365,2029,10,0.8,11,0.584333209824632
"11","Aba North","Ngor-Okpala",NA,0.8,0.8,3721,365,2030,11,0.8,12,0.63745441071778
"12","Aba South","Ngor-Okpala",NA,0.389615804786297,0.389615804786297,71,365,2020,1,0.596242401786297,2,0.106242401786297
"13","Aba South","Ngor-Okpala",NA,0.442737005679445,0.442737005679445,436,365,2021,2,0.649363602679445,3,0.159363602679445
"14","Aba South","Ngor-Okpala",NA,0.495858206572593,0.495858206572593,801,365,2022,3,0.702484803572593,4,0.212484803572593
"15","Aba South","Ngor-Okpala",NA,0.548979407465742,0.548979407465742,1166,365,2023,4,0.755606004465742,5,0.265606004465742
"16","Aba South","Ngor-Okpala",NA,0.60210060835889,0.60210060835889,1531,365,2024,5,0.8,6,0.31872720535889
"17","Aba South","Ngor-Okpala",NA,0.655221809252038,0.655221809252038,1896,365,2025,6,0.8,7,0.371848406252038
"18","Aba South","Ngor-Okpala",NA,0.708343010145187,0.708343010145187,2261,365,2026,7,0.8,8,0.424969607145187
"19","Aba South","Ngor-Okpala",NA,0.761464211038335,0.761464211038335,2626,365,2027,8,0.8,9,0.478090808038335
"20","Aba South","Ngor-Okpala",NA,0.8,0.8,2991,365,2028,9,0.8,10,0.531212008931483
"21","Aba South","Ngor-Okpala",NA,0.8,0.8,3356,365,2029,10,0.8,11,0.584333209824632
"22","Aba South","Ngor-Okpala",NA,0.8,0.8,3721,365,2030,11,0.8,12,0.63745441071778
"23","Abadam","Babura",NA,0.480513634021052,0.480513634021052,71,365,2020,1,0.621236275021052,2,0.131236275021052
"24","Abadam","Babura",NA,0.546131771531578,0.546131771531578,436,365,2021,2,0.686854412531578,3,0.196854412531578
"25","Abadam","Babura",NA,0.611749909042104,0.611749909042104,801,365,2022,3,0.752472550042104,4,0.262472550042104
"26","Abadam","Babura",NA,0.67736804655263,0.67736804655263,1166,365,2023,4,0.8,5,0.32809068755263
"27","Abadam","Babura",NA,0.742986184063157,0.742986184063157,1531,365,2024,5,0.8,6,0.393708825063157
"28","Abadam","Babura",NA,0.8,0.8,1896,365,2025,6,0.8,7,0.459326962573683
"29","Abadam","Babura",NA,0.8,0.8,2261,365,2026,7,0.8,8,0.524945100084209
"30","Abadam","Babura",NA,0.8,0.8,2626,365,2027,8,0.8,9,0.590563237594735
"31","Abadam","Babura",NA,0.8,0.8,2991,365,2028,9,0.8,10,0.656181375105261
"32","Abadam","Babura",NA,0.8,0.8,3356,365,2029,10,0.8,11,0.721799512615787
"33","Abadam","Babura",NA,0.8,0.8,3721,365,2030,11,0.8,12,0.787417650126313
"34","Abaji","Keana",NA,0.292588303093708,0.292588303093708,71,365,2020,1,0.536457460093708,2,0.0464574600937085
"35","Abaji","Keana",NA,0.315817033140563,0.315817033140563,436,365,2021,2,0.559686190140563,3,0.0696861901405627
"36","Abaji","Keana",NA,0.339045763187417,0.339045763187417,801,365,2022,3,0.582914920187417,4,0.092914920187417
"37","Abaji","Keana",NA,0.362274493234271,0.362274493234271,1166,365,2023,4,0.606143650234271,5,0.116143650234271
"38","Abaji","Keana",NA,0.385503223281125,0.385503223281125,1531,365,2024,5,0.629372380281126,6,0.139372380281125
"39","Abaji","Keana",NA,0.40873195332798,0.40873195332798,1896,365,2025,6,0.65260111032798,7,0.16260111032798
"40","Abaji","Keana",NA,0.431960683374834,0.431960683374834,2261,365,2026,7,0.675829840374834,8,0.185829840374834
"41","Abaji","Keana",NA,0.455189413421688,0.455189413421688,2626,365,2027,8,0.699058570421688,9,0.209058570421688
"42","Abaji","Keana",NA,0.478418143468542,0.478418143468542,2991,365,2028,9,0.722287300468542,10,0.232287300468542
"43","Abaji","Keana",NA,0.501646873515397,0.501646873515397,3356,365,2029,10,0.745516030515397,11,0.255516030515397
"44","Abaji","Keana",NA,0.524875603562251,0.524875603562251,3721,365,2030,11,0.768744760562251,12,0.278744760562251
"45","Abak","Nsit Ubium",NA,0.389193912706117,0.389193912706117,71,365,2020,1,0.581466151706117,2,0.0914661517061167
"46","Abak","Nsit Ubium",NA,0.434926988559175,0.434926988559175,436,365,2021,2,0.627199227559175,3,0.137199227559175
"47","Abak","Nsit Ubium",NA,0.480660064412233,0.480660064412233,801,365,2022,3,0.672932303412233,4,0.182932303412233
"48","Abak","Nsit Ubium",NA,0.526393140265292,0.526393140265292,1166,365,2023,4,0.718665379265292,5,0.228665379265292
"49","Abak","Nsit Ubium",NA,0.57212621611835,0.57212621611835,1531,365,2024,5,0.76439845511835,6,0.27439845511835
"50","Abak","Nsit Ubium",NA,0.617859291971409,0.617859291971409,1896,365,2025,6,0.8,7,0.320131530971409
"51","Abak","Nsit Ubium",NA,0.663592367824467,0.663592367824467,2261,365,2026,7,0.8,8,0.365864606824467
"52","Abak","Nsit Ubium",NA,0.709325443677525,0.709325443677525,2626,365,2027,8,0.8,9,0.411597682677525
"53","Abak","Nsit Ubium",NA,0.755058519530584,0.755058519530584,2991,365,2028,9,0.8,10,0.457330758530584
"54","Abak","Nsit Ubium",NA,0.8,0.8,3356,365,2029,10,0.8,11,0.503063834383642
"55","Abak","Nsit Ubium",NA,0.8,0.8,3721,365,2030,11,0.8,12,0.5487969102367
"56","Abakaliki","Owan East",NA,0.437593634289479,0.437593634289479,71,365,2020,1,0.574844756289479,2,0.0848447562894792
"57","Abakaliki","Owan East",NA,0.480016012434219,0.480016012434219,436,365,2021,2,0.617267134434219,3,0.127267134434219
"58","Abakaliki","Owan East",NA,0.522438390578958,0.522438390578958,801,365,2022,3,0.659689512578958,4,0.169689512578958
"59","Abakaliki","Owan East",NA,0.564860768723698,0.564860768723698,1166,365,2023,4,0.702111890723698,5,0.212111890723698
"60","Abakaliki","Owan East",NA,0.607283146868438,0.607283146868438,1531,365,2024,5,0.744534268868438,6,0.254534268868438
"61","Abakaliki","Owan East",NA,0.649705525013177,0.649705525013177,1896,365,2025,6,0.786956647013177,7,0.296956647013177
"62","Abakaliki","Owan East",NA,0.692127903157917,0.692127903157917,2261,365,2026,7,0.8,8,0.339379025157917
"63","Abakaliki","Owan East",NA,0.734550281302657,0.734550281302657,2626,365,2027,8,0.8,9,0.381801403302657
"64","Abakaliki","Owan East",NA,0.776972659447396,0.776972659447396,2991,365,2028,9,0.8,10,0.424223781447396
"65","Abakaliki","Owan East",NA,0.8,0.8,3356,365,2029,10,0.8,11,0.466646159592136
"66","Abakaliki","Owan East",NA,0.8,0.8,3721,365,2030,11,0.8,12,0.509068537736875
"67","Abeokuta North","Owan East",NA,0.601318541289479,0.601318541289479,71,365,2020,1,0.574844756289479,2,0.0848447562894792
"68","Abeokuta North","Owan East",NA,0.643740919434219,0.643740919434219,436,365,2021,2,0.617267134434219,3,0.127267134434219
"69","Abeokuta North","Owan East",NA,0.686163297578958,0.686163297578958,801,365,2022,3,0.659689512578958,4,0.169689512578958
"70","Abeokuta North","Owan East",NA,0.728585675723698,0.728585675723698,1166,365,2023,4,0.702111890723698,5,0.212111890723698
"71","Abeokuta North","Owan East",NA,0.771008053868438,0.771008053868438,1531,365,2024,5,0.744534268868438,6,0.254534268868438
"72","Abeokuta North","Owan East",NA,0.8,0.8,1896,365,2025,6,0.786956647013177,7,0.296956647013177
"73","Abeokuta North","Owan East",NA,0.8,0.8,2261,365,2026,7,0.8,8,0.339379025157917
"74","Abeokuta North","Owan East",NA,0.8,0.8,2626,365,2027,8,0.8,9,0.381801403302657
"75","Abeokuta North","Owan East",NA,0.8,0.8,2991,365,2028,9,0.8,10,0.424223781447396
"76","Abeokuta North","Owan East",NA,0.8,0.8,3356,365,2029,10,0.8,11,0.466646159592136
