State,CM_coverage_2020,CM_coverage_2021,CM_coverage_2022,CM_coverage_2023,CM_coverage_2024,CM_coverage_2025,CM_coverage_2026,CM_coverage_2027,CM_coverage_2028,CM_coverage_2029,CM_coverage_2030,IPTp_coverage_2020,IPTp_coverage_2021,IPTp_coverage_2022,IPTp_coverage_2023,IPTp_coverage_2024,IPTp_coverage_2025,IPTp_coverage_2026,IPTp_coverage_2027,IPTp_coverage_2028,IPTp_coverage_2029,IPTp_coverage_2030,ITN_coverage_2020,ITN_coverage_2021,ITN_coverage_2022,ITN_coverage_2023,ITN_coverage_2024,ITN_coverage_2025,ITN_coverage_2026,ITN_coverage_2027,ITN_coverage_2028,ITN_coverage_2029,ITN_coverage_2030,SMC_coverage_2020,SMC_coverage_2021,SMC_coverage_2022,SMC_coverage_2023,SMC_coverage_2024,SMC_coverage_2025,SMC_coverage_2026,SMC_coverage_2027,SMC_coverage_2028,SMC_coverage_2029,SMC_coverage_2030
Abia,0.611684466867958,0.6072348327719824,0.6097662074683328,0.6100315144183256,0.6040842650978789,0.6100106827228708,0.6119486348380818,0.6077355081465401,0.6052200271581147,0.6078883342452956,0.6096651719469108,0.7189051184770003,0.7472746694760203,0.7754365521933583,0.8035984349106968,0.8223038434682612,0.8223038434682612,0.8223038434682612,0.8223038434682612,0.8223038434682612,0.8223038434682612,0.8223038434682612,0.01975403026294787,0.02464487475015588,0.016112581221211536,0.02322823978136157,0.025438365462509056,0.01657234962143288,0.02345994106624587,0.025610877019005093,0.016649046886380345,0.023581868533626597,0.025730948146173986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adamawa,0.5283475168769993,0.5233384215209708,0.5245994163533179,0.5292235724682544,0.5235029809152636,0.5292140645471819,0.5272648020267747,0.5245848664027225,0.5279828404175582,0.5298873275553716,0.5280813050686965,0.6711837878919917,0.7062492628312069,0.7368641416937208,0.7674790206224427,0.7900421394652708,0.7966094659803894,0.801252793963924,0.804240224616642,0.8066391824850757,0.8066391824850757,0.8066391824850757,0.02320561618863383,0.03154659108764681,0.02064135636618848,0.026642605748567232,0.0322321277607611,0.021134987490267484,0.027018453786013138,0.03229681007654652,0.021280924344787188,0.02710164931769812,0.03227635033317922,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Akwa lbom,0.6098810813227782,0.6144976116051086,0.6095776625656493,0.6074032395453005,0.6107275513661816,0.6097280276167595,0.6089304119679997,0.6136229122271827,0.6097931164610608,0.6097483462193554,0.6104639216510317,0.6863383681042566,0.7193296750174045,0.7517124561251356,0.7840952372089991,0.8059658365516473,0.8070208071782592,0.8070208071782592,0.8070208071782592,0.8070208071782592,0.8070208071782592,0.8070208071782592,0.007567021752201519,0.01841979490843375,0.02378282902670608,0.015857071191985535,0.022705636632123216,0.025087516799870983,0.01677342240042226,0.023330862724252707,0.025426776975760127,0.016826386500803717,0.0233773379896492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anambra,0.7447295869270094,0.7499738672949274,0.7361084137540441,0.7468263582629342,0.7445081986706115,0.7559632983639087,0.7440083064452299,0.7422098042658605,0.7371409037139525,0.747794905886263,0.7367941621259335,0.7686042841978244,0.791746255464623,0.8083291058480855,0.8242084864632128,0.8347557323639336,0.8347557323639336,0.8347557323639336,0.8347557323639336,0.8347557323639336,0.8347557323639336,0.8347557323639336,0.017703662081919036,0.0221366816311723,0.014582296642715714,0.020902409734488103,0.0229924231180305,0.01528364837001387,0.021485297025325888,0.023175426872725963,0.015341801565780851,0.0214994013929477,0.023300692318170946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bauchi,0.42052786143750087,0.4241624969384147,0.4195269022246298,0.4195674299268868,0.4242182388482865,0.4211080058239144,0.4229945673433372,0.426020443158064,0.4200380990219644,0.42162863551487945,0.4257954518254342,0.5723090880790576,0.6001424426531022,0.6249125783555991,0.6477558279248745,0.662301250665601,0.6751721291503476,0.6824578497849575,0.6888594624613422,0.6941849580213291,0.6978348133221531,0.698191977950331,0.011987413922350185,0.020102991917607487,0.031607084406684575,0.02064406690452516,0.025118279770971096,0.032322908777360555,0.021255317240416335,0.025521574214505384,0.03234984045666943,0.021093404336652202,0.025357474038289193,0.7617126814662262,0.7617126814662262,0.7617126814662262,0.7617126814662262,0.7617126814662262,0.7617126814662262,0.7617126814662262,0.7617126814662262,0.7617126814662262,0.7617126814662262,0.7617126814662262
Bayelsa,0.6523809131289882,0.6612687599263944,0.643352286722775,0.6445155584846685,0.6151028268389895,0.6378232643314357,0.6084890199279254,0.6589126338578779,0.6566467685417692,0.6538541759495141,0.6694962476367229,0.562604876992128,0.6057434842738155,0.6488820911154846,0.6920206979571537,0.7284923577302825,0.751750335278883,0.7560138856386733,0.7602774359039742,0.7645409861692751,0.7648345726615929,0.7648345726615929,0.021084772472557543,0.02386029521476908,0.01550933998808171,0.024127093900120945,0.02496159961016402,0.016278211503619057,0.024642371144352488,0.02521680831502765,0.016616452618280826,0.02471824634969219,0.025086310339423747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benue,0.47660909908521065,0.477809633910384,0.4752390930306037,0.47715546207515863,0.4760410392729286,0.47665916921266127,0.4779514448437124,0.4767566391601131,0.4772934145502596,0.47743061811875326,0.4778459736045983,0.6392856288213491,0.6833793243877869,0.7250940305407647,0.7641212726990045,0.7888172755377507,0.7949380309747958,0.798400881251466,0.800223100371642,0.8016212360983366,0.8027646169366185,0.8027646169366185,0.023798967511070784,0.03391894083581752,0.022377766564210103,0.027319219380315327,0.03430288981903034,0.022624406581734962,0.027476612395765664,0.03429573116458374,0.02265912568340255,0.027565355761283643,0.03465853281179783,0.6095976088350721,0.6095976088350721,0.6095976088350721,0.6095976088350721,0.6095976088350721,0.6095976088350721,0.6095976088350721,0.6095976088350721,0.6095976088350721,0.6095976088350721,0.6095976088350721
Borno,0.5164707921784005,0.5159885399087404,0.5122849370351046,0.5212207556846432,0.515831215494283,0.5163102150233694,0.5196229592856199,0.5197513474946501,0.5177275861668748,0.5209803288980073,0.5176782799405768,0.5866161642220293,0.6289550763474289,0.6685355233592531,0.7056258640795193,0.732628009768054,0.7396751695018984,0.7458076712306334,0.7486491905434234,0.7501876054470513,0.7506562131687712,0.7506562131687712,0.02352322067928441,0.030684621899887157,0.020375106319985792,0.026372801722048887,0.03124197897645484,0.02064541939529991,0.02653665505590527,0.031116073647637726,0.02060081900372054,0.02661309259858813,0.03125068794498788,0.7531314905743239,0.7531314905743239,0.7531314905743239,0.7531314905743239,0.7531314905743239,0.7531314905743239,0.7531314905743239,0.7531314905743239,0.7531314905743239,0.7531314905743239,0.7531314905743239
Cross River,0.6208683681686157,0.6261538340912454,0.622322174267565,0.6202839823400383,0.6259333799878735,0.619432053162974,0.6194200553914351,0.6243001456396935,0.6205647063268394,0.621804954510474,0.6248249053509523,0.7034808363856159,0.7355258538293237,0.7675708705628456,0.7996158872963678,0.8209005129107442,0.8209005129107442,0.8209005129107442,0.8209005129107442,0.8209005129107442,0.8209005129107442,0.8209005129107442,0.011164262344776653,0.022958168877644243,0.02953513551649991,0.01976321744714651,0.027547208255585955,0.03061768701096659,0.020501723093482107,0.027850063140188525,0.030665632054756947,0.020506299295824034,0.027971044920251237,0.2613319522208841,0.2613319522208841,0.2613319522208841,0.2613319522208841,0.2613319522208841,0.2613319522208841,0.2613319522208841,0.2613319522208841,0.2613319522208841,0.2613319522208841,0.2613319522208841
Delta,0.5257954364151292,0.5217814835409333,0.5224354185687831,0.5187449515512407,0.5261348409769465,0.5240908379079949,0.5229336409782691,0.521118594508555,0.5213419213623103,0.5201007735980506,0.5213380363961826,0.6668026015085026,0.7052064371406682,0.7425644934920897,0.7799225499034949,0.8031391808437208,0.8059018287734685,0.8069522811202764,0.8072932154011286,0.807634149674425,0.8079750839477214,0.8083160182210178,0.006712494197878367,0.004736401880914644,0.01777941473819937,0.023792826560682056,0.015721818829065044,0.023070264375713134,0.02526443607905427,0.016732046253265322,0.023662997026159045,0.025541469949045343,0.016769762864253475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ebonyi,0.6932508684092888,0.6865655896639538,0.6911157762157353,0.690277325254557,0.6937497834152022,0.6892684252011675,0.6954512423745837,0.689743455709059,0.692747339246021,0.6950447794188768,0.6899179405179876,0.6258197491513771,0.6585717290871781,0.6880741372251266,0.7111058735254008,0.7298274553752232,0.7411047952666152,0.7505894541797853,0.7558964864046253,0.7593078279391035,0.7594300985536415,0.7594300985536415,0.033472436848305163,0.03193191996394885,0.0211203052567714,0.03486288424649238,0.032162167543232305,0.021253816614651037,0.03498878843271881,0.032005266834167184,0.020972052473833793,0.03494611564401352,0.032164064942970964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edo,0.5777903040071524,0.5806727030734984,0.5736086021249126,0.5732829004015796,0.57434084478497,0.5771011901556229,0.5724706962397025,0.5773414171534477,0.5683659938217523,0.5753894490799801,0.5736198127039315,0.6883360522944334,0.7216543990452846,0.7549727451058543,0.7873188998715248,0.8083506339351995,0.8083506339351995,0.8083506339351995,0.8083506339351995,0.8083506339351995,0.8083506339351995,0.8083506339351995,0.0235567659575921,0.025141624725171143,0.016413785822315875,0.02648407027203589,0.026028057683075728,0.017019883953777706,0.02673049024621685,0.02620541037207093,0.017321933860738544,0.02710117966741791,0.02653931223389857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ekiti,0.4714195844891119,0.47334553893326015,0.4753694759154942,0.4780507999713279,0.4753773503059627,0.4741817708543463,0.478358196667687,0.47527309830794023,0.4760460083073967,0.47591878673125965,0.47673288689180354,0.5480735468265319,0.5856731689252598,0.623272790812933,0.6608724125021546,0.6900665334502573,0.7024101804363709,0.7147538274224846,0.7242319764590441,0.7242319764590441,0.7242319764590441,0.7242319764590441,0.019086556504933957,0.021329373159030204,0.01409189891789154,0.02172934354093132,0.022187399011015976,0.014664983860601439,0.02206196182473591,0.022166341096256356,0.014508301565404355,0.021908115876808208,0.021987958315826096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Enugu,0.7192035538743753,0.7161597752373948,0.7098628713947325,0.7230119985912199,0.7188843962470072,0.7213234394752117,0.7075449058571247,0.719347692313387,0.7084190369932244,0.7173553059270704,0.7153403008757299,0.6859274028813991,0.7257499876125054,0.7560675634428483,0.7841142661437441,0.8023568912725578,0.8034406149660451,0.8034406149660451,0.8034406149660451,0.8034406149660451,0.8034406149660451,0.8034406149660451,0.018688365240218337,0.022415628536058874,0.014576854548661554,0.02206231114453343,0.023612470437035647,0.015400196653560847,0.022575458133064656,0.02378009499972397,0.015507309178403081,0.02258686803560503,0.023679335576357048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federal Capital Territory,0.43938269402615915,0.4502907304536816,0.4380857611469553,0.44472745096458255,0.44046213064003586,0.4417131799970869,0.4458667110243373,0.43716019827973285,0.4472539234699116,0.44289459431305156,0.44084350967909436,0.6393172628620352,0.6661096230197894,0.6914455850404533,0.7167815470611173,0.7411841954534801,0.7637407003776266,0.786297204801873,0.8088537092261194,0.8227147431939267,0.8227147431939267,0.8227147431939267,0.01476497812919918,0.025350215883085267,0.016399432988976753,0.018724646797596375,0.02656898661925427,0.017249429838873055,0.019207716006039197,0.026723047713860665,0.017489222412106632,0.019234690486665314,0.02651165337098761,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Gombe,0.3742914048322328,0.3787634001112783,0.37369266482729363,0.3774290853692098,0.37774114470738457,0.3723632461604267,0.37440788967159605,0.3812782138127511,0.3773204490469541,0.37436805690497316,0.3783172173390659,0.5400571952223909,0.5713881663110963,0.5972400890499325,0.6196076914916961,0.6377265036736472,0.6465992337023546,0.6553580693780087,0.6641169050536627,0.668746921383329,0.6727776047812984,0.6765768705227251,0.009565774897913385,0.018254385152696936,0.02645433883629049,0.017402922571305907,0.022555705570410867,0.0270849444658263,0.01784176901424853,0.02282897451457248,0.027241055256786675,0.01792146477030056,0.02283024633366364,0.6678205155464835,0.6678205155464835,0.6678205155464835,0.6678205155464835,0.6678205155464835,0.6678205155464835,0.6678205155464835,0.6678205155464835,0.6678205155464835,0.6678205155464835,0.6678205155464835
Imo,0.6129797959915513,0.6147772462664297,0.612467167677662,0.6161516557109328,0.6125320868659433,0.6102692558611922,0.6133635117194101,0.6092965635678929,0.6127138132260103,0.6150431806471691,0.6118945991436014,0.6648079764848204,0.6954217087280893,0.723784936314669,0.7520620221885227,0.7708439498528303,0.7708439498528303,0.7708439498528303,0.7708439498528303,0.7708439498528303,0.7708439498528303,0.7708439498528303,0.017917602395227283,0.022413000399998627,0.01481944015583088,0.021258849930532668,0.023462235066166584,0.015526136843067272,0.02164764484339281,0.0234914094145257,0.015583357533742561,0.021678454190006115,0.023589262848241744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jigawa,0.5571597536808428,0.5649950296500494,0.5605368553833185,0.5584724144627563,0.5576306301074978,0.5568107805896395,0.5616058516842403,0.5584718620305392,0.5575945978553015,0.556470906327104,0.5588777830777759,0.6225423586375481,0.6579734595044553,0.6837619841606464,0.7061946578617213,0.7240232506381561,0.7368882359010667,0.7468971337401058,0.7543137859409237,0.7601353515662146,0.7630352443518158,0.7642789149703684,0.018819523328045047,0.026800819691516597,0.036836518688011986,0.024182956357710932,0.03064012928216354,0.036969898377328704,0.024222144586043878,0.030770009116917147,0.037041086264908485,0.02431847636600928,0.030838811960369344,0.7777416851488872,0.7777416851488872,0.7777416851488872,0.7777416851488872,0.7777416851488872,0.7777416851488872,0.7777416851488872,0.7777416851488872,0.7777416851488872,0.7777416851488872,0.7777416851488872
