"","LGA","repDS","year","LGA_old","U5_ITN_use","six_nine_ITN_use","ten_eighteen_ITN_use","over_eighteen_ITN_use","mortality_rate","kill_rate","block_initial","round","peak","simday"
"1","Aba North","Ngor-Okpala",2020,"Aba North",0.568493072,0.659164498,0.542350367,0.517512273,0.319067389,0.393201897,0.53,1,"june",162
"12","Aba North","Ngor-Okpala",2023,"Aba North",0.568493072,0.659164498,0.542350367,0.517512273,0.319067389,0.393201897,0.53,2,"june",1257
"14","Aba North","Ngor-Okpala",2026,"Aba North",0.568493072,0.659164498,0.542350367,0.517512273,0.319067389,0.393201897,0.53,3,"june",2352
"16","Aba North","Ngor-Okpala",2029,"Aba North",0.568493072,0.659164498,0.542350367,0.517512273,0.319067389,0.393201897,0.53,4,"june",3447
"3","Aba South","Ngor-Okpala",2020,"Aba South",0.632585871,0.62691277,0.442141206,0.489843907,0.311454386,0.38693958,0.53,1,"june",162
"32","Aba South","Ngor-Okpala",2023,"Aba South",0.632585871,0.62691277,0.442141206,0.489843907,0.311454386,0.38693958,0.53,2,"june",1257
"34","Aba South","Ngor-Okpala",2026,"Aba South",0.632585871,0.62691277,0.442141206,0.489843907,0.311454386,0.38693958,0.53,3,"june",2352
"36","Aba South","Ngor-Okpala",2029,"Aba South",0.632585871,0.62691277,0.442141206,0.489843907,0.311454386,0.38693958,0.53,4,"june",3447
"1491","Abadam","Babura",2020,"Abadam",0.8,0.8,0.8,0.8,0.658846787,0.643492642,0.53,1,"may",131
"14911","Abadam","Babura",2023,"Abadam",0.8,0.8,0.8,0.8,0.658846787,0.643492642,0.53,2,"may",1226
"14912","Abadam","Babura",2026,"Abadam",0.8,0.8,0.8,0.8,0.658846787,0.643492642,0.53,3,"may",2321
"14913","Abadam","Babura",2029,"Abadam",0.8,0.8,0.8,0.8,0.658846787,0.643492642,0.53,4,"may",3416
"487","Abaji","Keana",2020,"Abaji",0.626753569,0.442500786,0.381989309,0.541084875,0.476373849,0.520406247,0.53,1,"august",223
"4871","Abaji","Keana",2023,"Abaji",0.626753569,0.442500786,0.381989309,0.541084875,0.476373849,0.520406247,0.53,2,"august",1318
"4872","Abaji","Keana",2026,"Abaji",0.626753569,0.442500786,0.381989309,0.541084875,0.476373849,0.520406247,0.53,3,"august",2413
"4873","Abaji","Keana",2029,"Abaji",0.626753569,0.442500786,0.381989309,0.541084875,0.476373849,0.520406247,0.53,4,"august",3508
"53","Abak","Nsit Ubium",2021,"Abak",0.317647059,0.266666667,0.373913043,0.363934426,0.358412263,0.425644469,0.53,1,"june",527
