,LGA,Rep_DS,State,U5_coverage,adult_coverage,severe_cases,simday,duration,year,start_day_override,round
1,Aba North,Ngor-Okpala,NA,0.283373403,0.283373403,0.49,0,196,2020,1,1
2,Aba North,Ngor-Okpala,NA,0.297542073,0.297542073,0.539,196,154,2020,1,2
3,Aba North,Ngor-Okpala,NA,0.300375807,0.300375807,0.588,350,212,2021,1,3
4,Aba North,Ngor-Okpala,NA,0.303209541,0.303209541,0.637,562,154,2021,1,4
5,Aba North,Ngor-Okpala,NA,0.306043275,0.306043275,0.686,716,202,2022,1,5
6,Aba North,Ngor-Okpala,NA,0.308877009,0.308877009,0.735,918,159,2022,1,6
7,Aba North,Ngor-Okpala,NA,0.311710743,0.311710743,0.784,1077,219,2023,1,7
8,Aba North,Ngor-Okpala,NA,0.317378211,0.317378211,0.8,1296,136,2023,1,8
9,Aba North,Ngor-Okpala,NA,0.425060105,0.425060105,0.8,1432,218,2024,1,9
10,Aba North,Ngor-Okpala,NA,0.566746806,0.566746806,0.8,1650,151,2024,1,10
11,Aba North,Ngor-Okpala,NA,0.708433508,0.708433508,0.8,1801,185,2025,1,11
12,Aba North,Ngor-Okpala,NA,0.8,0.8,0.8,1986,183,2025,1,12
13,Aba North,Ngor-Okpala,NA,0.8,0.8,0.8,0,-1,2025,1,13
14,Aba South,Ngor-Okpala,NA,0.283373403,0.283373403,0.49,0,196,2020,1,1
15,Aba South,Ngor-Okpala,NA,0.297542073,0.297542073,0.539,196,154,2020,1,2
16,Aba South,Ngor-Okpala,NA,0.300375807,0.300375807,0.588,350,212,2021,1,3
17,Aba South,Ngor-Okpala,NA,0.303209541,0.303209541,0.637,562,154,2021,1,4
18,Aba South,Ngor-Okpala,NA,0.306043275,0.306043275,0.686,716,202,2022,1,5
19,Aba South,Ngor-Okpala,NA,0.308877009,0.308877009,0.735,918,159,2022,1,6
20,Aba South,Ngor-Okpala,NA,0.311710743,0.311710743,0.784,1077,219,2023,1,7
21,Aba South,Ngor-Okpala,NA,0.317378211,0.317378211,0.8,1296,136,2023,1,8
22,Aba South,Ngor-Okpala,NA,0.425060105,0.425060105,0.8,1432,218,2024,1,9
23,Aba South,Ngor-Okpala,NA,0.566746806,0.566746806,0.8,1650,151,2024,1,10
24,Aba South,Ngor-Okpala,NA,0.708433508,0.708433508,0.8,1801,185,2025,1,11
25,Aba South,Ngor-Okpala,NA,0.8,0.8,0.8,1986,183,2025,1,12
26,Aba South,Ngor-Okpala,NA,0.8,0.8,0.8,0,-1,2025,1,13
27,Abadam,Babura,NA,0.349277359,0.349277359,0.49,0,196,2020,1,1
28,Abadam,Babura,NA,0.366741227,0.366741227,0.539,196,154,2020,1,2
29,Abadam,Babura,NA,0.370234001,0.370234001,0.588,350,212,2021,1,3
30,Abadam,Babura,NA,0.373726774,0.373726774,0.637,562,154,2021,1,4
31,Abadam,Babura,NA,0.377219548,0.377219548,0.686,716,202,2022,1,5
32,Abadam,Babura,NA,0.380712321,0.380712321,0.735,918,159,2022,1,6
33,Abadam,Babura,NA,0.384205095,0.384205095,0.784,1077,219,2023,1,7
34,Abadam,Babura,NA,0.391190642,0.391190642,0.8,1296,136,2023,1,8
35,Abadam,Babura,NA,0.523916039,0.523916039,0.8,1432,218,2024,1,9
36,Abadam,Babura,NA,0.698554718,0.698554718,0.8,1650,151,2024,1,10
37,Abadam,Babura,NA,0.8,0.8,0.8,1801,185,2025,1,11
38,Abadam,Babura,NA,0.8,0.8,0.8,1986,183,2025,1,12
39,Abadam,Babura,NA,0.8,0.8,0.8,0,-1,2025,1,13
40,Abaji,Keana,NA,0.246130843,0.246130843,0.49,0,196,2020,1,1
41,Abaji,Keana,NA,0.52979664,0.52979664,0.539,196,154,2020,1,2
42,Abaji,Keana,NA,0.537451309,0.537451309,0.588,350,212,2021,1,3
43,Abaji,Keana,NA,0.8,0.8,0.637,562,154,2021,1,4
44,Abaji,Keana,NA,0.8,0.8,0.686,716,202,2022,1,5
45,Abaji,Keana,NA,0.8,0.8,0.735,918,159,2022,1,6
46,Abaji,Keana,NA,0.8,0.8,0.784,1077,219,2023,1,7
47,Abaji,Keana,NA,0.8,0.8,0.8,1296,136,2023,1,8
48,Abaji,Keana,NA,0.8,0.8,0.8,1432,218,2024,1,9
49,Abaji,Keana,NA,0.8,0.8,0.8,1650,151,2024,1,10
50,Abaji,Keana,NA,0.8,0.8,0.8,1801,185,2025,1,11
51,Abaji,Keana,NA,0.8,0.8,0.8,1986,183,2025,1,12
52,Abaji,Keana,NA,0.8,0.8,0.8,0,-1,2025,1,13
53,Abak,Nsit Ubium,NA,0.297727761,0.297727761,0.49,0,196,2020,1,1
54,Abak,Nsit Ubium,NA,0.312614149,0.312614149,0.539,196,154,2020,1,2
55,Abak,Nsit Ubium,NA,0.315591427,0.315591427,0.588,350,212,2021,1,3
56,Abak,Nsit Ubium,NA,0.318568704,0.318568704,0.637,562,154,2021,1,4
57,Abak,Nsit Ubium,NA,0.321545982,0.321545982,0.686,716,202,2022,1,5
58,Abak,Nsit Ubium,NA,0.324523259,0.324523259,0.735,918,159,2022,1,6
59,Abak,Nsit Ubium,NA,0.327500537,0.327500537,0.784,1077,219,2023,1,7
60,Abak,Nsit Ubium,NA,0.333455092,0.333455092,0.8,1296,136,2023,1,8
61,Abak,Nsit Ubium,NA,0.446591642,0.446591642,0.8,1432,218,2024,1,9
62,Abak,Nsit Ubium,NA,0.595455522,0.595455522,0.8,1650,151,2024,1,10
63,Abak,Nsit Ubium,NA,0.744319403,0.744319403,0.8,1801,185,2025,1,11
64,Abak,Nsit Ubium,NA,0.8,0.8,0.8,1986,183,2025,1,12
65,Abak,Nsit Ubium,NA,0.8,0.8,0.8,0,-1,2025,1,13
