"","LGA","repDS","year","LGA_old","U5_ITN_use","six_nine_ITN_use","ten_eighteen_ITN_use","over_eighteen_ITN_use","mortality_rate","kill_rate","block_initial","round","peak","simday"
"1","Aba North","Ngor-Okpala",2020,"Aba North",0.468493072,0.559164498,0.442350367,0.417512273,0.319067389,0.393201897,0.53,1,"june",162
"2","Aba North","Ngor-Okpala",2023,"Aba North",0.468493072,0.559164498,0.442350367,0.417512273,0.319067389,0.393201897,0.53,2,"june",1257
"3","Aba South","Ngor-Okpala",2020,"Aba South",0.532585871,0.52691277,0.342141206,0.389843907,0.311454386,0.38693958,0.53,1,"june",162
"4","Aba South","Ngor-Okpala",2023,"Aba South",0.532585871,0.52691277,0.342141206,0.389843907,0.311454386,0.38693958,0.53,2,"june",1257
"5","Arochukwu","Ngor-Okpala",2020,"Arochukwu",0.509807769,0.427133985,0.339735094,0.425629622,0.431823298,0.485441926,0.53,1,"june",162
"6","Arochukwu","Ngor-Okpala",2023,"Arochukwu",0.509807769,0.427133985,0.339735094,0.425629622,0.431823298,0.485441926,0.53,2,"june",1257
"7","Bende","Ngor-Okpala",2020,"Bende",0.354506108,0.35399127,0.199431805,0.281414612,0.451630723,0.501154968,0.53,1,"june",162
"8","Bende","Ngor-Okpala",2023,"Bende",0.354506108,0.35399127,0.199431805,0.281414612,0.451630723,0.501154968,0.53,2,"june",1257
"9","Ikwuano","Ngor-Okpala",2020,"Ikwuano",0.493004114,0.424127916,0.525072045,0.52030651,0.469780688,0.51532143,0.53,1,"june",162
"10","Ikwuano","Ngor-Okpala",2023,"Ikwuano",0.493004114,0.424127916,0.525072045,0.52030651,0.469780688,0.51532143,0.53,2,"june",1257
"11","Isiala-Ngwa North","Ngor-Okpala",2020,"Isiala-Ngwa North",0.142898792,0.229356358,0.171963678,0.159840232,0.347639146,0.416760484,0.53,1,"june",162
"12","Isiala-Ngwa North","Ngor-Okpala",2023,"Isiala-Ngwa North",0.142898792,0.229356358,0.171963678,0.159840232,0.347639146,0.416760484,0.53,2,"june",1257
"13","Isiala-Ngwa South","Ngor-Okpala",2020,"Isiala-Ngwa South",0.204366275,0.176877973,0.319305704,0.217883509,0.381316588,0.444481729,0.53,1,"june",162
"14","Isiala-Ngwa South","Ngor-Okpala",2023,"Isiala-Ngwa South",0.204366275,0.176877973,0.319305704,0.217883509,0.381316588,0.444481729,0.53,2,"june",1257
"15","Isuikwato","Ngor-Okpala",2020,"Isuikwato",0.55242915,0.253256705,0.205045492,0.330249359,0.414408176,0.471442169,0.53,1,"june",162
