"","LGA_old","repDS","year","LGA","U5_ITN_use","six_nine_ITN_use","ten_eighteen_ITN_use","over_eighteen_ITN_use","round","peak","llins1","mortality","kill_rate","block_initial","simday"
"1","Aba North","Ngor-Okpala",2020,"Aba North",0.479040994,0.596913847,0.445055477,0.412765955,1,"june","Urban areas",0.319067389,0.393201897,0.53,162
"2","Aba North","Ngor-Okpala",2023,"Aba North",0.479040994,0.596913847,0.445055477,0.412765955,2,"june","Urban areas",0.319067389,0.393201897,0.53,1257
"3","Aba South","Ngor-Okpala",2020,"Aba South",0.562361632,0.554986601,0.314783568,0.376797079,1,"june","Urban areas",0.311454386,0.38693958,0.53,162
"4","Aba South","Ngor-Okpala",2023,"Aba South",0.562361632,0.554986601,0.314783568,0.376797079,2,"june","Urban areas",0.311454386,0.38693958,0.53,1257
"5","Arochukwu","Ngor-Okpala",2020,"Arochukwu",0.5327501,0.425274181,0.311655622,0.423318509,1,"june","PBO",0.431823298,0.742819598,0.65,162
"6","Arochukwu","Ngor-Okpala",2023,"Arochukwu",0.5327501,0.425274181,0.311655622,0.423318509,2,"june","PBO",0.431823298,0.742819598,0.65,1257
"7","Bende","Ngor-Okpala",2020,"Bende",0.33085794,0.330188651,0.129261347,0.235838996,1,"june","PBO",0.451630723,0.744124763,0.65,162
"8","Bende","Ngor-Okpala",2023,"Bende",0.33085794,0.330188651,0.129261347,0.235838996,2,"june","PBO",0.451630723,0.744124763,0.65,1257
"9","Ikwuano","Ngor-Okpala",2020,"Ikwuano",0.510905348,0.421366291,0.552593659,0.546398463,1,"june","PBO",0.469780688,0.74514594,0.65,162
"10","Ikwuano","Ngor-Okpala",2023,"Ikwuano",0.510905348,0.421366291,0.552593659,0.546398463,2,"june","PBO",0.469780688,0.74514594,0.65,1257
"11","Isiala-Ngwa North","Ngor-Okpala",2020,"Isiala-Ngwa North",0.05576843,0.168163265,0.093552781,0.077792302,1,"june","PBO",0.347639146,0.733784825,0.65,162
"12","Isiala-Ngwa North","Ngor-Okpala",2023,"Isiala-Ngwa North",0.05576843,0.168163265,0.093552781,0.077792302,2,"june","PBO",0.347639146,0.733784825,0.65,1257
"13","Isiala-Ngwa South","Ngor-Okpala",2020,"Isiala-Ngwa South",0.135676158,0.099941365,0.285097415,0.153248562,1,"june","PBO",0.381316588,0.738260872,0.65,162
"14","Isiala-Ngwa South","Ngor-Okpala",2023,"Isiala-Ngwa South",0.135676158,0.099941365,0.285097415,0.153248562,2,"june","PBO",0.381316588,0.738260872,0.65,1257
"15","Isuikwato","Ngor-Okpala",2020,"Isuikwato",0.588157895,0.199233717,0.13655914,0.299324167,1,"june","PBO",0.414408176,0.741473832,0.65,162
"16","Isuikwato","Ngor-Okpala",2023,"Isuikwato",0.588157895,0.199233717,0.13655914,0.299324167,2,"june","PBO",0.414408176,0.741473832,0.65,1257
"17","Obi Nwa","Ngor-Okpala",2020,"Obi Nwa",0.39,0.606666667,0.413636363,0.446875,1,"june","Urban areas",0.339144556,0.409752288,0.53,162
"18","Obi Nwa","Ngor-Okpala",2023,"Obi Nwa",0.39,0.606666667,0.413636363,0.446875,2,"june","Urban areas",0.339144556,0.409752288,0.53,1257
"19","Ohafia","Ngor-Okpala",2020,"Ohafia",0.237896699,0.142684563,0.187053094,0.239597606,1,"june","PBO",0.433165676,0.742915145,0.65,162
"20","Ohafia","Ngor-Okpala",2023,"Ohafia",0.237896699,0.142684563,0.187053094,0.239597606,2,"june","PBO",0.433165676,0.742915145,0.65,1257
