,LGA_old,repDS,year,LGA,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,round,peak,simday,llins_plan,mortality,kill_rate,block_initial
1,Aba North,Ngor-Okpala,2020,Aba North,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.319067389,0.728614023,0.65
2,Aba North,Ngor-Okpala,2023,Aba North,0.8,0.8,0.8,0.8,2,june,1257,PBO(2021),0.319067389,0.728614023,0.65
3,Aba South,Ngor-Okpala,2020,Aba South,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.311454386,0.726957127,0.65
4,Aba South,Ngor-Okpala,2023,Aba South,0.8,0.8,0.8,0.8,2,june,1257,PBO(2021),0.311454386,0.726957127,0.65
5,Arochukwu,Ngor-Okpala,2020,Arochukwu,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.431823298,0.742819598,0.65
6,Arochukwu,Ngor-Okpala,2023,Arochukwu,0.8,0.8,0.8,0.8,2,june,1257,PBO(2021),0.431823298,0.742819598,0.65
7,Bende,Ngor-Okpala,2020,Bende,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.451630723,0.744124763,0.65
8,Bende,Ngor-Okpala,2023,Bende,0.8,0.8,0.8,0.8,2,june,1257,PBO(2021),0.451630723,0.744124763,0.65
9,Ikwuano,Ngor-Okpala,2020,Ikwuano,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.469780688,0.74514594,0.65
10,Ikwuano,Ngor-Okpala,2023,Ikwuano,0.8,0.8,0.8,0.8,2,june,1257,PBO(2021),0.469780688,0.74514594,0.65
11,Isiala-Ngwa North,Ngor-Okpala,2020,Isiala-Ngwa North,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.347639146,0.733784825,0.65
12,Isiala-Ngwa North,Ngor-Okpala,2023,Isiala-Ngwa North,0.8,0.8,0.8,0.8,2,june,1257,PBO(2021),0.347639146,0.733784825,0.65
13,Isiala-Ngwa South,Ngor-Okpala,2020,Isiala-Ngwa South,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.381316588,0.738260872,0.65
14,Isiala-Ngwa South,Ngor-Okpala,2023,Isiala-Ngwa South,0.8,0.8,0.8,0.8,2,june,1257,PBO(2021),0.381316588,0.738260872,0.65
15,Isuikwato,Ngor-Okpala,2020,Isuikwato,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.414408176,0.741473832,0.65
16,Isuikwato,Ngor-Okpala,2023,Isuikwato,0.8,0.8,0.8,0.8,2,june,1257,PBO(2021),0.414408176,0.741473832,0.65
