LGA,Rep_DS,State,U5_coverage,adult_coverage,severe_cases,simday,duration,year,start_day_override
Aba North,Ngor-Okpala,NA,0.340048084,0.340048084,0.588,0,-1,2018,-1
Aba South,Ngor-Okpala,NA,0.340048084,0.340048084,0.588,0,-1,2018,-1
Abadam,Babura,NA,0.419132831,0.419132831,0.588,0,-1,2018,-1
Abaji,Keana,NA,0.295357012,0.295357012,0.588,0,-1,2018,-1
Abak,Nsit Ubium,NA,0.357273313,0.357273313,0.588,0,-1,2018,-1
Abakaliki,Owan East,NA,0.423298654,0.423298654,0.588,0,-1,2018,-1
Abeokuta North,Owan East,NA,0.619768542,0.619768542,0.588,0,-1,2018,-1
Abeokuta South,Uzo-Uwani,NA,0.952131125,0.952131125,0.588,0,-1,2018,-1
Abi,Obubra,NA,0.174193552,0.174193552,0.588,0,-1,2018,-1
Aboh-Mbaise,Ngor-Okpala,NA,0.45,0.45,0.588,0,-1,2018,-1
Abua-Odual,Ahoada West,NA,0.1254071,0.1254071,0.588,0,-1,2018,-1
Abuja Municipal,Keana,NA,0.057748507,0.057748507,0.588,0,-1,2018,-1
Adavi,Owan East,NA,0.334731335,0.334731335,0.588,0,-1,2018,-1
Ado,Akinyele,NA,0.205555573,0.205555573,0.588,0,-1,2018,-1
Ado Ekiti,Owan East,NA,0.334731335,0.334731335,0.588,0,-1,2018,-1
Ado-Odo-Ota,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018,-1
Afijio,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018,-1
Afikpo North,Oru West,NA,1,1,0.588,0,-1,2018,-1
Afikpo South,Ngor-Okpala,NA,0.565142155,0.565142155,0.588,0,-1,2018,-1
Agaie,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018,-1
Agatu,Keana,NA,0.212624656,0.212624656,0.588,0,-1,2018,-1
Agege,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018,-1
Aguata,Oru West,NA,0.522129583,0.522129583,0.588,0,-1,2018,-1
Agwara,Birnin Kebbi,NA,0.506706816,0.506706816,0.588,0,-1,2018,-1
Ahiazu-Mbaise,Ngor-Okpala,NA,0.340048084,0.340048084,0.588,0,-1,2018,-1
Ahoada East,Ahoada West,NA,0.36079587,0.36079587,0.588,0,-1,2018,-1
Ahoada West,Ahoada West,NA,0.4,0.4,0.588,0,-1,2018,-1
Aiyedade,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018,-1
Aiyedire,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018,-1
Ajaokuta,Owan East,NA,0.334731335,0.334731335,0.588,0,-1,2018,-1
Ajeromi-Ifelodun,Uzo-Uwani,NA,0.836942666,0.836942666,0.588,0,-1,2018,-1
Ajingi,Taura,NA,0.209913649,0.209913649,0.588,0,-1,2018,-1
Akamkpa,Ngor-Okpala,NA,0.229665118,0.229665118,0.588,0,-1,2018,-1
Akinyele,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018,-1
Akko,Alkaleri,NA,0.175085338,0.175085338,0.588,0,-1,2018,-1
Akoko North East,Oke-Ero,NA,0.355840765,0.355840765,0.588,0,-1,2018,-1
Akoko North West,Oke-Ero,NA,0.620216782,0.620216782,0.588,0,-1,2018,-1
Akoko South East,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018,-1
Akoko South West,Oke-Ero,NA,0.4,0.4,0.588,0,-1,2018,-1
Akoko-Edo,Owan East,NA,0.520522195,0.520522195,0.588,0,-1,2018,-1
Akpabuyo,Nsit Ubium,NA,0.357273313,0.357273313,0.588,0,-1,2018,-1
Akuku Toru,Ahoada West,NA,0.48,0.48,0.588,0,-1,2018,-1
Akure North,Owan East,NA,0.334731335,0.334731335,0.588,0,-1,2018,-1
Akure South,Owan East,NA,0.6,0.6,0.588,0,-1,2018,-1
Akwanga,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018,-1
Albasu,Takali,NA,0.8,0.8,0.588,0,-1,2018,-1
Aleiro,Birnin Kebbi,NA,0.506706816,0.506706816,0.588,0,-1,2018,-1
Alimosho,Uzo-Uwani,NA,0.329938901,0.329938901,0.588,0,-1,2018,-1
Alkaleri,Alkaleri,NA,0.266541055,0.266541055,0.588,0,-1,2018,-1
Amuwo-Odofin,Isoko South,NA,0.145915488,0.145915488,0.588,0,-1,2018,-1
Anambra East,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018,-1
Anambra West,Uzo-Uwani,NA,0.800364307,0.800364307,0.588,0,-1,2018,-1
Anaocha,Oru West,NA,0.660962602,0.660962602,0.588,0,-1,2018,-1
Andoni,Nsit Ubium,NA,0.199912207,0.199912207,0.588,0,-1,2018,-1
Aninri,Oru West,NA,0.621554018,0.621554018,0.588,0,-1,2018,-1
Aniocha North,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018,-1
Aniocha South,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018,-1
Anka,Darazo,NA,0.097988178,0.097988178,0.588,0,-1,2018,-1
Ankpa,Owan East,NA,0.334731335,0.334731335,0.588,0,-1,2018,-1
Apa,Keana,NA,0.212624656,0.212624656,0.588,0,-1,2018,-1
Apapa,Isoko South,NA,0.145915488,0.145915488,0.588,0,-1,2018,-1
Ardo-Kola,Keana,NA,0.3,0.3,0.588,0,-1,2018,-1
Arewa-Dandi,Birnin Kebbi,NA,0.8,0.8,0.588,0,-1,2018,-1
Argungu,Birnin Kebbi,NA,0.710100031,0.710100031,0.588,0,-1,2018,-1
Arochukwu,Ngor-Okpala,NA,0.340048084,0.340048084,0.588,0,-1,2018,-1
Asa,Oke-Ero,NA,0.4,0.4,0.588,0,-1,2018,-1
Asari-Toru,Ahoada West,NA,0.531476056,0.531476056,0.588,0,-1,2018,-1
Askira-Uba,Darazo,NA,0.137245291,0.137245291,0.588,0,-1,2018,-1
Atakumosa East,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018,-1
Atakumosa West,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018,-1
Atiba,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018,-1
Atigbo,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018,-1
Augie,Birnin Kebbi,NA,0.646153846,0.646153846,0.588,0,-1,2018,-1
Auyo,Taura,NA,0.9,0.9,0.588,0,-1,2018,-1
Awe,Keana,NA,0.212624656,0.212624656,0.588,0,-1,2018,-1
Awgu,Oru West,NA,0.493292914,0.493292914,0.588,0,-1,2018,-1
Awka North,Uzo-Uwani,NA,0.8,0.8,0.588,0,-1,2018,-1
Awka South,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018,-1
Ayamelum,Uzo-Uwani,NA,0.920000016,0.920000016,0.588,0,-1,2018,-1
Babura,Babura,NA,0.595133221,0.595133221,0.588,0,-1,2018,-1
Badagry,Uzo-Uwani,NA,0.504230982,0.504230982,0.588,0,-1,2018,-1
Bade,Taura,NA,0.057142858,0.057142858,0.588,0,-1,2018,-1
Bagudo,Birnin Kebbi,NA,0.414332248,0.414332248,0.588,0,-1,2018,-1
Bagwai,Babura,NA,0.24,0.24,0.588,0,-1,2018,-1
Bakassi,Obubra,NA,0.492116988,0.492116988,0.588,0,-1,2018,-1
Bakori,Gwarzo,NA,0.206607056,0.206607056,0.588,0,-1,2018,-1
Bakura,Darazo,NA,0.137245291,0.137245291,0.588,0,-1,2018,-1
Balanga,Alkaleri,NA,0.256998416,0.256998416,0.588,0,-1,2018,-1
Bali,Keana,NA,0.394727724,0.394727724,0.588,0,-1,2018,-1
Bama,Darazo,NA,0.137245291,0.137245291,0.588,0,-1,2018,-1
Barikin Ladi,Soba,NA,0.024593628,0.024593628,0.588,0,-1,2018,-1
Baruten,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018,-1
Bassa1,Keana,NA,0.24,0.24,0.588,0,-1,2018,-1
Bassa2,Soba,NA,0.024593628,0.024593628,0.588,0,-1,2018,-1
Batagarawa,Rimi,NA,0.447692311,0.447692311,0.588,0,-1,2018,-1
Batsari,Rimi,NA,0.4,0.4,0.588,0,-1,2018,-1
Bauchi,Alkaleri,NA,0.03249299,0.03249299,0.588,0,-1,2018,-1
Baure,Babura,NA,0.428571428,0.428571428,0.588,0,-1,2018,-1
Bayo,Alkaleri,NA,0.6,0.6,0.588,0,-1,2018,-1
Bebeji,Gwarzo,NA,0.206607056,0.206607056,0.588,0,-1,2018,-1
Bekwara,Oke-Ero,NA,0.296207507,0.296207507,0.588,0,-1,2018,-1
Bende,Ngor-Okpala,NA,0.211110965,0.211110965,0.588,0,-1,2018,-1
Biase,Ngor-Okpala,NA,0.705633973,0.705633973,0.588,0,-1,2018,-1
Bichi,Gwarzo,NA,0.206607056,0.206607056,0.588,0,-1,2018,-1
Bida,Oke-Ero,NA,0.6,0.6,0.588,0,-1,2018,-1
Billiri,Alkaleri,NA,0.4,0.4,0.588,0,-1,2018,-1
Bindawa,Rimi,NA,0.12,0.12,0.588,0,-1,2018,-1
Binji,Gawabawa,NA,0.3,0.3,0.588,0,-1,2018,-1
Biriniwa,Taura,NA,0.2,0.2,0.588,0,-1,2018,-1
Birni Kudu,Takali,NA,0.2687797,0.2687797,0.588,0,-1,2018,-1
Birnin Kebbi,Birnin Kebbi,NA,0.687527647,0.687527647,0.588,0,-1,2018,-1
Birnin Magaji,Rimi,NA,0.251994686,0.251994686,0.588,0,-1,2018,-1
Birnin-Gwari,Giwa,NA,0.156609998,0.156609998,0.588,0,-1,2018,-1
Biu,Darazo,NA,0.6,0.6,0.588,0,-1,2018,-1
Bodinga,Gawabawa,NA,0.127957733,0.127957733,0.588,0,-1,2018,-1
Bogoro,Alkaleri,NA,0.280953064,0.280953064,0.588,0,-1,2018,-1
Boki,Obubra,NA,0.3,0.3,0.588,0,-1,2018,-1
Bokkos,Giwa,NA,0.156609998,0.156609998,0.588,0,-1,2018,-1
Boluwaduro,Akinyele,NA,0.185911482,0.185911482,0.588,0,-1,2018,-1
Bomadi,Isoko South,NA,0.145915488,0.145915488,0.588,0,-1,2018,-1
Bonny,Nsit Ubium,NA,0.715856683,0.715856683,0.588,0,-1,2018,-1
