LGA,Rep_DS,U5_coverage,adult_coverage,severe_cases,simday,duration,year
Aba North,Ngor-Okpala,0.368385424,0.368385424,0.637,0,-1,2018
Aba South,Ngor-Okpala,0.368385424,0.368385424,0.637,0,-1,2018
Abadam,Babura,0.454060567,0.454060567,0.637,0,-1,2018
Abaji,Keana,0.319970096,0.319970096,0.637,0,-1,2018
Abak,Nsit Ubium,0.387046089,0.387046089,0.637,0,-1,2018
Abakaliki,Owan East,0.458573541,0.458573541,0.637,0,-1,2018
Abeokuta North,Owan East,0.671415921,0.671415921,0.637,0,-1,2018
Abeokuta South,Uzo-Uwani,0.8,0.8,0.637,0,-1,2018
Abi,Obubra,0.188709681,0.188709681,0.637,0,-1,2018
Aboh-Mbaise,Ngor-Okpala,0.4875,0.4875,0.637,0,-1,2018
Abua-Odual,Ahoada West,0.135857692,0.135857692,0.637,0,-1,2018
Abuja Municipal,Keana,0.062560883,0.062560883,0.637,0,-1,2018
Adavi,Owan East,0.362625613,0.362625613,0.637,0,-1,2018
Ado,Akinyele,0.222685204,0.222685204,0.637,0,-1,2018
Ado Ekiti,Owan East,0.362625613,0.362625613,0.637,0,-1,2018
Ado-Odo-Ota,Uzo-Uwani,0.546250231,0.546250231,0.637,0,-1,2018
Afijio,Akinyele,0.201404106,0.201404106,0.637,0,-1,2018
Afikpo North,Oru West,0.863945585,0.863945585,0.637,0,-1,2018
Afikpo South,Ngor-Okpala,0.612237335,0.612237335,0.637,0,-1,2018
Agaie,Oke-Ero,0.320891466,0.320891466,0.637,0,-1,2018
Agatu,Keana,0.230343377,0.230343377,0.637,0,-1,2018
Agege,Uzo-Uwani,0.546250231,0.546250231,0.637,0,-1,2018
Aguata,Oru West,0.565640382,0.565640382,0.637,0,-1,2018
Agwara,Birnin Kebbi,0.548932384,0.548932384,0.637,0,-1,2018
Ahiazu-Mbaise,Ngor-Okpala,0.368385424,0.368385424,0.637,0,-1,2018
Ahoada East,Ahoada West,0.390862193,0.390862193,0.637,0,-1,2018
Ahoada West,Ahoada West,0.433333333,0.433333333,0.637,0,-1,2018
Aiyedade,Akinyele,0.201404106,0.201404106,0.637,0,-1,2018
Aiyedire,Akinyele,0.201404106,0.201404106,0.637,0,-1,2018
Ajaokuta,Owan East,0.362625613,0.362625613,0.637,0,-1,2018
Ajeromi-Ifelodun,Uzo-Uwani,0.8,0.8,0.637,0,-1,2018
Ajingi,Taura,0.227406453,0.227406453,0.637,0,-1,2018
Akamkpa,Ngor-Okpala,0.248803877,0.248803877,0.637,0,-1,2018
Akinyele,Akinyele,0.201404106,0.201404106,0.637,0,-1,2018
