LGA,Rep_DS,State,U5_coverage,adult_coverage,simday,duration,year,round
Aba North,Ngor-Okpala,NA,0.336494604,0.336494604,468,821,2021,1
Aba North,Ngor-Okpala,NA,0.389615805,0.389615805,1289,762,2023,2
Aba North,Ngor-Okpala,NA,0.442737006,0.442737006,2051,140,2025,3
Aba South,Ngor-Okpala,NA,0.336494604,0.336494604,468,821,2021,1
Aba South,Ngor-Okpala,NA,0.389615805,0.389615805,1289,762,2023,2
Aba South,Ngor-Okpala,NA,0.442737006,0.442737006,2051,140,2025,3
Abadam,Babura,NA,0.414895497,0.414895497,468,821,2021,1
Abadam,Babura,NA,0.480513634,0.480513634,1289,762,2023,2
Abadam,Babura,NA,0.546131772,0.546131772,2051,140,2025,3
Abaji,Keana,NA,0.269359573,0.269359573,468,821,2021,1
Abaji,Keana,NA,0.292588303,0.292588303,1289,762,2023,2
Abaji,Keana,NA,0.315817033,0.315817033,2051,140,2025,3
Abak,Nsit Ubium,NA,0.343460837,0.343460837,468,821,2021,1
Abak,Nsit Ubium,NA,0.389193913,0.389193913,1289,762,2023,2
Abak,Nsit Ubium,NA,0.434926989,0.434926989,2051,140,2025,3
Abakaliki,Owan East,NA,0.395171256,0.395171256,468,821,2021,1
Abakaliki,Owan East,NA,0.437593634,0.437593634,1289,762,2023,2
Abakaliki,Owan East,NA,0.480016012,0.480016012,2051,140,2025,3
Abeokuta North,Owan East,NA,0.558896163,0.558896163,468,821,2021,1
Abeokuta North,Owan East,NA,0.601318541,0.601318541,1289,762,2023,2
Abeokuta North,Owan East,NA,0.643740919,0.643740919,2051,140,2025,3
Abeokuta South,Uzo-Uwani,NA,0.863659569,0.863659569,468,821,2021,1
Abeokuta South,Uzo-Uwani,NA,0.933876535,0.933876535,1289,762,2023,2
Abeokuta South,Uzo-Uwani,NA,1,1,2051,140,2025,3
Abi,Obubra,NA,0.205550492,0.205550492,468,821,2021,1
Abi,Obubra,NA,0.265939692,0.265939692,1289,762,2023,2
Abi,Obubra,NA,0.326328891,0.326328891,2051,140,2025,3
Aboh-Mbaise,Ngor-Okpala,NA,0.428121201,0.428121201,468,821,2021,1
Aboh-Mbaise,Ngor-Okpala,NA,0.481242402,0.481242402,1289,762,2023,2
Aboh-Mbaise,Ngor-Okpala,NA,0.534363603,0.534363603,2051,140,2025,3
Abua-Odual,Ahoada West,NA,0.123020003,0.123020003,468,821,2021,1
Abua-Odual,Ahoada West,NA,0.141534089,0.141534089,1289,762,2023,2
Abua-Odual,Ahoada West,NA,0.160048175,0.160048175,2051,140,2025,3
Abuja Municipal,Keana,NA,0.071352486,0.071352486,468,821,2021,1
Abuja Municipal,Keana,NA,0.094581216,0.094581216,1289,762,2023,2
Abuja Municipal,Keana,NA,0.117809946,0.117809946,2051,140,2025,3
Adavi,Owan East,NA,0.321365157,0.321365157,468,821,2021,1
Adavi,Owan East,NA,0.363787535,0.363787535,1289,762,2023,2
Adavi,Owan East,NA,0.406209913,0.406209913,2051,140,2025,3
Ado,Akinyele,NA,0.199270249,0.199270249,468,821,2021,1
Ado,Akinyele,NA,0.227244186,0.227244186,1289,762,2023,2
Ado,Akinyele,NA,0.255218124,0.255218124,2051,140,2025,3
Ado Ekiti,Owan East,NA,0.321365157,0.321365157,468,821,2021,1
