LGA,Rep_DS,U5_coverage,adult_coverage,simday,duration,year,round,severe_cases
Aba North,Ngor-Okpala,0.336494604,0.336494604,71,365,2020,1,0.543121201
Aba North,Ngor-Okpala,0.389615805,0.389615805,436,365,2021,2,0.596242402
Aba North,Ngor-Okpala,0.442737006,0.442737006,801,365,2022,3,0.649363603
Aba North,Ngor-Okpala,0.495858207,0.495858207,1166,365,2023,4,0.702484804
Aba North,Ngor-Okpala,0.548979407,0.548979407,1532,365,2024,5,0.755606004
Aba North,Ngor-Okpala,0.602100608,0.602100608,1898,294,2025,6,0.808727205
Aba South,Ngor-Okpala,0.336494604,0.336494604,71,365,2020,1,0.543121201
Aba South,Ngor-Okpala,0.389615805,0.389615805,436,365,2021,2,0.596242402
Aba South,Ngor-Okpala,0.442737006,0.442737006,801,365,2022,3,0.649363603
Aba South,Ngor-Okpala,0.495858207,0.495858207,1166,365,2023,4,0.702484804
Aba South,Ngor-Okpala,0.548979407,0.548979407,1532,365,2024,5,0.755606004
Aba South,Ngor-Okpala,0.602100608,0.602100608,1898,294,2025,6,0.808727205
Abadam,Babura,0.414895497,0.414895497,71,365,2020,1,0.555618138
Abadam,Babura,0.480513634,0.480513634,436,365,2021,2,0.621236275
Abadam,Babura,0.546131772,0.546131772,801,365,2022,3,0.686854413
Abadam,Babura,0.611749909,0.611749909,1166,365,2023,4,0.75247255
Abadam,Babura,0.677368047,0.677368047,1532,365,2024,5,0.818090688
Abadam,Babura,0.742986184,0.742986184,1898,294,2025,6,0.883708825
Abaji,Keana,0.269359573,0.269359573,71,365,2020,1,0.51322873
Abaji,Keana,0.292588303,0.292588303,436,365,2021,2,0.53645746
Abaji,Keana,0.315817033,0.315817033,801,365,2022,3,0.55968619
Abaji,Keana,0.339045763,0.339045763,1166,365,2023,4,0.58291492
Abaji,Keana,0.362274493,0.362274493,1532,365,2024,5,0.60614365
Abaji,Keana,0.385503223,0.385503223,1898,294,2025,6,0.62937238
Abak,Nsit Ubium,0.343460837,0.343460837,71,365,2020,1,0.535733076
Abak,Nsit Ubium,0.389193913,0.389193913,436,365,2021,2,0.581466152
Abak,Nsit Ubium,0.434926989,0.434926989,801,365,2022,3,0.627199228
Abak,Nsit Ubium,0.480660064,0.480660064,1166,365,2023,4,0.672932303
Abak,Nsit Ubium,0.52639314,0.52639314,1532,365,2024,5,0.718665379
Abak,Nsit Ubium,0.572126216,0.572126216,1898,294,2025,6,0.764398455
Abakaliki,Owan East,0.395171256,0.395171256,71,365,2020,1,0.532422378
Abakaliki,Owan East,0.437593634,0.437593634,436,365,2021,2,0.574844756
Abakaliki,Owan East,0.480016012,0.480016012,801,365,2022,3,0.617267134
Abakaliki,Owan East,0.522438391,0.522438391,1166,365,2023,4,0.659689513
Abakaliki,Owan East,0.564860769,0.564860769,1532,365,2024,5,0.702111891
Abakaliki,Owan East,0.607283147,0.607283147,1898,294,2025,6,0.744534269
Abeokuta North,Owan East,0.558896163,0.558896163,71,365,2020,1,0.532422378
Abeokuta North,Owan East,0.601318541,0.601318541,436,365,2021,2,0.574844756
Abeokuta North,Owan East,0.643740919,0.643740919,801,365,2022,3,0.617267134
Abeokuta North,Owan East,0.686163298,0.686163298,1166,365,2023,4,0.659689513
Abeokuta North,Owan East,0.728585676,0.728585676,1532,365,2024,5,0.702111891
Abeokuta North,Owan East,0.771008054,0.771008054,1898,294,2025,6,0.744534269
Abeokuta South,Uzo-Uwani,0.863659569,0.863659569,71,365,2020,1,0.560216965
Abeokuta South,Uzo-Uwani,0.933876535,0.933876535,436,365,2021,2,0.630433931
Abeokuta South,Uzo-Uwani,1,1,801,365,2022,3,0.700650896
Abeokuta South,Uzo-Uwani,1,1,1166,365,2023,4,0.770867861
Abeokuta South,Uzo-Uwani,1,1,1532,365,2024,5,0.841084827
Abeokuta South,Uzo-Uwani,1,1,1898,294,2025,6,0.911301792
Abi,Obubra,0.205550492,0.205550492,71,365,2020,1,0.550389199
Abi,Obubra,0.265939692,0.265939692,436,365,2021,2,0.610778399
Abi,Obubra,0.326328891,0.326328891,801,365,2022,3,0.671167598
Abi,Obubra,0.38671809,0.38671809,1166,365,2023,4,0.731556797
Abi,Obubra,0.447107289,0.447107289,1532,365,2024,5,0.791945996
Abi,Obubra,0.507496489,0.507496489,1898,294,2025,6,0.852335196
Aboh-Mbaise,Ngor-Okpala,0.428121201,0.428121201,71,365,2020,1,0.543121201
Aboh-Mbaise,Ngor-Okpala,0.481242402,0.481242402,436,365,2021,2,0.596242402
Aboh-Mbaise,Ngor-Okpala,0.534363603,0.534363603,801,365,2022,3,0.649363603
Aboh-Mbaise,Ngor-Okpala,0.587484804,0.587484804,1166,365,2023,4,0.702484804
Aboh-Mbaise,Ngor-Okpala,0.640606004,0.640606004,1532,365,2024,5,0.755606004
Aboh-Mbaise,Ngor-Okpala,0.693727205,0.693727205,1898,294,2025,6,0.808727205
Abua-Odual,Ahoada West,0.123020003,0.123020003,71,365,2020,1,0.508514086
Abua-Odual,Ahoada West,0.141534089,0.141534089,436,365,2021,2,0.527028172
Abua-Odual,Ahoada West,0.160048175,0.160048175,801,365,2022,3,0.545542258
Abua-Odual,Ahoada West,0.178562261,0.178562261,1166,365,2023,4,0.564056344
Abua-Odual,Ahoada West,0.197076347,0.197076347,1532,365,2024,5,0.58257043
Abua-Odual,Ahoada West,0.215590434,0.215590434,1898,294,2025,6,0.601084517
Abuja Municipal,Keana,0.071352486,0.071352486,71,365,2020,1,0.51322873
Abuja Municipal,Keana,0.094581216,0.094581216,436,365,2021,2,0.53645746
Abuja Municipal,Keana,0.117809946,0.117809946,801,365,2022,3,0.55968619
Abuja Municipal,Keana,0.141038676,0.141038676,1166,365,2023,4,0.58291492
Abuja Municipal,Keana,0.164267406,0.164267406,1532,365,2024,5,0.60614365
Abuja Municipal,Keana,0.187496136,0.187496136,1898,294,2025,6,0.62937238
Adavi,Owan East,0.321365157,0.321365157,71,365,2020,1,0.532422378
Adavi,Owan East,0.363787535,0.363787535,436,365,2021,2,0.574844756
Adavi,Owan East,0.406209913,0.406209913,801,365,2022,3,0.617267134
Adavi,Owan East,0.448632292,0.448632292,1166,365,2023,4,0.659689513
Adavi,Owan East,0.49105467,0.49105467,1532,365,2024,5,0.702111891
Adavi,Owan East,0.533477048,0.533477048,1898,294,2025,6,0.744534269
Ado,Akinyele,0.199270249,0.199270249,71,365,2020,1,0.517973938
Ado,Akinyele,0.227244186,0.227244186,436,365,2021,2,0.545947875
Ado,Akinyele,0.255218124,0.255218124,801,365,2022,3,0.573921813
Ado,Akinyele,0.283192061,0.283192061,1166,365,2023,4,0.60189575
Ado,Akinyele,0.311165999,0.311165999,1532,365,2024,5,0.629869688
Ado,Akinyele,0.339139937,0.339139937,1898,294,2025,6,0.657843626
Ado Ekiti,Owan East,0.321365157,0.321365157,71,365,2020,1,0.532422378
Ado Ekiti,Owan East,0.363787535,0.363787535,436,365,2021,2,0.574844756
