LGA,State,year,round,duration,coverage_high_access,coverage_low_access,max_age,month_new,simday
Anka,Zamfara,2020,1,-1,1,0.854974705,5,7,186
Anka,Zamfara,2020,2,-1,1,0.927487352,5,8,214
Anka,Zamfara,2020,3,-1,1,0.937605396,5,9,242
Anka,Zamfara,2020,4,-1,1,0.268128162,5,10,270
Anka,Zamfara,2021,1,-1,1,0.854974705,5,7,550
Anka,Zamfara,2021,2,-1,1,0.927487352,5,8,578
Anka,Zamfara,2021,3,-1,1,0.937605396,5,9,606
Anka,Zamfara,2021,4,-1,1,0.268128162,5,10,634
Anka,Zamfara,2022,1,-1,1,0.854974705,5,7,915
Anka,Zamfara,2022,2,-1,1,0.927487352,5,8,943
Anka,Zamfara,2022,3,-1,1,0.937605396,5,9,971
Anka,Zamfara,2022,4,-1,1,0.268128162,5,10,999
Anka,Zamfara,2023,1,-1,1,0.854974705,5,7,1286
Anka,Zamfara,2023,2,-1,1,0.927487352,5,8,1314
Anka,Zamfara,2023,3,-1,1,0.937605396,5,9,1342
Anka,Zamfara,2023,4,-1,1,0.268128162,5,10,1370
Anka,Zamfara,2024,1,-1,1,0.854974705,5,7,1646
Anka,Zamfara,2024,2,-1,1,0.927487352,5,8,1674
Anka,Zamfara,2024,3,-1,1,0.937605396,5,9,1702
Anka,Zamfara,2024,4,-1,1,0.268128162,5,10,1730
Anka,Zamfara,2025,1,-1,1,0.854974705,5,7,2014
Anka,Zamfara,2025,2,-1,1,0.927487352,5,8,2042
Anka,Zamfara,2025,3,-1,1,0.937605396,5,9,2070
Anka,Zamfara,2025,4,-1,1,0.268128162,5,10,2098
Auyo,Jigawa,2020,1,-1,1,0.934456929,5,7,186
Auyo,Jigawa,2020,2,-1,1,0.973782772,5,8,214
Auyo,Jigawa,2020,3,-1,1,0.975655431,5,9,242
Auyo,Jigawa,2020,4,-1,1,0.653558052,5,10,270
Auyo,Jigawa,2021,1,-1,1,0.934456929,5,7,550
Auyo,Jigawa,2021,2,-1,1,0.973782772,5,8,578
Auyo,Jigawa,2021,3,-1,1,0.975655431,5,9,606
Auyo,Jigawa,2021,4,-1,1,0.653558052,5,10,634
Auyo,Jigawa,2022,1,-1,1,0.934456929,5,7,915
Auyo,Jigawa,2022,2,-1,1,0.973782772,5,8,943
Auyo,Jigawa,2022,3,-1,1,0.975655431,5,9,971
Auyo,Jigawa,2022,4,-1,1,0.653558052,5,10,999
Auyo,Jigawa,2023,1,-1,1,0.934456929,5,7,1286
Auyo,Jigawa,2023,2,-1,1,0.973782772,5,8,1314
Auyo,Jigawa,2023,3,-1,1,0.975655431,5,9,1342
Auyo,Jigawa,2023,4,-1,1,0.653558052,5,10,1370
Auyo,Jigawa,2024,1,-1,1,0.934456929,5,7,1646
Auyo,Jigawa,2024,2,-1,1,0.973782772,5,8,1674
Auyo,Jigawa,2024,3,-1,1,0.975655431,5,9,1702
Auyo,Jigawa,2024,4,-1,1,0.653558052,5,10,1730
Auyo,Jigawa,2025,1,-1,1,0.934456929,5,7,2014
Auyo,Jigawa,2025,2,-1,1,0.973782772,5,8,2042
Auyo,Jigawa,2025,3,-1,1,0.975655431,5,9,2070
Auyo,Jigawa,2025,4,-1,1,0.653558052,5,10,2098
Babura,Jigawa,2020,1,-1,1,0.934456929,5,7,186
Babura,Jigawa,2020,2,-1,1,0.973782772,5,8,214
Babura,Jigawa,2020,3,-1,1,0.975655431,5,9,242
Babura,Jigawa,2020,4,-1,1,0.653558052,5,10,270
Babura,Jigawa,2021,1,-1,1,0.934456929,5,7,550
Babura,Jigawa,2021,2,-1,1,0.973782772,5,8,578
Babura,Jigawa,2021,3,-1,1,0.975655431,5,9,606
Babura,Jigawa,2021,4,-1,1,0.653558052,5,10,634
Babura,Jigawa,2022,1,-1,1,0.934456929,5,7,915
Babura,Jigawa,2022,2,-1,1,0.973782772,5,8,943
Babura,Jigawa,2022,3,-1,1,0.975655431,5,9,971
Babura,Jigawa,2022,4,-1,1,0.653558052,5,10,999
Babura,Jigawa,2023,1,-1,1,0.934456929,5,7,1286
Babura,Jigawa,2023,2,-1,1,0.973782772,5,8,1314
Babura,Jigawa,2023,3,-1,1,0.975655431,5,9,1342
Babura,Jigawa,2023,4,-1,1,0.653558052,5,10,1370
Babura,Jigawa,2024,1,-1,1,0.934456929,5,7,1646
Babura,Jigawa,2024,2,-1,1,0.973782772,5,8,1674
Babura,Jigawa,2024,3,-1,1,0.975655431,5,9,1702
Babura,Jigawa,2024,4,-1,1,0.653558052,5,10,1730
Babura,Jigawa,2025,1,-1,1,0.934456929,5,7,2014
Babura,Jigawa,2025,2,-1,1,0.973782772,5,8,2042
Babura,Jigawa,2025,3,-1,1,0.975655431,5,9,2070
Babura,Jigawa,2025,4,-1,1,0.653558052,5,10,2098
Bade,Yobe,2020,1,-1,1,0.98019802,5,8,223
Bade,Yobe,2020,2,-1,1,0.961810467,5,9,251
Bade,Yobe,2020,3,-1,1,0.974540311,5,10,279
Bade,Yobe,2020,4,-1,1,0.463932107,5,11,307
Bade,Yobe,2021,1,-1,1,0.98019802,5,8,488
Bade,Yobe,2021,2,-1,1,0.961810467,5,9,516
Bade,Yobe,2021,3,-1,1,0.974540311,5,10,544
Bade,Yobe,2021,4,-1,1,0.463932107,5,11,572
Bade,Yobe,2022,1,-1,1,0.98019802,5,8,950
Bade,Yobe,2022,2,-1,1,0.961810467,5,9,978
Bade,Yobe,2022,3,-1,1,0.974540311,5,10,1006
Bade,Yobe,2022,4,-1,1,0.463932107,5,11,1034
Bade,Yobe,2023,1,-1,1,0.98019802,5,8,1314
Bade,Yobe,2023,2,-1,1,0.961810467,5,9,1342
Bade,Yobe,2023,3,-1,1,0.974540311,5,10,1370
Bade,Yobe,2023,4,-1,1,0.463932107,5,11,1398
Bade,Yobe,2024,1,-1,1,0.98019802,5,8,1678
Bade,Yobe,2024,2,-1,1,0.961810467,5,9,1706
Bade,Yobe,2024,3,-1,1,0.974540311,5,10,1734
Bade,Yobe,2024,4,-1,1,0.463932107,5,11,1762
Bade,Yobe,2025,1,-1,1,0.98019802,5,8,2049
Bade,Yobe,2025,2,-1,1,0.961810467,5,9,2077
Bade,Yobe,2025,3,-1,1,0.974540311,5,10,2105
Bade,Yobe,2025,4,-1,1,0.463932107,5,11,2133
Bakura,Zamfara,2020,1,-1,1,0.854974705,5,7,186
Bakura,Zamfara,2020,2,-1,1,0.927487352,5,8,214
Bakura,Zamfara,2020,3,-1,1,0.937605396,5,9,242
Bakura,Zamfara,2020,4,-1,1,0.268128162,5,10,270
Bakura,Zamfara,2021,1,-1,1,0.854974705,5,7,550
Bakura,Zamfara,2021,2,-1,1,0.927487352,5,8,578
Bakura,Zamfara,2021,3,-1,1,0.937605396,5,9,606
Bakura,Zamfara,2021,4,-1,1,0.268128162,5,10,634
Bakura,Zamfara,2022,1,-1,1,0.854974705,5,7,915
Bakura,Zamfara,2022,2,-1,1,0.927487352,5,8,943
Bakura,Zamfara,2022,3,-1,1,0.937605396,5,9,971
Bakura,Zamfara,2022,4,-1,1,0.268128162,5,10,999
Bakura,Zamfara,2023,1,-1,1,0.854974705,5,7,1286
Bakura,Zamfara,2023,2,-1,1,0.927487352,5,8,1314
Bakura,Zamfara,2023,3,-1,1,0.937605396,5,9,1342
Bakura,Zamfara,2023,4,-1,1,0.268128162,5,10,1370
Bakura,Zamfara,2024,1,-1,1,0.854974705,5,7,1646
Bakura,Zamfara,2024,2,-1,1,0.927487352,5,8,1674
Bakura,Zamfara,2024,3,-1,1,0.937605396,5,9,1702
Bakura,Zamfara,2024,4,-1,1,0.268128162,5,10,1730
Bakura,Zamfara,2025,1,-1,1,0.854974705,5,7,2014
Bakura,Zamfara,2025,2,-1,1,0.927487352,5,8,2042
Bakura,Zamfara,2025,3,-1,1,0.937605396,5,9,2070
