"","State","LGA","repDS","peak","year","round","duration","coverage_high_access","coverage_low_access","max_age","simday"
"1","Adamawa","Demsa","Alkaleri","july",2020,1,-1,1,0.6,5,186
"2","Adamawa","Demsa","Alkaleri","july",2020,2,-1,1,0.6,5,216
"3","Adamawa","Demsa","Alkaleri","july",2020,3,-1,1,0.6,5,246
"4","Adamawa","Demsa","Alkaleri","july",2020,4,-1,1,0.6,5,276
"5","Adamawa","Fufore","Alkaleri","july",2020,1,-1,1,0.6,5,186
"6","Adamawa","Fufore","Alkaleri","july",2020,2,-1,1,0.6,5,216
"7","Adamawa","Fufore","Alkaleri","july",2020,3,-1,1,0.6,5,246
"8","Adamawa","Fufore","Alkaleri","july",2020,4,-1,1,0.6,5,276
"9","Adamawa","Ganaye","Alkaleri","july",2020,1,-1,1,0.6,5,186
"10","Adamawa","Ganaye","Alkaleri","july",2020,2,-1,1,0.6,5,216
"11","Adamawa","Ganaye","Alkaleri","july",2020,3,-1,1,0.6,5,246
"12","Adamawa","Ganaye","Alkaleri","july",2020,4,-1,1,0.6,5,276
"13","Adamawa","Gireri","Darazo","july",2020,1,-1,1,0.6,5,186
"14","Adamawa","Gireri","Darazo","july",2020,2,-1,1,0.6,5,216
"15","Adamawa","Gireri","Darazo","july",2020,3,-1,1,0.6,5,246
"16","Adamawa","Gireri","Darazo","july",2020,4,-1,1,0.6,5,276
"17","Adamawa","Gombi","Alkaleri","july",2020,1,-1,1,0.6,5,186
"18","Adamawa","Gombi","Alkaleri","july",2020,2,-1,1,0.6,5,216
"19","Adamawa","Gombi","Alkaleri","july",2020,3,-1,1,0.6,5,246
"20","Adamawa","Gombi","Alkaleri","july",2020,4,-1,1,0.6,5,276
"21","Adamawa","Guyuk","Alkaleri","july",2020,1,-1,1,0.6,5,186
"22","Adamawa","Guyuk","Alkaleri","july",2020,2,-1,1,0.6,5,216
"23","Adamawa","Guyuk","Alkaleri","july",2020,3,-1,1,0.6,5,246
"24","Adamawa","Guyuk","Alkaleri","july",2020,4,-1,1,0.6,5,276
"25","Adamawa","Hong","Darazo","july",2020,1,-1,1,0.6,5,186
"26","Adamawa","Hong","Darazo","july",2020,2,-1,1,0.6,5,216
"27","Adamawa","Hong","Darazo","july",2020,3,-1,1,0.6,5,246
"28","Adamawa","Hong","Darazo","july",2020,4,-1,1,0.6,5,276
"29","Adamawa","Jada","Alkaleri","july",2020,1,-1,1,0.6,5,186
"30","Adamawa","Jada","Alkaleri","july",2020,2,-1,1,0.6,5,216
"31","Adamawa","Jada","Alkaleri","july",2020,3,-1,1,0.6,5,246
"32","Adamawa","Jada","Alkaleri","july",2020,4,-1,1,0.6,5,276
"33","Adamawa","Lamurde","Alkaleri","july",2020,1,-1,1,0.6,5,186
"34","Adamawa","Lamurde","Alkaleri","july",2020,2,-1,1,0.6,5,216
"35","Adamawa","Lamurde","Alkaleri","july",2020,3,-1,1,0.6,5,246
"36","Adamawa","Lamurde","Alkaleri","july",2020,4,-1,1,0.6,5,276
"37","Adamawa","Madagali","Darazo","july",2020,1,-1,1,0.6,5,186
"38","Adamawa","Madagali","Darazo","july",2020,2,-1,1,0.6,5,216
"39","Adamawa","Madagali","Darazo","july",2020,3,-1,1,0.6,5,246
"40","Adamawa","Madagali","Darazo","july",2020,4,-1,1,0.6,5,276
"41","Adamawa","Maiha","Alkaleri","july",2020,1,-1,1,0.6,5,186
"42","Adamawa","Maiha","Alkaleri","july",2020,2,-1,1,0.6,5,216
"43","Adamawa","Maiha","Alkaleri","july",2020,3,-1,1,0.6,5,246
"44","Adamawa","Maiha","Alkaleri","july",2020,4,-1,1,0.6,5,276
"45","Adamawa","Mayo-Belwa","Alkaleri","july",2020,1,-1,1,0.6,5,186
"46","Adamawa","Mayo-Belwa","Alkaleri","july",2020,2,-1,1,0.6,5,216
"47","Adamawa","Mayo-Belwa","Alkaleri","july",2020,3,-1,1,0.6,5,246
"48","Adamawa","Mayo-Belwa","Alkaleri","july",2020,4,-1,1,0.6,5,276
"49","Adamawa","Michika","Darazo","july",2020,1,-1,1,0.6,5,186
"50","Adamawa","Michika","Darazo","july",2020,2,-1,1,0.6,5,216
"51","Adamawa","Michika","Darazo","july",2020,3,-1,1,0.6,5,246
"52","Adamawa","Michika","Darazo","july",2020,4,-1,1,0.6,5,276
"53","Adamawa","Mubi North","Darazo","july",2020,1,-1,1,0.6,5,186
"54","Adamawa","Mubi North","Darazo","july",2020,2,-1,1,0.6,5,216
"55","Adamawa","Mubi North","Darazo","july",2020,3,-1,1,0.6,5,246
"56","Adamawa","Mubi North","Darazo","july",2020,4,-1,1,0.6,5,276
"57","Adamawa","Mubi South","Darazo","july",2020,1,-1,1,0.6,5,186
"58","Adamawa","Mubi South","Darazo","july",2020,2,-1,1,0.6,5,216
"59","Adamawa","Mubi South","Darazo","july",2020,3,-1,1,0.6,5,246
"60","Adamawa","Mubi South","Darazo","july",2020,4,-1,1,0.6,5,276
"61","Adamawa","Numan","Alkaleri","july",2020,1,-1,1,0.6,5,186
"62","Adamawa","Numan","Alkaleri","july",2020,2,-1,1,0.6,5,216
"63","Adamawa","Numan","Alkaleri","july",2020,3,-1,1,0.6,5,246
"64","Adamawa","Numan","Alkaleri","july",2020,4,-1,1,0.6,5,276
"65","Adamawa","Shelleng","Darazo","july",2020,1,-1,1,0.6,5,186
"66","Adamawa","Shelleng","Darazo","july",2020,2,-1,1,0.6,5,216
"67","Adamawa","Shelleng","Darazo","july",2020,3,-1,1,0.6,5,246
"68","Adamawa","Shelleng","Darazo","july",2020,4,-1,1,0.6,5,276
"69","Adamawa","Song","Darazo","july",2020,1,-1,1,0.6,5,186
"70","Adamawa","Song","Darazo","july",2020,2,-1,1,0.6,5,216
"71","Adamawa","Song","Darazo","july",2020,3,-1,1,0.6,5,246
"72","Adamawa","Song","Darazo","july",2020,4,-1,1,0.6,5,276
"73","Adamawa","Toungo","Keana","august",2020,1,-1,1,0.6,5,223
"74","Adamawa","Toungo","Keana","august",2020,2,-1,1,0.6,5,253
"75","Adamawa","Toungo","Keana","august",2020,3,-1,1,0.6,5,283
"76","Adamawa","Toungo","Keana","august",2020,4,-1,1,0.6,5,313
"77","Adamawa","Yola North","Alkaleri","july",2020,1,-1,1,0.6,5,186
"78","Adamawa","Yola North","Alkaleri","july",2020,2,-1,1,0.6,5,216
"79","Adamawa","Yola North","Alkaleri","july",2020,3,-1,1,0.6,5,246
"80","Adamawa","Yola North","Alkaleri","july",2020,4,-1,1,0.6,5,276
"81","Adamawa","Yola South","Alkaleri","july",2020,1,-1,1,0.6,5,186
"82","Adamawa","Yola South","Alkaleri","july",2020,2,-1,1,0.6,5,216
"83","Adamawa","Yola South","Alkaleri","july",2020,3,-1,1,0.6,5,246
"84","Adamawa","Yola South","Alkaleri","july",2020,4,-1,1,0.6,5,276
"85","Bauchi","Alkaleri","Alkaleri","july",2020,1,-1,1,0.6,5,186
"86","Bauchi","Alkaleri","Alkaleri","july",2020,2,-1,1,0.6,5,216
"87","Bauchi","Alkaleri","Alkaleri","july",2020,3,-1,1,0.6,5,246
"88","Bauchi","Alkaleri","Alkaleri","july",2020,4,-1,1,0.6,5,276
"89","Bauchi","Bauchi","Alkaleri","july",2020,1,-1,1,0.6,5,186
"90","Bauchi","Bauchi","Alkaleri","july",2020,2,-1,1,0.6,5,216
"91","Bauchi","Bauchi","Alkaleri","july",2020,3,-1,1,0.6,5,246
"92","Bauchi","Bauchi","Alkaleri","july",2020,4,-1,1,0.6,5,276
"93","Bauchi","Bogoro","Alkaleri","july",2020,1,-1,1,0.6,5,186
"94","Bauchi","Bogoro","Alkaleri","july",2020,2,-1,1,0.6,5,216
"95","Bauchi","Bogoro","Alkaleri","july",2020,3,-1,1,0.6,5,246
"96","Bauchi","Bogoro","Alkaleri","july",2020,4,-1,1,0.6,5,276
"97","Bauchi","Damban","Darazo","july",2020,1,-1,1,0.6,5,186
"98","Bauchi","Damban","Darazo","july",2020,2,-1,1,0.6,5,216
"99","Bauchi","Damban","Darazo","july",2020,3,-1,1,0.6,5,246
"100","Bauchi","Damban","Darazo","july",2020,4,-1,1,0.6,5,276
"101","Bauchi","Darazo","Darazo","july",2020,1,-1,1,0.6,5,186
"102","Bauchi","Darazo","Darazo","july",2020,2,-1,1,0.6,5,216
"103","Bauchi","Darazo","Darazo","july",2020,3,-1,1,0.6,5,246
"104","Bauchi","Darazo","Darazo","july",2020,4,-1,1,0.6,5,276
"105","Bauchi","Dass","Alkaleri","july",2020,1,-1,1,0.6,5,186
"106","Bauchi","Dass","Alkaleri","july",2020,2,-1,1,0.6,5,216
"107","Bauchi","Dass","Alkaleri","july",2020,3,-1,1,0.6,5,246
"108","Bauchi","Dass","Alkaleri","july",2020,4,-1,1,0.6,5,276
"109","Bauchi","Gamawa","Gwarzo","august",2020,1,-1,1,0.6,5,223
"110","Bauchi","Gamawa","Gwarzo","august",2020,2,-1,1,0.6,5,253
"111","Bauchi","Gamawa","Gwarzo","august",2020,3,-1,1,0.6,5,283
"112","Bauchi","Gamawa","Gwarzo","august",2020,4,-1,1,0.6,5,313
"113","Bauchi","Ganjuwa","Darazo","july",2020,1,-1,1,0.6,5,186
"114","Bauchi","Ganjuwa","Darazo","july",2020,2,-1,1,0.6,5,216
"115","Bauchi","Ganjuwa","Darazo","july",2020,3,-1,1,0.6,5,246
"116","Bauchi","Ganjuwa","Darazo","july",2020,4,-1,1,0.6,5,276
"117","Bauchi","Giade","Darazo","july",2020,1,-1,1,0.6,5,186
"118","Bauchi","Giade","Darazo","july",2020,2,-1,1,0.6,5,216
"119","Bauchi","Giade","Darazo","july",2020,3,-1,1,0.6,5,246
