State,LGA,repDS,peak,year,round,duration,coverage_high_access,coverage_low_access,max_age,simday
Borno,Abadam,Babura,may,2020,1,-1,1,0.6,5,131
Adamawa,Demsa,Alkaleri,july,2020,2,-1,1,0.6,5,216
Adamawa,Demsa,Alkaleri,july,2020,3,-1,1,0.6,5,246
Adamawa,Demsa,Alkaleri,july,2020,4,-1,1,0.6,5,276
Federal Capital Territory,Abaji,Keana,august,2020,1,-1,1,0.6,5,223
Adamawa,Fufore,Alkaleri,july,2020,2,-1,1,0.6,5,216
Adamawa,Fufore,Alkaleri,july,2020,3,-1,1,0.6,5,246
Adamawa,Fufore,Alkaleri,july,2020,4,-1,1,0.6,5,276
Federal Capital Territory,Abuja Municipal,Keana,august,2020,1,-1,1,0.6,5,223
Adamawa,Ganaye,Alkaleri,july,2020,2,-1,1,0.6,5,216
Adamawa,Ganaye,Alkaleri,july,2020,3,-1,1,0.6,5,246
Adamawa,Ganaye,Alkaleri,july,2020,4,-1,1,0.6,5,276
Kogi,Adavi,Owan East,march,2020,1,-1,1,0.6,5,131
Adamawa,Gireri,Darazo,july,2020,2,-1,1,0.6,5,216
Adamawa,Gireri,Darazo,july,2020,3,-1,1,0.6,5,246
Adamawa,Gireri,Darazo,july,2020,4,-1,1,0.6,5,276
Niger,Agaie,Oke-Ero,july,2020,1,-1,1,0.6,5,186
Adamawa,Gombi,Alkaleri,july,2020,2,-1,1,0.6,5,216
Adamawa,Gombi,Alkaleri,july,2020,3,-1,1,0.6,5,246
Adamawa,Gombi,Alkaleri,july,2020,4,-1,1,0.6,5,276
Benue,Agatu,Keana,august,2020,1,-1,1,0.6,5,223
Adamawa,Guyuk,Alkaleri,july,2020,2,-1,1,0.6,5,216
Adamawa,Guyuk,Alkaleri,july,2020,3,-1,1,0.6,5,246
Adamawa,Guyuk,Alkaleri,july,2020,4,-1,1,0.6,5,276
Niger,Agwara,Birnin Kebbi,august,2020,1,-1,1,0.6,5,223
Adamawa,Hong,Darazo,july,2020,2,-1,1,0.6,5,216
Adamawa,Hong,Darazo,july,2020,3,-1,1,0.6,5,246
Adamawa,Hong,Darazo,july,2020,4,-1,1,0.6,5,276
Kogi,Ajaokuta,Owan East,march,2020,1,-1,1,0.6,5,131
Adamawa,Jada,Alkaleri,july,2020,2,-1,1,0.6,5,216
Adamawa,Jada,Alkaleri,july,2020,3,-1,1,0.6,5,246
Adamawa,Jada,Alkaleri,july,2020,4,-1,1,0.6,5,276
Kano,Ajingi,Taura,july,2020,1,-1,1,0.6,5,186
Adamawa,Lamurde,Alkaleri,july,2020,2,-1,1,0.6,5,216
Adamawa,Lamurde,Alkaleri,july,2020,3,-1,1,0.6,5,246
Adamawa,Lamurde,Alkaleri,july,2020,4,-1,1,0.6,5,276
Gombe,Akko,Alkaleri,july,2020,1,-1,1,0.6,5,186
Adamawa,Madagali,Darazo,july,2020,2,-1,1,0.6,5,216
Adamawa,Madagali,Darazo,july,2020,3,-1,1,0.6,5,246
Adamawa,Madagali,Darazo,july,2020,4,-1,1,0.6,5,276
Nasarawa,Akwanga,Oke-Ero,july,2020,1,-1,1,0.6,5,186
Adamawa,Maiha,Alkaleri,july,2020,2,-1,1,0.6,5,216
Adamawa,Maiha,Alkaleri,july,2020,3,-1,1,0.6,5,246
Adamawa,Maiha,Alkaleri,july,2020,4,-1,1,0.6,5,276
Kano,Albasu,Takali,september,2020,1,-1,1,0.6,5,250
Adamawa,Mayo-Belwa,Alkaleri,july,2020,2,-1,1,0.6,5,216
Adamawa,Mayo-Belwa,Alkaleri,july,2020,3,-1,1,0.6,5,246
Adamawa,Mayo-Belwa,Alkaleri,july,2020,4,-1,1,0.6,5,276
Kebbi,Aleiro,Birnin Kebbi,august,2020,1,-1,1,0.6,5,223
Adamawa,Michika,Darazo,july,2020,2,-1,1,0.6,5,216
Adamawa,Michika,Darazo,july,2020,3,-1,1,0.6,5,246
Adamawa,Michika,Darazo,july,2020,4,-1,1,0.6,5,276
Bauchi,Alkaleri,Alkaleri,july,2020,1,-1,1,0.6,5,186
Adamawa,Mubi North,Darazo,july,2020,2,-1,1,0.6,5,216
Adamawa,Mubi North,Darazo,july,2020,3,-1,1,0.6,5,246
