adm1,LGA,smc_plan1,repDS,peak,year,round,duration,coverage_high_access,coverage_low_access,max_age,simday
Adamawa,Demsa,SMC,Alkaleri,july,2020,1,-1,1,0.6,5,186
Adamawa,Demsa,SMC,Alkaleri,july,2020,2,-1,1,0.6,5,216
Adamawa,Demsa,SMC,Alkaleri,july,2020,3,-1,1,0.6,5,246
Adamawa,Demsa,SMC,Alkaleri,july,2020,4,-1,1,0.6,5,276
Adamawa,Fufore,SMC,Alkaleri,july,2020,1,-1,1,0.6,5,186
Adamawa,Fufore,SMC,Alkaleri,july,2020,2,-1,1,0.6,5,216
Adamawa,Fufore,SMC,Alkaleri,july,2020,3,-1,1,0.6,5,246
Adamawa,Fufore,SMC,Alkaleri,july,2020,4,-1,1,0.6,5,276
Adamawa,Gireri,SMC,Darazo,july,2020,1,-1,1,0.6,5,186
Adamawa,Gireri,SMC,Darazo,july,2020,2,-1,1,0.6,5,216
Adamawa,Gireri,SMC,Darazo,july,2020,3,-1,1,0.6,5,246
Adamawa,Gireri,SMC,Darazo,july,2020,4,-1,1,0.6,5,276
Adamawa,Gombi,SMC,Alkaleri,july,2020,1,-1,1,0.6,5,186
Adamawa,Gombi,SMC,Alkaleri,july,2020,2,-1,1,0.6,5,216
Adamawa,Gombi,SMC,Alkaleri,july,2020,3,-1,1,0.6,5,246
Adamawa,Gombi,SMC,Alkaleri,july,2020,4,-1,1,0.6,5,276
Adamawa,Guyuk,SMC,Alkaleri,july,2020,1,-1,1,0.6,5,186
Adamawa,Guyuk,SMC,Alkaleri,july,2020,2,-1,1,0.6,5,216
Adamawa,Guyuk,SMC,Alkaleri,july,2020,3,-1,1,0.6,5,246
Adamawa,Guyuk,SMC,Alkaleri,july,2020,4,-1,1,0.6,5,276
Adamawa,Hong,SMC,Darazo,july,2020,1,-1,1,0.6,5,186
Adamawa,Hong,SMC,Darazo,july,2020,2,-1,1,0.6,5,216
Adamawa,Hong,SMC,Darazo,july,2020,3,-1,1,0.6,5,246
Adamawa,Hong,SMC,Darazo,july,2020,4,-1,1,0.6,5,276
Adamawa,Jada,SMC,Alkaleri,july,2020,1,-1,1,0.6,5,186
Adamawa,Jada,SMC,Alkaleri,july,2020,2,-1,1,0.6,5,216
Adamawa,Jada,SMC,Alkaleri,july,2020,3,-1,1,0.6,5,246
Adamawa,Jada,SMC,Alkaleri,july,2020,4,-1,1,0.6,5,276
Adamawa,Lamurde,SMC,Alkaleri,july,2020,1,-1,1,0.6,5,186
Adamawa,Lamurde,SMC,Alkaleri,july,2020,2,-1,1,0.6,5,216
Adamawa,Lamurde,SMC,Alkaleri,july,2020,3,-1,1,0.6,5,246
Adamawa,Lamurde,SMC,Alkaleri,july,2020,4,-1,1,0.6,5,276
Adamawa,Madagali,SMC,Darazo,july,2020,1,-1,1,0.6,5,186
Adamawa,Madagali,SMC,Darazo,july,2020,2,-1,1,0.6,5,216
Adamawa,Madagali,SMC,Darazo,july,2020,3,-1,1,0.6,5,246
Adamawa,Madagali,SMC,Darazo,july,2020,4,-1,1,0.6,5,276
Adamawa,Maiha,SMC,Alkaleri,july,2020,1,-1,1,0.6,5,186
Adamawa,Maiha,SMC,Alkaleri,july,2020,2,-1,1,0.6,5,216
Adamawa,Maiha,SMC,Alkaleri,july,2020,3,-1,1,0.6,5,246
Adamawa,Maiha,SMC,Alkaleri,july,2020,4,-1,1,0.6,5,276
Adamawa,Mayo-Belwa,SMC,Alkaleri,july,2020,1,-1,1,0.6,5,186
Adamawa,Mayo-Belwa,SMC,Alkaleri,july,2020,2,-1,1,0.6,5,216
Adamawa,Mayo-Belwa,SMC,Alkaleri,july,2020,3,-1,1,0.6,5,246
Adamawa,Mayo-Belwa,SMC,Alkaleri,july,2020,4,-1,1,0.6,5,276
Adamawa,Michika,SMC,Darazo,july,2020,1,-1,1,0.6,5,186
Adamawa,Michika,SMC,Darazo,july,2020,2,-1,1,0.6,5,216
Adamawa,Michika,SMC,Darazo,july,2020,3,-1,1,0.6,5,246
Adamawa,Michika,SMC,Darazo,july,2020,4,-1,1,0.6,5,276
Adamawa,Mubi North,SMC,Darazo,july,2020,1,-1,1,0.6,5,186
Adamawa,Mubi North,SMC,Darazo,july,2020,2,-1,1,0.6,5,216
Adamawa,Mubi North,SMC,Darazo,july,2020,3,-1,1,0.6,5,246
Adamawa,Mubi North,SMC,Darazo,july,2020,4,-1,1,0.6,5,276
Adamawa,Mubi South,SMC,Darazo,july,2020,1,-1,1,0.6,5,186
Adamawa,Mubi South,SMC,Darazo,july,2020,2,-1,1,0.6,5,216
Adamawa,Mubi South,SMC,Darazo,july,2020,3,-1,1,0.6,5,246
Adamawa,Mubi South,SMC,Darazo,july,2020,4,-1,1,0.6,5,276
Adamawa,Numan,SMC,Alkaleri,july,2020,1,-1,1,0.6,5,186
Adamawa,Numan,SMC,Alkaleri,july,2020,2,-1,1,0.6,5,216
Adamawa,Numan,SMC,Alkaleri,july,2020,3,-1,1,0.6,5,246
Adamawa,Numan,SMC,Alkaleri,july,2020,4,-1,1,0.6,5,276
Adamawa,Shelleng,SMC,Darazo,july,2020,1,-1,1,0.6,5,186
Adamawa,Shelleng,SMC,Darazo,july,2020,2,-1,1,0.6,5,216
Adamawa,Shelleng,SMC,Darazo,july,2020,3,-1,1,0.6,5,246
Adamawa,Shelleng,SMC,Darazo,july,2020,4,-1,1,0.6,5,276
Adamawa,Song,SMC,Darazo,july,2020,1,-1,1,0.6,5,186
Adamawa,Song,SMC,Darazo,july,2020,2,-1,1,0.6,5,216
Adamawa,Song,SMC,Darazo,july,2020,3,-1,1,0.6,5,246
Adamawa,Song,SMC,Darazo,july,2020,4,-1,1,0.6,5,276
Adamawa,Yola North,SMC,Alkaleri,july,2020,1,-1,1,0.6,5,186
Adamawa,Yola North,SMC,Alkaleri,july,2020,2,-1,1,0.6,5,216
Adamawa,Yola North,SMC,Alkaleri,july,2020,3,-1,1,0.6,5,246
Adamawa,Yola North,SMC,Alkaleri,july,2020,4,-1,1,0.6,5,276
Adamawa,Yola South,SMC,Alkaleri,july,2020,1,-1,1,0.6,5,186
Adamawa,Yola South,SMC,Alkaleri,july,2020,2,-1,1,0.6,5,216
Adamawa,Yola South,SMC,Alkaleri,july,2020,3,-1,1,0.6,5,246
Adamawa,Yola South,SMC,Alkaleri,july,2020,4,-1,1,0.6,5,276
Borno,Abadam,SMC,Babura,may,2020,1,-1,1,0.6,5,131
Borno,Abadam,SMC,Babura,may,2020,2,-1,1,0.6,5,161
Borno,Abadam,SMC,Babura,may,2020,3,-1,1,0.6,5,191
Borno,Abadam,SMC,Babura,may,2020,4,-1,1,0.6,5,221
Borno,Askira-Uba,SMC,Darazo,july,2020,1,-1,1,0.6,5,186
Borno,Askira-Uba,SMC,Darazo,july,2020,2,-1,1,0.6,5,216
Borno,Askira-Uba,SMC,Darazo,july,2020,3,-1,1,0.6,5,246
Borno,Askira-Uba,SMC,Darazo,july,2020,4,-1,1,0.6,5,276
Borno,Bama,SMC,Darazo,july,2020,1,-1,1,0.6,5,223
Borno,Bama,SMC,Darazo,july,2020,2,-1,1,0.6,5,251
Borno,Bama,SMC,Darazo,july,2020,3,-1,1,0.6,5,279
Borno,Bama,SMC,Darazo,july,2020,4,-1,1,0.6,5,307
Borno,Bayo,SMC,Alkaleri,july,2020,1,-1,1,0.6,5,186
Borno,Bayo,SMC,Alkaleri,july,2020,2,-1,1,0.6,5,216
Borno,Bayo,SMC,Alkaleri,july,2020,3,-1,1,0.6,5,246
Borno,Bayo,SMC,Alkaleri,july,2020,4,-1,1,0.6,5,276
Borno,Biu,SMC,Darazo,july,2020,1,-1,1,0.6,5,186
Borno,Biu,SMC,Darazo,july,2020,2,-1,1,0.6,5,216
Borno,Biu,SMC,Darazo,july,2020,3,-1,1,0.6,5,246
Borno,Biu,SMC,Darazo,july,2020,4,-1,1,0.6,5,276
Borno,Chibok,SMC,Darazo,july,2020,1,-1,1,0.6,5,186
Borno,Chibok,SMC,Darazo,july,2020,2,-1,1,0.6,5,216
Borno,Chibok,SMC,Darazo,july,2020,3,-1,1,0.6,5,246
Borno,Chibok,SMC,Darazo,july,2020,4,-1,1,0.6,5,276
Borno,Damboa,SMC,Darazo,july,2020,1,-1,1,0.6,5,186
Borno,Damboa,SMC,Darazo,july,2020,2,-1,1,0.6,5,216
Borno,Damboa,SMC,Darazo,july,2020,3,-1,1,0.6,5,246
Borno,Damboa,SMC,Darazo,july,2020,4,-1,1,0.6,5,276
Borno,Dikwa,SMC,Darazo,july,2020,1,-1,1,0.6,5,186
Borno,Dikwa,SMC,Darazo,july,2020,2,-1,1,0.6,5,216
Borno,Dikwa,SMC,Darazo,july,2020,3,-1,1,0.6,5,246
