adm1,LGA,smc_plan1,repDS,peak,simday,year,round,duration,coverage_high_access,coverage_low_access,max_age
Adamawa,Demsa,SMC,Alkaleri,july,550,2021,1,-1,1,0.6,5
Adamawa,Demsa,SMC,Alkaleri,july,580,2021,2,-1,1,0.6,5
Adamawa,Demsa,SMC,Alkaleri,july,610,2021,3,-1,1,0.6,5
Adamawa,Demsa,SMC,Alkaleri,july,640,2021,4,-1,1,0.6,5
Adamawa,Fufore,SMC,Alkaleri,july,550,2021,1,-1,1,0.6,5
Adamawa,Fufore,SMC,Alkaleri,july,580,2021,2,-1,1,0.6,5
Adamawa,Fufore,SMC,Alkaleri,july,610,2021,3,-1,1,0.6,5
Adamawa,Fufore,SMC,Alkaleri,july,640,2021,4,-1,1,0.6,5
Adamawa,Gireri,SMC,Darazo,july,550,2021,1,-1,1,0.6,5
Adamawa,Gireri,SMC,Darazo,july,580,2021,2,-1,1,0.6,5
Adamawa,Gireri,SMC,Darazo,july,610,2021,3,-1,1,0.6,5
Adamawa,Gireri,SMC,Darazo,july,640,2021,4,-1,1,0.6,5
Adamawa,Gombi,SMC,Alkaleri,july,550,2021,1,-1,1,0.6,5
Adamawa,Gombi,SMC,Alkaleri,july,580,2021,2,-1,1,0.6,5
Adamawa,Gombi,SMC,Alkaleri,july,610,2021,3,-1,1,0.6,5
Adamawa,Gombi,SMC,Alkaleri,july,640,2021,4,-1,1,0.6,5
Adamawa,Guyuk,SMC,Alkaleri,july,550,2021,1,-1,1,0.6,5
Adamawa,Guyuk,SMC,Alkaleri,july,580,2021,2,-1,1,0.6,5
Adamawa,Guyuk,SMC,Alkaleri,july,610,2021,3,-1,1,0.6,5
Adamawa,Guyuk,SMC,Alkaleri,july,640,2021,4,-1,1,0.6,5
Adamawa,Hong,SMC,Darazo,july,550,2021,1,-1,1,0.6,5
Adamawa,Hong,SMC,Darazo,july,580,2021,2,-1,1,0.6,5
Adamawa,Hong,SMC,Darazo,july,610,2021,3,-1,1,0.6,5
Adamawa,Hong,SMC,Darazo,july,640,2021,4,-1,1,0.6,5
Adamawa,Jada,SMC,Alkaleri,july,550,2021,1,-1,1,0.6,5
Adamawa,Jada,SMC,Alkaleri,july,580,2021,2,-1,1,0.6,5
Adamawa,Jada,SMC,Alkaleri,july,610,2021,3,-1,1,0.6,5
Adamawa,Jada,SMC,Alkaleri,july,640,2021,4,-1,1,0.6,5
Adamawa,Lamurde,SMC,Alkaleri,july,550,2021,1,-1,1,0.6,5
Adamawa,Lamurde,SMC,Alkaleri,july,580,2021,2,-1,1,0.6,5
Adamawa,Lamurde,SMC,Alkaleri,july,610,2021,3,-1,1,0.6,5
Adamawa,Lamurde,SMC,Alkaleri,july,640,2021,4,-1,1,0.6,5
Adamawa,Madagali,SMC,Darazo,july,550,2021,1,-1,1,0.6,5
Adamawa,Madagali,SMC,Darazo,july,580,2021,2,-1,1,0.6,5
Adamawa,Madagali,SMC,Darazo,july,610,2021,3,-1,1,0.6,5
Adamawa,Madagali,SMC,Darazo,july,640,2021,4,-1,1,0.6,5
Adamawa,Maiha,SMC,Alkaleri,july,550,2021,1,-1,1,0.6,5
Adamawa,Maiha,SMC,Alkaleri,july,580,2021,2,-1,1,0.6,5
Adamawa,Maiha,SMC,Alkaleri,july,610,2021,3,-1,1,0.6,5
Adamawa,Maiha,SMC,Alkaleri,july,640,2021,4,-1,1,0.6,5
Adamawa,Mayo-Belwa,SMC,Alkaleri,july,550,2021,1,-1,1,0.6,5
Adamawa,Mayo-Belwa,SMC,Alkaleri,july,580,2021,2,-1,1,0.6,5
Adamawa,Mayo-Belwa,SMC,Alkaleri,july,610,2021,3,-1,1,0.6,5
Adamawa,Mayo-Belwa,SMC,Alkaleri,july,640,2021,4,-1,1,0.6,5
Adamawa,Michika,SMC,Darazo,july,550,2021,1,-1,1,0.6,5
Adamawa,Michika,SMC,Darazo,july,580,2021,2,-1,1,0.6,5
Adamawa,Michika,SMC,Darazo,july,610,2021,3,-1,1,0.6,5
Adamawa,Michika,SMC,Darazo,july,640,2021,4,-1,1,0.6,5
Adamawa,Mubi North,SMC,Darazo,july,550,2021,1,-1,1,0.6,5
Adamawa,Mubi North,SMC,Darazo,july,580,2021,2,-1,1,0.6,5
Adamawa,Mubi North,SMC,Darazo,july,610,2021,3,-1,1,0.6,5
Adamawa,Mubi North,SMC,Darazo,july,640,2021,4,-1,1,0.6,5
Adamawa,Mubi South,SMC,Darazo,july,550,2021,1,-1,1,0.6,5
Adamawa,Mubi South,SMC,Darazo,july,580,2021,2,-1,1,0.6,5
Adamawa,Mubi South,SMC,Darazo,july,610,2021,3,-1,1,0.6,5
Adamawa,Mubi South,SMC,Darazo,july,640,2021,4,-1,1,0.6,5
Adamawa,Numan,SMC,Alkaleri,july,550,2021,1,-1,1,0.6,5
Adamawa,Numan,SMC,Alkaleri,july,580,2021,2,-1,1,0.6,5
Adamawa,Numan,SMC,Alkaleri,july,610,2021,3,-1,1,0.6,5
Adamawa,Numan,SMC,Alkaleri,july,640,2021,4,-1,1,0.6,5
Adamawa,Shelleng,SMC,Darazo,july,550,2021,1,-1,1,0.6,5
Adamawa,Shelleng,SMC,Darazo,july,580,2021,2,-1,1,0.6,5
Adamawa,Shelleng,SMC,Darazo,july,610,2021,3,-1,1,0.6,5
Adamawa,Shelleng,SMC,Darazo,july,640,2021,4,-1,1,0.6,5
Adamawa,Song,SMC,Darazo,july,550,2021,1,-1,1,0.6,5
Adamawa,Song,SMC,Darazo,july,580,2021,2,-1,1,0.6,5
Adamawa,Song,SMC,Darazo,july,610,2021,3,-1,1,0.6,5
Adamawa,Song,SMC,Darazo,july,640,2021,4,-1,1,0.6,5
Adamawa,Yola North,SMC,Alkaleri,july,550,2021,1,-1,1,0.6,5
Adamawa,Yola North,SMC,Alkaleri,july,580,2021,2,-1,1,0.6,5
Adamawa,Yola North,SMC,Alkaleri,july,610,2021,3,-1,1,0.6,5
Adamawa,Yola North,SMC,Alkaleri,july,640,2021,4,-1,1,0.6,5
