"","LGA","State","year","round","duration","coverage_high_access","coverage_low_access","max_age","month_new","simday"
"1","Anka","Zamfara",2020,1,-1,1,0.854974705,5,7,186
"2","Anka","Zamfara",2020,2,-1,1,0.927487352,5,8,214
"3","Anka","Zamfara",2020,3,-1,1,0.937605396,5,9,242
"4","Anka","Zamfara",2020,4,-1,1,0.268128162,5,10,270
"11","Anka","Zamfara",2021,1,-1,1,0.854974705,5,7,551
"21","Anka","Zamfara",2021,2,-1,1,0.927487352,5,8,579
"31","Anka","Zamfara",2021,3,-1,1,0.937605396,5,9,607
"41","Anka","Zamfara",2021,4,-1,1,0.268128162,5,10,635
"12","Anka","Zamfara",2022,1,-1,1,0.854974705,5,7,916
"22","Anka","Zamfara",2022,2,-1,1,0.927487352,5,8,944
"32","Anka","Zamfara",2022,3,-1,1,0.937605396,5,9,972
"42","Anka","Zamfara",2022,4,-1,1,0.268128162,5,10,1000
"13","Anka","Zamfara",2023,1,-1,1,0.854974705,5,7,1281
"23","Anka","Zamfara",2023,2,-1,1,0.927487352,5,8,1309
"33","Anka","Zamfara",2023,3,-1,1,0.937605396,5,9,1337
"43","Anka","Zamfara",2023,4,-1,1,0.268128162,5,10,1365
"14","Anka","Zamfara",2024,1,-1,1,0.854974705,5,7,1646
"24","Anka","Zamfara",2024,2,-1,1,0.927487352,5,8,1674
"34","Anka","Zamfara",2024,3,-1,1,0.937605396,5,9,1702
"44","Anka","Zamfara",2024,4,-1,1,0.268128162,5,10,1730
"15","Anka","Zamfara",2025,1,-1,1,0.854974705,5,7,2011
"29","Anka","Zamfara",2025,2,-1,1,0.927487352,5,8,2039
"35","Anka","Zamfara",2025,3,-1,1,0.937605396,5,9,2067
"45","Anka","Zamfara",2025,4,-1,1,0.268128162,5,10,2095
"16","Anka","Zamfara",2026,1,-1,1,0.854974705,5,7,2376
"210","Anka","Zamfara",2026,2,-1,1,0.927487352,5,8,2404
"36","Anka","Zamfara",2026,3,-1,1,0.937605396,5,9,2432
"46","Anka","Zamfara",2026,4,-1,1,0.268128162,5,10,2460
"17","Anka","Zamfara",2027,1,-1,1,0.854974705,5,7,2741
"211","Anka","Zamfara",2027,2,-1,1,0.927487352,5,8,2769
"37","Anka","Zamfara",2027,3,-1,1,0.937605396,5,9,2797
"47","Anka","Zamfara",2027,4,-1,1,0.268128162,5,10,2825
"18","Anka","Zamfara",2028,1,-1,1,0.854974705,5,7,3106
"212","Anka","Zamfara",2028,2,-1,1,0.927487352,5,8,3134
"38","Anka","Zamfara",2028,3,-1,1,0.937605396,5,9,3162
"48","Anka","Zamfara",2028,4,-1,1,0.268128162,5,10,3190
"19","Anka","Zamfara",2029,1,-1,1,0.854974705,5,7,3471
"213","Anka","Zamfara",2029,2,-1,1,0.927487352,5,8,3499
"39","Anka","Zamfara",2029,3,-1,1,0.937605396,5,9,3527
"413","Anka","Zamfara",2029,4,-1,1,0.268128162,5,10,3555
"110","Anka","Zamfara",2030,1,-1,1,0.854974705,5,7,3836
"214","Anka","Zamfara",2030,2,-1,1,0.927487352,5,8,3864
"310","Anka","Zamfara",2030,3,-1,1,0.937605396,5,9,3892
"414","Anka","Zamfara",2030,4,-1,1,0.268128162,5,10,3920
"25","Auyo","Jigawa",2020,1,-1,1,0.934456929,5,7,186
"26","Auyo","Jigawa",2020,2,-1,1,0.973782772,5,8,214
"27","Auyo","Jigawa",2020,3,-1,1,0.975655431,5,9,242
"28","Auyo","Jigawa",2020,4,-1,1,0.653558052,5,10,270
"251","Auyo","Jigawa",2021,1,-1,1,0.934456929,5,7,551
"261","Auyo","Jigawa",2021,2,-1,1,0.973782772,5,8,579
"271","Auyo","Jigawa",2021,3,-1,1,0.975655431,5,9,607
"281","Auyo","Jigawa",2021,4,-1,1,0.653558052,5,10,635
"252","Auyo","Jigawa",2022,1,-1,1,0.934456929,5,7,916
"262","Auyo","Jigawa",2022,2,-1,1,0.973782772,5,8,944
"272","Auyo","Jigawa",2022,3,-1,1,0.975655431,5,9,972
"282","Auyo","Jigawa",2022,4,-1,1,0.653558052,5,10,1000
"253","Auyo","Jigawa",2023,1,-1,1,0.934456929,5,7,1281
"263","Auyo","Jigawa",2023,2,-1,1,0.973782772,5,8,1309
"273","Auyo","Jigawa",2023,3,-1,1,0.975655431,5,9,1337
"283","Auyo","Jigawa",2023,4,-1,1,0.653558052,5,10,1365
"254","Auyo","Jigawa",2024,1,-1,1,0.934456929,5,7,1646
"264","Auyo","Jigawa",2024,2,-1,1,0.973782772,5,8,1674
"274","Auyo","Jigawa",2024,3,-1,1,0.975655431,5,9,1702
"284","Auyo","Jigawa",2024,4,-1,1,0.653558052,5,10,1730
"255","Auyo","Jigawa",2025,1,-1,1,0.934456929,5,7,2011
"269","Auyo","Jigawa",2025,2,-1,1,0.973782772,5,8,2039
"275","Auyo","Jigawa",2025,3,-1,1,0.975655431,5,9,2067
"285","Auyo","Jigawa",2025,4,-1,1,0.653558052,5,10,2095
"256","Auyo","Jigawa",2026,1,-1,1,0.934456929,5,7,2376
"2610","Auyo","Jigawa",2026,2,-1,1,0.973782772,5,8,2404
"276","Auyo","Jigawa",2026,3,-1,1,0.975655431,5,9,2432
"286","Auyo","Jigawa",2026,4,-1,1,0.653558052,5,10,2460
"257","Auyo","Jigawa",2027,1,-1,1,0.934456929,5,7,2741
"2611","Auyo","Jigawa",2027,2,-1,1,0.973782772,5,8,2769
"277","Auyo","Jigawa",2027,3,-1,1,0.975655431,5,9,2797
"287","Auyo","Jigawa",2027,4,-1,1,0.653558052,5,10,2825
