"","State","LGA","repDS","peak","year","round","duration","coverage_high_access","coverage_low_access","max_age","simday"
"1","Borno","Abadam","Babura","may",2020,1,-1,1,0.6,5,131
"230","Borno","Abadam","Babura","may",2020,2,-1,1,0.6,5,161
"231","Borno","Abadam","Babura","may",2020,3,-1,1,0.6,5,191
"232","Borno","Abadam","Babura","may",2020,4,-1,1,0.6,5,221
"1581","Borno","Abadam","Babura","may",2021,1,-1,1,0.6,5,496
"1810","Borno","Abadam","Babura","may",2021,2,-1,1,0.6,5,526
"1811","Borno","Abadam","Babura","may",2021,3,-1,1,0.6,5,556
"1812","Borno","Abadam","Babura","may",2021,4,-1,1,0.6,5,586
"3161","Borno","Abadam","Babura","may",2022,1,-1,1,0.6,5,861
"3390","Borno","Abadam","Babura","may",2022,2,-1,1,0.6,5,891
"3391","Borno","Abadam","Babura","may",2022,3,-1,1,0.6,5,921
"3392","Borno","Abadam","Babura","may",2022,4,-1,1,0.6,5,951
"4741","Borno","Abadam","Babura","may",2023,1,-1,1,0.6,5,1226
"4970","Borno","Abadam","Babura","may",2023,2,-1,1,0.6,5,1256
"4971","Borno","Abadam","Babura","may",2023,3,-1,1,0.6,5,1286
"4972","Borno","Abadam","Babura","may",2023,4,-1,1,0.6,5,1316
"6321","Borno","Abadam","Babura","may",2024,1,-1,1,0.6,5,1591
"6550","Borno","Abadam","Babura","may",2024,2,-1,1,0.6,5,1621
"6551","Borno","Abadam","Babura","may",2024,3,-1,1,0.6,5,1651
"6552","Borno","Abadam","Babura","may",2024,4,-1,1,0.6,5,1681
"7901","Borno","Abadam","Babura","may",2025,1,-1,1,0.6,5,1956
"8130","Borno","Abadam","Babura","may",2025,2,-1,1,0.6,5,1986
"8131","Borno","Abadam","Babura","may",2025,3,-1,1,0.6,5,2016
"8132","Borno","Abadam","Babura","may",2025,4,-1,1,0.6,5,2046
"9481","Borno","Abadam","Babura","may",2026,1,-1,1,0.6,5,2321
"9710","Borno","Abadam","Babura","may",2026,2,-1,1,0.6,5,2351
"9711","Borno","Abadam","Babura","may",2026,3,-1,1,0.6,5,2381
"9712","Borno","Abadam","Babura","may",2026,4,-1,1,0.6,5,2411
"11061","Borno","Abadam","Babura","may",2027,1,-1,1,0.6,5,2686
"11290","Borno","Abadam","Babura","may",2027,2,-1,1,0.6,5,2716
