State,LGA,repDS,peak,year,round,duration,coverage_high_access,coverage_low_access,max_age,simday,scenario
Borno,Abadam,Babura,may,2020,1,-1,1,0.6,5,131,scenario 2 - 5
Borno,Abadam,Babura,may,2020,2,-1,1,0.6,5,161,scenario 2 - 5
Borno,Abadam,Babura,may,2020,3,-1,1,0.6,5,191,scenario 2 - 5
Borno,Abadam,Babura,may,2020,4,-1,1,0.6,5,221,scenario 2 - 5
Borno,Abadam,Babura,may,2021,1,-1,1,0.6,5,496,scenario 2 - 5
Borno,Abadam,Babura,may,2021,2,-1,1,0.6,5,526,scenario 2 - 5
Borno,Abadam,Babura,may,2021,3,-1,1,0.6,5,556,scenario 2 - 5
Borno,Abadam,Babura,may,2021,4,-1,1,0.6,5,586,scenario 2 - 5
Borno,Abadam,Babura,may,2022,1,-1,1,0.6,5,861,scenario 2 - 5
Borno,Abadam,Babura,may,2022,2,-1,1,0.6,5,891,scenario 2 - 5
Borno,Abadam,Babura,may,2022,3,-1,1,0.6,5,921,scenario 2 - 5
Borno,Abadam,Babura,may,2022,4,-1,1,0.6,5,951,scenario 2 - 5
Borno,Abadam,Babura,may,2023,1,-1,1,0.6,5,1226,scenario 2 - 5
Borno,Abadam,Babura,may,2023,2,-1,1,0.6,5,1256,scenario 2 - 5
Borno,Abadam,Babura,may,2023,3,-1,1,0.6,5,1286,scenario 2 - 5
Borno,Abadam,Babura,may,2023,4,-1,1,0.6,5,1316,scenario 2 - 5
Borno,Abadam,Babura,may,2024,1,-1,1,0.6,5,1591,scenario 2 - 5
Borno,Abadam,Babura,may,2024,2,-1,1,0.6,5,1621,scenario 2 - 5
Borno,Abadam,Babura,may,2024,3,-1,1,0.6,5,1651,scenario 2 - 5
Borno,Abadam,Babura,may,2024,4,-1,1,0.6,5,1681,scenario 2 - 5
Borno,Abadam,Babura,may,2025,1,-1,1,0.6,5,1956,scenario 2 - 5
Borno,Abadam,Babura,may,2025,2,-1,1,0.6,5,1986,scenario 2 - 5
Borno,Abadam,Babura,may,2025,3,-1,1,0.6,5,2016,scenario 2 - 5
Borno,Abadam,Babura,may,2025,4,-1,1,0.6,5,2046,scenario 2 - 5
Borno,Abadam,Babura,may,2026,1,-1,1,0.6,5,2321,scenario 2 - 5
Borno,Abadam,Babura,may,2026,2,-1,1,0.6,5,2351,scenario 2 - 5
Borno,Abadam,Babura,may,2026,3,-1,1,0.6,5,2381,scenario 2 - 5
Borno,Abadam,Babura,may,2026,4,-1,1,0.6,5,2411,scenario 2 - 5
Borno,Abadam,Babura,may,2027,1,-1,1,0.6,5,2686,scenario 2 - 5
Borno,Abadam,Babura,may,2027,2,-1,1,0.6,5,2716,scenario 2 - 5
Borno,Abadam,Babura,may,2027,3,-1,1,0.6,5,2746,scenario 2 - 5
Borno,Abadam,Babura,may,2027,4,-1,1,0.6,5,2776,scenario 2 - 5
Borno,Abadam,Babura,may,2028,1,-1,1,0.6,5,3051,scenario 2 - 5
Borno,Abadam,Babura,may,2028,2,-1,1,0.6,5,3081,scenario 2 - 5
Borno,Abadam,Babura,may,2028,3,-1,1,0.6,5,3111,scenario 2 - 5
Borno,Abadam,Babura,may,2028,4,-1,1,0.6,5,3141,scenario 2 - 5
Borno,Abadam,Babura,may,2029,1,-1,1,0.6,5,3416,scenario 2 - 5
Borno,Abadam,Babura,may,2029,2,-1,1,0.6,5,3446,scenario 2 - 5
Borno,Abadam,Babura,may,2029,3,-1,1,0.6,5,3476,scenario 2 - 5
Borno,Abadam,Babura,may,2029,4,-1,1,0.6,5,3506,scenario 2 - 5
Borno,Abadam,Babura,may,2030,1,-1,1,0.6,5,3781,scenario 2 - 5
Borno,Abadam,Babura,may,2030,2,-1,1,0.6,5,3811,scenario 2 - 5
Borno,Abadam,Babura,may,2030,3,-1,1,0.6,5,3841,scenario 2 - 5
Borno,Abadam,Babura,may,2030,4,-1,1,0.6,5,3871,scenario 2 - 5
