LGA,LGA_old,repDS,simday,duration,year,mortality_rate,kill_rate,block_initial,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use
Aba North,Aba North,Ngor-Okpala,0,1095,2010,0.319067389,0.393201897,0.53,0.111873819,0.10469624,0.070636395,0.08256596
Aba South,Aba South,Ngor-Okpala,0,1095,2010,0.311454386,0.38693958,0.53,0.041666667,0.10469624,0.070636395,0.08256596
Arochukwu,Arochukwu,Ngor-Okpala,0,1095,2010,0.431823298,0.485441926,0.53,0.111873819,0.10469624,0.070636395,0.08256596
Bende,Bende,Ngor-Okpala,0,1095,2010,0.451630723,0.501154968,0.53,0.157894737,0.142857143,0.070636395,0.071428571
Ikwuano,Ikwuano,Ngor-Okpala,0,1095,2010,0.469780688,0.51532143,0.53,0.111873819,0.10469624,0.070636395,0.08256596
Isiala-Ngwa North,Isiala-Ngwa North,Ngor-Okpala,0,1095,2010,0.347639146,0.416760484,0.53,0.111873819,0.10469624,0.070636395,0.03125
Isiala-Ngwa South,Isiala-Ngwa South,Ngor-Okpala,0,1095,2010,0.381316588,0.444481729,0.53,0.111873819,0.10469624,0.070636395,0.08256596
Isuikwato,Isuikwato,Ngor-Okpala,0,1095,2010,0.414408176,0.471442169,0.53,0.111873819,0.10469624,0.070636395,0.08256596
Obi Nwa,Obi Nwa,Ngor-Okpala,0,1095,2010,0.339144556,0.409752288,0.53,0.166666667,0.10469624,0.070636395,0.112903226
Ohafia,Ohafia,Ngor-Okpala,0,1095,2010,0.433165676,0.486514324,0.53,0.111873819,0.10469624,0.070636395,0.08256596
Osisioma Ngwa,Osisioma Ngwa,Ngor-Okpala,0,1095,2010,0.3223721,0.395923243,0.53,0.045454545,0.10469624,0.070636395,0.05
Ugwunagbo,Ugwunagbo,Ngor-Okpala,0,1095,2010,0.311296946,0.386810187,0.53,0.111873819,0.10469624,0.070636395,0.08256596
Ukwa East,Ukwa East,Nsit Ubium,0,1095,2010,0.30363416,0.380519132,0.53,0.359615859,0.270466267,0.25654695,0.332230027
Ukwa West,Ukwa West,Nsit Ubium,0,1095,2010,0.294680951,0.373187786,0.53,0.359615859,0.270466267,0.25654695,0.332230027
Umu-Neochi,Umu-Neochi,Oru West,0,1095,2010,0.436597759,0.489251418,0.53,0.343098592,0.295986276,0.219999637,0.304709624
Umuahia North,Umuahia North,Ngor-Okpala,0,1095,2010,0.451576154,0.501112024,0.53,0.111873819,0.10469624,0.070636395,0.08256596
Umuahia South,Umuahia South,Ngor-Okpala,0,1095,2010,0.48752647,0.528927156,0.53,0.111873819,0.10469624,0.070636395,0.08256596
Demsa,Demsa,Alkaleri,0,1095,2010,0.495212973,0.534738199,0.53,0.481667677,0.306521543,0.256637785,0.410395137
Gireri,Gireri,Darazo,0,1095,2010,0.658506137,0.643299625,0.53,0.46787632,0.313975754,0.226588337,0.47097189
Gombi,Gombi,Alkaleri,0,1095,2010,0.515567645,0.54986676,0.53,0.481667677,0.306521543,0.256637785,0.410395137
Guyuk,Guyuk,Alkaleri,0,1095,2010,0.571995521,0.58959986,0.53,0.481667677,0.306521543,0.256637785,0.410395137
Hong,Hong,Darazo,0,1095,2010,0.634881453,0.629555395,0.53,0.46787632,0.313975754,0.226588337,0.47097189
Lamurde,Lamurde,Alkaleri,0,1095,2010,0.429924862,0.483923569,0.53,0.777777778,0.769230769,0.684210526,0.766666667
Mayo-Belwa,Mayo-Belwa,Alkaleri,0,1095,2010,0.615915722,0.618014343,0.53,0.481667677,0.306521543,0.256637785,0.410395137
Numan,Numan,Alkaleri,0,1095,2010,0.518273564,0.55184819,0.53,0.481667677,0.306521543,0.256637785,0.410395137
Shelleng,Shelleng,Darazo,0,1095,2010,0.58914423,0.600969346,0.53,0.46787632,0.313975754,0.226588337,0.47097189
Itu,Itu,Ngor-Okpala,0,1095,2010,0.415010863,0.471929182,0.53,0.111873819,0.10469624,0.070636395,0.08256596
Song,Song,Darazo,0,1095,2010,0.551949619,0.575879905,0.53,0.6,0.633333333,0.333333333,0.574074074
Yola North,Yola North,Alkaleri,0,1095,2010,0.581884889,0.596198663,0.53,0.481667677,0.306521543,0.256637785,0.410395137
Yola South,Yola South,Alkaleri,0,1095,2010,0.57254926,0.589972357,0.53,0.318181818,0.217391304,0.1,0.346153846
Abak,Abak,Nsit Ubium,0,1095,2010,0.358412263,0.425644469,0.53,0.258064516,0.125,0.25654695,0.236111111
Awka North,Awka North,Uzo-Uwani,0,1095,2010,0.388205397,0.450124783,0.53,0.132714912,0.074567206,0.067921762,0.080523576
Eket,Eket,Nsit Ubium,0,1095,2010,0.238612216,0.328021397,0.53,0.359615859,0.270466267,0.25654695,0.332230027
Esit Eket,Esit Eket,Nsit Ubium,0,1095,2010,0.262279676,0.346897657,0.53,0.359615859,0.270466267,0.25654695,0.332230027
Essien Udim,Essien Udim,Ngor-Okpala,0,1095,2010,0.369824263,0.435041855,0.53,0.588235294,0.571428571,0.272727273,0.418181818
Etim Ekpo,Etim Ekpo,Ngor-Okpala,0,1095,2010,0.326319464,0.399175674,0.53,0.111873819,0.10469624,0.070636395,0.08256596
Etinan,Etinan,Nsit Ubium,0,1095,2010,0.271254927,0.35413511,0.53,0.359615859,0.270466267,0.25654695,0.332230027
