"","X1","adm1","LGA","smc_plan1","repDS","peak","year","round","duration","coverage_high_access","coverage_low_access","max_age","simday","scenario"
"1",77,"Borno","Abadam","SMC","Babura","may",2020,1,-1,1,0.6,5,131,"scenario 6"
"2",78,"Borno","Abadam","SMC","Babura","may",2020,2,-1,1,0.6,5,161,"scenario 6"
"3",79,"Borno","Abadam","SMC","Babura","may",2020,3,-1,1,0.6,5,191,"scenario 6"
"4",80,"Borno","Abadam","SMC","Babura","may",2020,4,-1,1,0.6,5,221,"scenario 6"
"5",1297,"Borno","Abadam","SMC","Babura","may",2021,1,-1,1,0.6,5,496,"scenario 6"
"6",1298,"Borno","Abadam","SMC","Babura","may",2021,2,-1,1,0.6,5,526,"scenario 6"
"7",1299,"Borno","Abadam","SMC","Babura","may",2021,3,-1,1,0.6,5,556,"scenario 6"
"8",1300,"Borno","Abadam","SMC","Babura","may",2021,4,-1,1,0.6,5,586,"scenario 6"
"9",2517,"Borno","Abadam","SMC","Babura","may",2022,1,-1,1,0.6,5,861,"scenario 6"
"10",2518,"Borno","Abadam","SMC","Babura","may",2022,2,-1,1,0.6,5,891,"scenario 6"
"11",2519,"Borno","Abadam","SMC","Babura","may",2022,3,-1,1,0.6,5,921,"scenario 6"
"12",2520,"Borno","Abadam","SMC","Babura","may",2022,4,-1,1,0.6,5,951,"scenario 6"
"13",3737,"Borno","Abadam","SMC","Babura","may",2023,1,-1,1,0.6,5,1226,"scenario 6"
"14",3738,"Borno","Abadam","SMC","Babura","may",2023,2,-1,1,0.6,5,1256,"scenario 6"
"15",3739,"Borno","Abadam","SMC","Babura","may",2023,3,-1,1,0.6,5,1286,"scenario 6"
"16",3740,"Borno","Abadam","SMC","Babura","may",2023,4,-1,1,0.6,5,1316,"scenario 6"
"17",4957,"Borno","Abadam","SMC","Babura","may",2024,1,-1,1,0.6,5,1591,"scenario 6"
"18",4958,"Borno","Abadam","SMC","Babura","may",2024,2,-1,1,0.6,5,1621,"scenario 6"
"19",4959,"Borno","Abadam","SMC","Babura","may",2024,3,-1,1,0.6,5,1651,"scenario 6"
"20",4960,"Borno","Abadam","SMC","Babura","may",2024,4,-1,1,0.6,5,1681,"scenario 6"
"21",6177,"Borno","Abadam","SMC","Babura","may",2025,1,-1,1,0.6,5,1956,"scenario 6"
"22",6178,"Borno","Abadam","SMC","Babura","may",2025,2,-1,1,0.6,5,1986,"scenario 6"
"23",6179,"Borno","Abadam","SMC","Babura","may",2025,3,-1,1,0.6,5,2016,"scenario 6"
"24",6180,"Borno","Abadam","SMC","Babura","may",2025,4,-1,1,0.6,5,2046,"scenario 6"
"25",7397,"Borno","Abadam","SMC","Babura","may",2026,1,-1,1,0.6,5,2321,"scenario 6"
"26",7398,"Borno","Abadam","SMC","Babura","may",2026,2,-1,1,0.6,5,2351,"scenario 6"
"27",7399,"Borno","Abadam","SMC","Babura","may",2026,3,-1,1,0.6,5,2381,"scenario 6"
"28",7400,"Borno","Abadam","SMC","Babura","may",2026,4,-1,1,0.6,5,2411,"scenario 6"
"29",8617,"Borno","Abadam","SMC","Babura","may",2027,1,-1,1,0.6,5,2686,"scenario 6"
"30",8618,"Borno","Abadam","SMC","Babura","may",2027,2,-1,1,0.6,5,2716,"scenario 6"
"31",8619,"Borno","Abadam","SMC","Babura","may",2027,3,-1,1,0.6,5,2746,"scenario 6"
"32",8620,"Borno","Abadam","SMC","Babura","may",2027,4,-1,1,0.6,5,2776,"scenario 6"
"33",9837,"Borno","Abadam","SMC","Babura","may",2028,1,-1,1,0.6,5,3051,"scenario 6"
"34",9838,"Borno","Abadam","SMC","Babura","may",2028,2,-1,1,0.6,5,3081,"scenario 6"
"35",9839,"Borno","Abadam","SMC","Babura","may",2028,3,-1,1,0.6,5,3111,"scenario 6"
"36",9840,"Borno","Abadam","SMC","Babura","may",2028,4,-1,1,0.6,5,3141,"scenario 6"
"37",11057,"Borno","Abadam","SMC","Babura","may",2029,1,-1,1,0.6,5,3416,"scenario 6"
"38",11058,"Borno","Abadam","SMC","Babura","may",2029,2,-1,1,0.6,5,3446,"scenario 6"
"39",11059,"Borno","Abadam","SMC","Babura","may",2029,3,-1,1,0.6,5,3476,"scenario 6"
"40",11060,"Borno","Abadam","SMC","Babura","may",2029,4,-1,1,0.6,5,3506,"scenario 6"
"41",12277,"Borno","Abadam","SMC","Babura","may",2030,1,-1,1,0.6,5,3781,"scenario 6"
"42",12278,"Borno","Abadam","SMC","Babura","may",2030,2,-1,1,0.6,5,3811,"scenario 6"
"43",12279,"Borno","Abadam","SMC","Babura","may",2030,3,-1,1,0.6,5,3841,"scenario 6"
"44",12280,"Borno","Abadam","SMC","Babura","may",2030,4,-1,1,0.6,5,3871,"scenario 6"
"45",869,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2020,1,-1,1,0.6,5,186,"scenario 6"
"46",870,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2020,2,-1,1,0.6,5,216,"scenario 6"
"47",871,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2020,3,-1,1,0.6,5,246,"scenario 6"
"48",872,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2020,4,-1,1,0.6,5,276,"scenario 6"
"49",2089,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2021,1,-1,1,0.6,5,551,"scenario 6"
"50",2090,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2021,2,-1,1,0.6,5,581,"scenario 6"
"51",2091,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2021,3,-1,1,0.6,5,611,"scenario 6"
"52",2092,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2021,4,-1,1,0.6,5,641,"scenario 6"
"53",3309,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2022,1,-1,1,0.6,5,916,"scenario 6"
"54",3310,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2022,2,-1,1,0.6,5,946,"scenario 6"
"55",3311,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2022,3,-1,1,0.6,5,976,"scenario 6"
"56",3312,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2022,4,-1,1,0.6,5,1006,"scenario 6"
"57",4529,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2023,1,-1,1,0.6,5,1281,"scenario 6"
"58",4530,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2023,2,-1,1,0.6,5,1311,"scenario 6"
"59",4531,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2023,3,-1,1,0.6,5,1341,"scenario 6"
"60",4532,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2023,4,-1,1,0.6,5,1371,"scenario 6"
"61",5749,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2024,1,-1,1,0.6,5,1646,"scenario 6"
"62",5750,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2024,2,-1,1,0.6,5,1676,"scenario 6"
"63",5751,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2024,3,-1,1,0.6,5,1706,"scenario 6"
"64",5752,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2024,4,-1,1,0.6,5,1736,"scenario 6"
"65",6969,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2025,1,-1,1,0.6,5,2011,"scenario 6"
"66",6970,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2025,2,-1,1,0.6,5,2041,"scenario 6"
"67",6971,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2025,3,-1,1,0.6,5,2071,"scenario 6"
"68",6972,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2025,4,-1,1,0.6,5,2101,"scenario 6"
"69",8189,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2026,1,-1,1,0.6,5,2376,"scenario 6"
"70",8190,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2026,2,-1,1,0.6,5,2406,"scenario 6"
"71",8191,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2026,3,-1,1,0.6,5,2436,"scenario 6"
"72",8192,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2026,4,-1,1,0.6,5,2466,"scenario 6"
"73",9409,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2027,1,-1,1,0.6,5,2741,"scenario 6"
"74",9410,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2027,2,-1,1,0.6,5,2771,"scenario 6"
"75",9411,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2027,3,-1,1,0.6,5,2801,"scenario 6"
"76",9412,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2027,4,-1,1,0.6,5,2831,"scenario 6"
"77",10629,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2028,1,-1,1,0.6,5,3106,"scenario 6"
"78",10630,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2028,2,-1,1,0.6,5,3136,"scenario 6"
"79",10631,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2028,3,-1,1,0.6,5,3166,"scenario 6"
"80",10632,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2028,4,-1,1,0.6,5,3196,"scenario 6"
"81",11849,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2029,1,-1,1,0.6,5,3471,"scenario 6"
"82",11850,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2029,2,-1,1,0.6,5,3501,"scenario 6"
"83",11851,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2029,3,-1,1,0.6,5,3531,"scenario 6"
"84",11852,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2029,4,-1,1,0.6,5,3561,"scenario 6"
"85",13069,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2030,1,-1,1,0.6,5,3836,"scenario 6"
"86",13070,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2030,2,-1,1,0.6,5,3866,"scenario 6"
"87",13071,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2030,3,-1,1,0.6,5,3896,"scenario 6"
"88",13072,"Niger","Agaie","SMC in PAAR","Oke-Ero","july",2030,4,-1,1,0.6,5,3926,"scenario 6"
"89",873,"Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2020,1,-1,1,0.6,5,223,"scenario 6"
