"","X1","State","LGA","repDS","peak","year","round","duration","coverage_high_access","coverage_low_access","max_age","simday","scenario"
"1",1,"Borno","Abadam","Babura","may",2020,1,-1,1,0.6,5,131,"scenario 2 - 5"
"2",230,"Borno","Abadam","Babura","may",2020,2,-1,1,0.6,5,161,"scenario 2 - 5"
"3",231,"Borno","Abadam","Babura","may",2020,3,-1,1,0.6,5,191,"scenario 2 - 5"
"4",232,"Borno","Abadam","Babura","may",2020,4,-1,1,0.6,5,221,"scenario 2 - 5"
"5",1581,"Borno","Abadam","Babura","may",2021,1,-1,1,0.6,5,496,"scenario 2 - 5"
"6",1810,"Borno","Abadam","Babura","may",2021,2,-1,1,0.6,5,526,"scenario 2 - 5"
"7",1811,"Borno","Abadam","Babura","may",2021,3,-1,1,0.6,5,556,"scenario 2 - 5"
"8",1812,"Borno","Abadam","Babura","may",2021,4,-1,1,0.6,5,586,"scenario 2 - 5"
"9",3161,"Borno","Abadam","Babura","may",2022,1,-1,1,0.6,5,861,"scenario 2 - 5"
"10",3390,"Borno","Abadam","Babura","may",2022,2,-1,1,0.6,5,891,"scenario 2 - 5"
"11",3391,"Borno","Abadam","Babura","may",2022,3,-1,1,0.6,5,921,"scenario 2 - 5"
"12",3392,"Borno","Abadam","Babura","may",2022,4,-1,1,0.6,5,951,"scenario 2 - 5"
"13",4741,"Borno","Abadam","Babura","may",2023,1,-1,1,0.6,5,1226,"scenario 2 - 5"
"14",4970,"Borno","Abadam","Babura","may",2023,2,-1,1,0.6,5,1256,"scenario 2 - 5"
"15",4971,"Borno","Abadam","Babura","may",2023,3,-1,1,0.6,5,1286,"scenario 2 - 5"
"16",4972,"Borno","Abadam","Babura","may",2023,4,-1,1,0.6,5,1316,"scenario 2 - 5"
"17",6321,"Borno","Abadam","Babura","may",2024,1,-1,1,0.6,5,1591,"scenario 2 - 5"
"18",6550,"Borno","Abadam","Babura","may",2024,2,-1,1,0.6,5,1621,"scenario 2 - 5"
"19",6551,"Borno","Abadam","Babura","may",2024,3,-1,1,0.6,5,1651,"scenario 2 - 5"
"20",6552,"Borno","Abadam","Babura","may",2024,4,-1,1,0.6,5,1681,"scenario 2 - 5"
"21",7901,"Borno","Abadam","Babura","may",2025,1,-1,1,0.6,5,1956,"scenario 2 - 5"
"22",8130,"Borno","Abadam","Babura","may",2025,2,-1,1,0.6,5,1986,"scenario 2 - 5"
"23",8131,"Borno","Abadam","Babura","may",2025,3,-1,1,0.6,5,2016,"scenario 2 - 5"
"24",8132,"Borno","Abadam","Babura","may",2025,4,-1,1,0.6,5,2046,"scenario 2 - 5"
"25",9481,"Borno","Abadam","Babura","may",2026,1,-1,1,0.6,5,2321,"scenario 2 - 5"
"26",9710,"Borno","Abadam","Babura","may",2026,2,-1,1,0.6,5,2351,"scenario 2 - 5"
"27",9711,"Borno","Abadam","Babura","may",2026,3,-1,1,0.6,5,2381,"scenario 2 - 5"
"28",9712,"Borno","Abadam","Babura","may",2026,4,-1,1,0.6,5,2411,"scenario 2 - 5"
"29",11061,"Borno","Abadam","Babura","may",2027,1,-1,1,0.6,5,2686,"scenario 2 - 5"
"30",11290,"Borno","Abadam","Babura","may",2027,2,-1,1,0.6,5,2716,"scenario 2 - 5"
"31",11291,"Borno","Abadam","Babura","may",2027,3,-1,1,0.6,5,2746,"scenario 2 - 5"
"32",11292,"Borno","Abadam","Babura","may",2027,4,-1,1,0.6,5,2776,"scenario 2 - 5"
"33",12641,"Borno","Abadam","Babura","may",2028,1,-1,1,0.6,5,3051,"scenario 2 - 5"
"34",12870,"Borno","Abadam","Babura","may",2028,2,-1,1,0.6,5,3081,"scenario 2 - 5"
"35",12871,"Borno","Abadam","Babura","may",2028,3,-1,1,0.6,5,3111,"scenario 2 - 5"
"36",12872,"Borno","Abadam","Babura","may",2028,4,-1,1,0.6,5,3141,"scenario 2 - 5"
"37",14221,"Borno","Abadam","Babura","may",2029,1,-1,1,0.6,5,3416,"scenario 2 - 5"
"38",14450,"Borno","Abadam","Babura","may",2029,2,-1,1,0.6,5,3446,"scenario 2 - 5"
"39",14451,"Borno","Abadam","Babura","may",2029,3,-1,1,0.6,5,3476,"scenario 2 - 5"
"40",14452,"Borno","Abadam","Babura","may",2029,4,-1,1,0.6,5,3506,"scenario 2 - 5"
"41",15801,"Borno","Abadam","Babura","may",2030,1,-1,1,0.6,5,3781,"scenario 2 - 5"
"42",16030,"Borno","Abadam","Babura","may",2030,2,-1,1,0.6,5,3811,"scenario 2 - 5"
