"","X1","adm1","LGA","smc_plan1","repDS","peak","year","round","duration","coverage_high_access","coverage_low_access","max_age","simday","scenario"
"1",1,"Borno","Abadam","SMC","Babura","may",2020,1,-1,1,0.6,5,131,"scenario 7"
"2",2,"Borno","Abadam","SMC","Babura","may",2020,2,-1,1,0.6,5,161,"scenario 7"
"3",3,"Borno","Abadam","SMC","Babura","may",2020,3,-1,1,0.6,5,191,"scenario 7"
"4",4,"Borno","Abadam","SMC","Babura","may",2020,4,-1,1,0.6,5,221,"scenario 7"
"5",865,"Borno","Abadam","SMC","Babura","may",2021,1,-1,1,0.6,5,496,"scenario 7"
"6",866,"Borno","Abadam","SMC","Babura","may",2021,2,-1,1,0.6,5,526,"scenario 7"
"7",867,"Borno","Abadam","SMC","Babura","may",2021,3,-1,1,0.6,5,556,"scenario 7"
"8",868,"Borno","Abadam","SMC","Babura","may",2021,4,-1,1,0.6,5,586,"scenario 7"
"9",1729,"Borno","Abadam","SMC","Babura","may",2022,1,-1,1,0.6,5,861,"scenario 7"
"10",1730,"Borno","Abadam","SMC","Babura","may",2022,2,-1,1,0.6,5,891,"scenario 7"
"11",1731,"Borno","Abadam","SMC","Babura","may",2022,3,-1,1,0.6,5,921,"scenario 7"
"12",1732,"Borno","Abadam","SMC","Babura","may",2022,4,-1,1,0.6,5,951,"scenario 7"
"13",2593,"Borno","Abadam","SMC","Babura","may",2023,1,-1,1,0.6,5,1226,"scenario 7"
"14",2594,"Borno","Abadam","SMC","Babura","may",2023,2,-1,1,0.6,5,1256,"scenario 7"
"15",2595,"Borno","Abadam","SMC","Babura","may",2023,3,-1,1,0.6,5,1286,"scenario 7"
"16",2596,"Borno","Abadam","SMC","Babura","may",2023,4,-1,1,0.6,5,1316,"scenario 7"
"17",3457,"Borno","Abadam","SMC","Babura","may",2024,1,-1,1,0.6,5,1591,"scenario 7"
"18",3458,"Borno","Abadam","SMC","Babura","may",2024,2,-1,1,0.6,5,1621,"scenario 7"
"19",3459,"Borno","Abadam","SMC","Babura","may",2024,3,-1,1,0.6,5,1651,"scenario 7"
"20",3460,"Borno","Abadam","SMC","Babura","may",2024,4,-1,1,0.6,5,1681,"scenario 7"
"21",4321,"Borno","Abadam","SMC","Babura","may",2025,1,-1,1,0.6,5,1956,"scenario 7"
"22",4322,"Borno","Abadam","SMC","Babura","may",2025,2,-1,1,0.6,5,1986,"scenario 7"
