"","scenario","year","death_rate_mean_all_ages","death_rate_mean_all_ages_max","death_rate_mean_all_ages_min","death_rate_mean_U5","death_rate_mean_U5_max","death_rate_mean_U5_min","incidence_all_ages","incidence_all_ages_max","incidence_all_ages_min","incidence_U5","incidence_U5_max","incidence_U5_min","PfPR_all_ages","PfPR_all_ages_max","PfPR_all_ages_min","PfPR_U5","PfPR_U5_max","PfPR_U5_min"
"1","NGA projection scenario 0",2011,0.96382519657809,0.96382519657809,0.96382519657809,4.39180595884573,4.39180595884573,4.39180595884573,1096.42820099848,1096.42820099848,1096.42820099848,2110.09266840019,2110.09266840019,2110.09266840019,0.268192588297575,0.268192588297575,0.268192588297575,0.307348903402408,0.307348903402408,0.307348903402408
"2","NGA projection scenario 0",2012,1.02501652155668,1.02501652155668,1.02501652155668,4.71427373784862,4.71427373784862,4.71427373784862,1148.33668210423,1148.33668210423,1148.33668210423,2205.62684050904,2205.62684050904,2205.62684050904,0.280380533357605,0.280380533357605,0.280380533357605,0.323774134647142,0.323774134647142,0.323774134647142
"3","NGA projection scenario 0",2013,0.963919450923194,0.963919450923194,0.963919450923194,4.39448859864871,4.39448859864871,4.39448859864871,1126.05431504808,1126.05431504808,1126.05431504808,2130.04392866199,2130.04392866199,2130.04392866199,0.273364817821049,0.273364817821049,0.273364817821049,0.310168567253827,0.310168567253827,0.310168567253827
"4","NGA projection scenario 0",2014,1.0168591046809,1.0168591046809,1.0168591046809,4.68920937364402,4.68920937364402,4.68920937364402,1173.50873495975,1173.50873495975,1173.50873495975,2218.04314311817,2218.04314311817,2218.04314311817,0.281863520850154,0.281863520850154,0.281863520850154,0.321081212450765,0.321081212450765,0.321081212450765
"5","NGA projection scenario 0",2015,0.763257920391331,0.763257920391331,0.763257920391331,3.34241373197206,3.34241373197206,3.34241373197206,1025.12400192247,1025.12400192247,1025.12400192247,1864.62270061003,1864.62270061003,1864.62270061003,0.240434506904723,0.240434506904723,0.240434506904723,0.256260624722525,0.256260624722525,0.256260624722525
"6","NGA projection scenario 0",2016,0.871187920707183,0.871187920707183,0.871187920707183,3.9065250598187,3.9065250598187,3.9065250598187,1137.82107314202,1137.82107314202,1137.82107314202,2066.16013904487,2066.16013904487,2066.16013904487,0.256373829024554,0.256373829024554,0.256373829024554,0.272414880966668,0.272414880966668,0.272414880966668
"7","NGA projection scenario 0",2017,0.939641219944344,0.939641219944344,0.939641219944344,4.28922953173301,4.28922953173301,4.28922953173301,1212.97064076695,1212.97064076695,1212.97064076695,2208.30697771506,2208.30697771506,2208.30697771506,0.273590574348795,0.273590574348795,0.273590574348795,0.29638196639833,0.29638196639833,0.29638196639833
"8","NGA projection scenario 0",2018,0.669207422683455,0.669207422683455,0.669207422683455,2.82721322001818,2.82721322001818,2.82721322001818,1015.68310720448,1015.68310720448,1015.68310720448,1761.23671119637,1761.23671119637,1761.23671119637,0.225746568292607,0.225746568292607,0.225746568292607,0.225170677651854,0.225170677651854,0.225170677651854
"9","NGA projection scenario 0",2019,0.764890697537404,0.764890697537404,0.764890697537404,3.32454107376429,3.32454107376429,3.32454107376429,1115.46426160056,1115.46426160056,1115.46426160056,1949.04454183748,1949.04454183748,1949.04454183748,0.238204327221175,0.238204327221175,0.238204327221175,0.2384632225484,0.2384632225484,0.2384632225484
"10","NGA projection scenario 1",2019,0.764890697537404,0.764890697537404,0.764890697537404,3.32454107376429,3.32454107376429,3.32454107376429,1115.46426160056,1115.46426160056,1115.46426160056,1949.04454183748,1949.04454183748,1949.04454183748,0.238204327221175,0.238204327221175,0.238204327221175,0.2384632225484,0.2384632225484,0.2384632225484
"11","NGA projection scenario 1",2020,0.88909341847677,0.904590513789183,0.878688967548164,3.92299427561713,4.03552622001498,3.84770577171847,1197.81417484094,1202.21820005904,1194.56735124383,2139.8826350931,2143.10045982522,2138.04603519669,0.228138344550757,0.228617403744766,0.227453722249641,0.24369824812493,0.244623911562423,0.242884157644265
"12","NGA projection scenario 1",2021,0.863785648940555,0.894233543418042,0.82977712381947,3.76465769343115,3.87511629939989,3.5642647322712,1184.30681211958,1188.97602486195,1181.07321230829,2094.81568841485,2098.87346554932,2091.34015590632,0.225692100634322,0.226604490546762,0.225165695957711,0.239915562939065,0.240399283013863,0.239080701330592
"13","NGA projection scenario 1",2022,0.846865744961405,0.866516995860249,0.819328343032072,3.66865490799291,3.75026296983734,3.54043869906239,1197.46593514194,1200.53003101198,1194.14457951026,2109.09215155239,2116.67459831809,2101.06674637028,0.227079264627715,0.227490722060547,0.226398430014471,0.240529975641511,0.241257402673536,0.239130630325095
"14","NGA projection scenario 1",2023,0.838847090635703,0.850148523252658,0.829827231590969,3.63819529506403,3.67338820918831,3.6140132644348,1208.15719575257,1211.34077630448,1205.40781305323,2102.65893805557,2107.50553929254,2098.44243562064,0.228036761474946,0.228298494703461,0.227743532416467,0.239374298271337,0.239521727931077,0.238975968115011
"15","NGA projection scenario 1",2024,0.871714655743674,0.899515434478103,0.852507258868322,3.81923587113338,3.96671870920974,3.68677961230344,1231.02310752113,1236.51966039972,1224.81081597725,2130.21557436387,2137.65468702321,2121.45172258707,0.231232451140894,0.231789982692902,0.230645979415362,0.242247816734095,0.242660288541872,0.240776452105975
"16","NGA projection scenario 1",2025,0.868494997146054,0.900435691674657,0.840492498251916,3.79271356957613,3.95428243493596,3.62646504846271,1250.30295141371,1255.62638253824,1244.87320569169,2156.06263901197,2167.14618739574,2144.07057506362,0.234179057711159,0.234553457526517,0.233817524522272,0.245309565994863,0.246114697896047,0.244387841197305
"17","NGA projection scenario 1",2026,0.880201224543758,0.888137664866744,0.866852777424962,3.78352972056949,3.90179691226081,3.69801998533175,1253.56166462584,1262.17190352598,1247.45084968918,2141.6078668935,2157.63196429742,2132.11667128966,0.234157159888807,0.235528301809798,0.233032008063355,0.243072165606238,0.244573438585006,0.241161865846188
"18","NGA projection scenario 1",2027,0.875027209269876,0.905151995163777,0.858386701097125,3.79763119306414,3.92954258384572,3.69645247045553,1272.91991474916,1274.59252484676,1271.02024344844,2168.23147717775,2174.79783119318,2163.23816794667,0.236935035602239,0.23739643946415,0.23662341282789,0.245659118853254,0.246327851077108,0.244919396896681
"19","NGA projection scenario 1",2028,0.882348075216361,0.9029849393085,0.860906533437146,3.84363375615105,3.94759524723827,3.65610041661119,1286.54340632085,1289.64412807981,1285.22384122323,2194.50406393779,2198.92167894591,2189.57292257684,0.239271338993775,0.239350817326884,0.239208518352681,0.248609493535515,0.249061107205282,0.248213889787634
"20","NGA projection scenario 1",2029,0.888541973776341,0.932686738057057,0.860939262489458,3.84234394739501,4.10131704309956,3.66622473143673,1284.13035020829,1289.35076021511,1280.23734448897,2177.01242308773,2184.10633764922,2168.5103045106,0.23874993545784,0.239547261425356,0.238198045808795,0.246627701139694,0.24751998992416,0.245428506869673
"21","NGA projection scenario 1",2030,0.89407273425752,0.909863437586487,0.864751827928714,3.82974131865808,3.9459753234306,3.64899439656756,1296.98218882295,1303.77144956255,1288.69839016024,2200.1273783242,2210.33415625294,2187.45457754239,0.240682182466124,0.241469611073922,0.239233346342811,0.248984428175677,0.249993092276493,0.246915727946622
"22","NGA projection scenario 2",2019,0.764890697537404,0.764890697537404,0.764890697537404,3.32454107376429,3.32454107376429,3.32454107376429,1115.46426160056,1115.46426160056,1115.46426160056,1949.04454183748,1949.04454183748,1949.04454183748,0.238204327221175,0.238204327221175,0.238204327221175,0.2384632225484,0.2384632225484,0.2384632225484
"23","NGA projection scenario 2",2020,0.573520372881626,0.602528026696441,0.554320228903187,2.25752098638579,2.36514049587009,2.17851777502711,998.046386911912,1001.97717594246,994.750354778511,1541.336250647,1546.82472316662,1536.78552500598,0.193792922993694,0.194258004992109,0.193346731314811,0.16944765426713,0.170134907948576,0.168825387104548
"24","NGA projection scenario 2",2021,0.422849785240681,0.430816607488065,0.414760597824607,1.53476167729043,1.56629674780032,1.46577605779631,823.163982185406,826.94996854685,821.971945718579,1244.09590259707,1248.87671133798,1242.10734549435,0.151181274896764,0.151762382240904,0.150808351470664,0.124336757926099,0.124487530987169,0.123974885475152
