"year","State","scenario","indicator","count","trend","age"
2020,"Abia","NGA projection scenario 1","PfPR_all_ages",0.21,"Prevalence","all_ages"
2020,"Abia","NGA projection scenario 1","PfPR_U5",0.2,"Prevalence","U5"
2020,"Abia","NGA projection scenario 1","incidence_all_ages",1183.14,"Incidence per 1000","all_ages"
2020,"Abia","NGA projection scenario 1","incidence_U5",1882.6,"Incidence per 1000","U5"
2020,"Abia","NGA projection scenario 1","death_rate_mean_all_ages",0.68,"Deaths per 1000","all_ages"
2020,"Abia","NGA projection scenario 1","death_rate_mean_U5",2.69,"Deaths per 1000","U5"
2021,"Abia","NGA projection scenario 1","PfPR_all_ages",0.21,"Prevalence","all_ages"
2021,"Abia","NGA projection scenario 1","PfPR_U5",0.19,"Prevalence","U5"
2021,"Abia","NGA projection scenario 1","incidence_all_ages",1211.18,"Incidence per 1000","all_ages"
2021,"Abia","NGA projection scenario 1","incidence_U5",1889.44,"Incidence per 1000","U5"
2021,"Abia","NGA projection scenario 1","death_rate_mean_all_ages",0.66,"Deaths per 1000","all_ages"
2021,"Abia","NGA projection scenario 1","death_rate_mean_U5",2.53,"Deaths per 1000","U5"
2022,"Abia","NGA projection scenario 1","PfPR_all_ages",0.22,"Prevalence","all_ages"
2022,"Abia","NGA projection scenario 1","PfPR_U5",0.21,"Prevalence","U5"
2022,"Abia","NGA projection scenario 1","incidence_all_ages",1276.88,"Incidence per 1000","all_ages"
2022,"Abia","NGA projection scenario 1","incidence_U5",1993.29,"Incidence per 1000","U5"
2022,"Abia","NGA projection scenario 1","death_rate_mean_all_ages",0.69,"Deaths per 1000","all_ages"
2022,"Abia","NGA projection scenario 1","death_rate_mean_U5",2.59,"Deaths per 1000","U5"
2023,"Abia","NGA projection scenario 1","PfPR_all_ages",0.22,"Prevalence","all_ages"
2023,"Abia","NGA projection scenario 1","PfPR_U5",0.2,"Prevalence","U5"
2023,"Abia","NGA projection scenario 1","incidence_all_ages",1267.86,"Incidence per 1000","all_ages"
2023,"Abia","NGA projection scenario 1","incidence_U5",1934.39,"Incidence per 1000","U5"
2023,"Abia","NGA projection scenario 1","death_rate_mean_all_ages",0.79,"Deaths per 1000","all_ages"
2023,"Abia","NGA projection scenario 1","death_rate_mean_U5",3.27,"Deaths per 1000","U5"
2024,"Abia","NGA projection scenario 1","PfPR_all_ages",0.23,"Prevalence","all_ages"
2024,"Abia","NGA projection scenario 1","PfPR_U5",0.21,"Prevalence","U5"
2024,"Abia","NGA projection scenario 1","incidence_all_ages",1315.26,"Incidence per 1000","all_ages"
2024,"Abia","NGA projection scenario 1","incidence_U5",2020.76,"Incidence per 1000","U5"
2024,"Abia","NGA projection scenario 1","death_rate_mean_all_ages",0.81,"Deaths per 1000","all_ages"
2024,"Abia","NGA projection scenario 1","death_rate_mean_U5",3.15,"Deaths per 1000","U5"
2025,"Abia","NGA projection scenario 1","PfPR_all_ages",0.23,"Prevalence","all_ages"
