year,State,scenario,death_rate_mean_all_ages,death_rate_mean_U5,PfPR_percent_change,U5_PfPR_percent_change,incidence_percent_change,U5_incidence_percent_change,death_percent_change,U5_death_percent_change
2011,Abia,NGA projection scenario 0,0.822172354,3.495857614,6.25316322,11.55646844,1.056089769,4.900450661,15.14249011,15.14975581
2012,Abia,NGA projection scenario 0,0.831593666,3.595330523,8.655599607,14.09038755,2.847416059,7.400933506,16.46191334,18.42628547
2013,Abia,NGA projection scenario 0,0.794825838,3.433253788,5.429194854,10.49609956,-0.530907512,2.117513542,11.31270199,13.08765372
2014,Abia,NGA projection scenario 0,0.840306601,3.727140943,10.73143761,17.01813084,6.389908591,9.547634342,17.68213074,22.76797765
2015,Abia,NGA projection scenario 0,0.714047745,3.035922733,0,0,0,0,0,0
2016,Abia,NGA projection scenario 0,0.729442391,2.996076375,2.229623589,-0.128294509,5.643418515,4.778328851,2.155968725,-1.312495803
2017,Abia,NGA projection scenario 0,0.746282113,3.063245315,4.820408065,3.18552706,8.57445649,7.328891584,4.514315478,0.899976191
2018,Abia,NGA projection scenario 0,0.620752518,2.532110283,-14.42576911,-22.40134961,-7.493642987,-12.57613986,-13.06568472,-16.59503533
2019,Abia,NGA projection scenario 0,0.614755619,2.447255769,-12.92743981,-24.14459737,-0.339417487,-7.039749202,-13.90553035,-19.39005094
2011,Adamawa,NGA projection scenario 0,0.967373189,4.456603305,11.34550825,16.75985867,14.4709415,19.18353096,19.62494601,17.3815781
2012,Adamawa,NGA projection scenario 0,1.126188026,5.242926367,19.89768597,28.154062,21.02986438,26.70111497,39.26391941,38.09238309
2013,Adamawa,NGA projection scenario 0,1.090527193,5.236149849,23.03455919,33.04900163,20.49862648,25.19714252,34.85411641,37.91389774
2014,Adamawa,NGA projection scenario 0,1.17128655,5.677998935,26.44509825,37.85477534,23.34466999,29.07302977,44.84078325,49.55167195
2015,Adamawa,NGA projection scenario 0,0.808671787,3.796680345,0,0,0,0,0,0
2016,Adamawa,NGA projection scenario 0,0.889729454,4.105147489,11.38747085,10.70032795,19.44721984,22.45929211,10.02355571,8.124654045
2017,Adamawa,NGA projection scenario 0,1.093993913,5.289143666,18.76201913,21.65870422,26.08822254,31.0438979,35.28280951,39.30969123
2018,Adamawa,NGA projection scenario 0,0.739952832,3.37268583,-2.902860604,-7.085291295,-0.452362779,-3.75091184,-8.497755944,-11.16750625
2019,Adamawa,NGA projection scenario 0,0.861273854,3.932829347,6.899216274,4.411920871,17.18387956,17.68354446,6.50474863,3.586001169
2011,Akwa Ibom,NGA projection scenario 0,0.679140507,3.040648605,4.012550341,6.333225997,0.430477207,4.09995391,-1.451423452,9.902468781
2012,Akwa Ibom,NGA projection scenario 0,0.766132876,3.430105059,7.910634081,11.13250417,4.248936505,8.751623221,11.17184669,23.97914496
2013,Akwa Ibom,NGA projection scenario 0,0.702396241,2.958481895,3.508259408,4.605231591,0.689434882,2.477255114,1.923164605,6.932601003
2014,Akwa Ibom,NGA projection scenario 0,0.859537857,3.814383126,7.314900921,9.586658489,6.216527972,8.850054111,24.72563689,37.86865135
2015,Akwa Ibom,NGA projection scenario 0,0.689142889,2.766679074,0,0,0,0,0,0
2016,Akwa Ibom,NGA projection scenario 0,0.719451066,2.806880019,4.800512137,4.88879534,7.259428634,6.980711764,4.397952518,1.453039706
2017,Akwa Ibom,NGA projection scenario 0,0.748350035,3.088557321,9.155675384,10.19991205,12.02607176,11.50018771,8.591418019,11.63410136
2018,Akwa Ibom,NGA projection scenario 0,0.617763774,2.436396022,-14.04749216,-23.2942102,-5.05290785,-9.716591237,-10.35766541,-11.93788809
2019,Akwa Ibom,NGA projection scenario 0,0.546051389,2.045534966,-16.08787114,-27.1877114,-2.219294003,-9.443777588,-20.763691,-26.06533278
2011,Anambra,NGA projection scenario 0,0.554980953,2.014392431,6.900555088,14.04084124,-0.720238048,3.789222005,3.640310588,12.69029462
2012,Anambra,NGA projection scenario 0,0.608316024,2.250163861,14.08098898,25.4356856,6.82469547,14.19947749,13.60040609,25.87995495
2013,Anambra,NGA projection scenario 0,0.652878303,2.442297507,19.42474378,35.03518137,9.851724438,16.07218034,21.92222036,36.62840535
2014,Anambra,NGA projection scenario 0,0.662687664,2.532938875,24.75034984,42.84237075,15.48716593,21.78730276,23.75407649,41.69911664
2015,Anambra,NGA projection scenario 0,0.535487544,1.787547399,0,0,0,0,0,0
2016,Anambra,NGA projection scenario 0,0.50897642,1.748505336,-6.596308801,-10.58055571,-1.03159322,-4.784260709,-4.950838497,-2.184113461
2017,Anambra,NGA projection scenario 0,0.535494125,1.828918605,1.48052933,-1.331647967,9.261270598,4.159150025,0.001229117,2.314411665
2018,Anambra,NGA projection scenario 0,0.454269647,1.303609965,-25.68007761,-35.10450234,-14.13463966,-20.34102303,-15.16709348,-27.072705
2019,Anambra,NGA projection scenario 0,0.392824151,1.199918604,-38.05615951,-44.61906157,-25.59991453,-31.57943784,-26.64177619,-32.87346651
2011,Bauchi,NGA projection scenario 0,1.160698495,5.532104359,23.14046945,31.52508759,24.63250207,33.19812094,50.24148971,56.35577204
2012,Bauchi,NGA projection scenario 0,1.274531583,6.265366287,30.55819669,41.78009277,30.84250212,40.30696808,64.97611097,77.08020664
2013,Bauchi,NGA projection scenario 0,1.236677731,5.975422438,31.40775868,42.94440809,29.3786719,37.7653448,60.07628623,68.88542369
2014,Bauchi,NGA projection scenario 0,1.350222527,6.591352347,35.29340443,48.70431017,33.3879348,41.99911278,74.77359088,86.29366299
2015,Bauchi,NGA projection scenario 0,0.772555236,3.538151669,0,0,0,0,0,0
2016,Bauchi,NGA projection scenario 0,1.066421522,4.937396861,15.72514307,14.492049,26.21393173,28.48669577,38.03822339,39.54734907
2017,Bauchi,NGA projection scenario 0,1.261017512,6.366613656,28.41768273,31.67283707,38.15421755,42.89180482,63.22684177,79.94179592
2018,Bauchi,NGA projection scenario 0,0.841431997,3.794142821,9.598184438,9.231636078,13.63061955,13.02300295,8.915448098,7.235166149
2019,Bauchi,NGA projection scenario 0,1.132341938,5.394219435,25.65522342,27.2794374,35.47950882,38.35798227,46.5710004,52.45868292
2011,Bayelsa,NGA projection scenario 0,0.435832772,1.463585409,-19.26750734,-23.99681934,-21.39919313,-20.19392348,-18.24514846,-4.59035892
2012,Bayelsa,NGA projection scenario 0,0.489051204,1.479857658,-11.94478332,-17.69725909,-12.69230526,-13.01309862,-8.262271352,-3.529587536
2013,Bayelsa,NGA projection scenario 0,0.531217601,1.817756211,-16.08357343,-21.8597858,-16.97723529,-17.57519611,-0.352569032,18.49767473
2014,Bayelsa,NGA projection scenario 0,0.458543287,1.59949402,-8.392370425,-9.750485236,-6.994770189,-5.441402176,-13.98504019,4.269384937
2015,Bayelsa,NGA projection scenario 0,0.533097136,1.534001587,0,0,0,0,0,0
2016,Bayelsa,NGA projection scenario 0,0.592659433,1.781283812,11.57970823,10.28760016,11.82265689,9.588406467,11.17287872,16.12007621
2017,Bayelsa,NGA projection scenario 0,0.63391885,1.904960466,18.83532033,20.03217926,19.30411086,17.64405444,18.91244719,24.18243121
2018,Bayelsa,NGA projection scenario 0,0.46981916,1.573824914,-19.10703849,-23.85535487,-14.03135386,-15.20701445,-11.86987736,2.596042063
2019,Bayelsa,NGA projection scenario 0,0.398356989,1.361775979,-31.76615664,-34.8855724,-25.20340974,-24.81833909,-25.27497106,-11.22721189
2011,Benue,NGA projection scenario 0,0.872840317,3.932010712,11.0859462,19.97311694,3.444707879,7.654462856,14.23380073,12.36686737
2012,Benue,NGA projection scenario 0,0.934849649,4.393514918,12.65603381,22.0633164,5.192224299,9.817426167,22.34933073,25.55548402
2013,Benue,NGA projection scenario 0,0.839269131,3.924806734,6.684224659,11.01294807,1.541195672,3.024923143,9.840140117,12.16099601
2014,Benue,NGA projection scenario 0,0.928455828,4.495092898,9.996237372,15.26922303,6.055040132,8.014349234,21.51253329,28.4583244
2015,Benue,NGA projection scenario 0,0.764082357,3.499261663,0,0,0,0,0,0
2016,Benue,NGA projection scenario 0,0.880119003,4.164181967,2.335076934,1.831613408,5.458988097,4.572142282,15.1864057,19.00173145
2017,Benue,NGA projection scenario 0,0.805962993,3.768723741,6.045075942,5.658007733,9.582996324,8.072738492,5.481167819,7.700540974
2018,Benue,NGA projection scenario 0,0.752999521,3.294973101,-2.627818311,-6.462099214,0.633422442,-3.649071945,-1.450476503,-5.838047603
2019,Benue,NGA projection scenario 0,0.853551555,3.854768755,3.555106971,0.633939068,9.392502577,5.509984571,11.70936582,10.15948866
2011,Borno,NGA projection scenario 0,1.149896062,5.41154183,23.52387436,33.32167507,24.01961316,32.83406904,44.40269738,50.6286794
2012,Borno,NGA projection scenario 0,1.270126619,6.05717276,31.23251252,43.71150427,30.05556708,39.13721189,59.50112006,68.59962693
2013,Borno,NGA projection scenario 0,1.264832316,6.184059566,29.77902368,40.80453441,27.04209348,33.79797534,58.83626719,72.13148396
2014,Borno,NGA projection scenario 0,1.271133374,5.920522112,33.56752749,46.8831824,30.69308856,38.89243654,59.62754729,64.79599624
2015,Borno,NGA projection scenario 0,0.796312038,3.592637107,0,0,0,0,0,0
2016,Borno,NGA projection scenario 0,0.921498346,4.18268209,13.64413368,11.05159597,25.07909516,27.72014895,15.72076052,16.423729
2017,Borno,NGA projection scenario 0,1.134150999,5.341629106,25.12061508,26.79422092,34.01878741,36.9147838,42.42544946,48.68267923
2018,Borno,NGA projection scenario 0,0.800422154,3.654194618,1.56614791,-2.466055612,6.53538416,1.597408487,0.516143911,1.713435244
2019,Borno,NGA projection scenario 0,0.926333622,4.311654975,9.027323397,7.669362628,20.89778046,22.20142663,16.32796919,20.01365143
2011,Cross River,NGA projection scenario 0,0.94505288,4.119922575,17.82999462,32.94566379,8.830838124,17.64448091,31.62544783,30.14896155
2012,Cross River,NGA projection scenario 0,0.998250942,4.581073223,20.68508596,36.38165494,11.82836272,20.31674779,39.03478845,44.71677853
2013,Cross River,NGA projection scenario 0,0.860831,3.83067702,13.39946694,22.49789321,6.688658026,11.06571171,19.89515955,21.01165183
2014,Cross River,NGA projection scenario 0,0.938103941,4.340130093,18.16127236,26.74769349,14.21110858,17.88010837,30.65761082,37.10534952
2015,Cross River,NGA projection scenario 0,0.71798645,3.165543947,0,0,0,0,0,0
2016,Cross River,NGA projection scenario 0,0.792728506,3.467686534,5.070307558,2.298957027,10.84729778,9.266860402,10.40995357,9.544728879
2017,Cross River,NGA projection scenario 0,0.863933965,3.889761575,12.4511557,12.33971754,19.23841535,18.51202981,20.32733552,22.87814165
2018,Cross River,NGA projection scenario 0,0.610136302,2.469266517,-4.734439917,-11.42465693,3.879436111,0.357224446,-15.02119544,-21.99550668
2019,Cross River,NGA projection scenario 0,0.765881143,3.115452016,-0.069852348,-8.829736669,14.77196845,8.529587565,6.670696002,-1.582411489
2011,Delta,NGA projection scenario 0,0.482623665,1.47824232,-13.23310129,-11.44817019,-16.11007849,-10.57872154,-9.321262674,-14.43429185
2012,Delta,NGA projection scenario 0,0.517796753,1.679821792,-9.116650785,-5.19701134,-10.73191049,-4.733650616,-2.712694773,-2.766184343
2013,Delta,NGA projection scenario 0,0.454728924,1.440652369,-8.340847284,-4.982174156,-9.23552539,-4.441730555,-14.5623232,-16.61012643
